analysis_sample,weighting,method,matrix_name,d_hamming,coverage_threshold,first_prototype_reaching_threshold,max_coverage_available,matrix
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,0,80,NA,6.564404761904798,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,0,85,NA,6.564404761904798,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,0,90,NA,6.564404761904798,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,0,95,NA,6.564404761904798,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,1,80,NA,13.345684523809599,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,1,85,NA,13.345684523809599,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,1,90,NA,13.345684523809599,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,1,95,NA,13.345684523809599,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,2,80,NA,27.76217261904777,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,2,85,NA,27.76217261904777,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,2,90,NA,27.76217261904777,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,2,95,NA,27.76217261904777,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,3,80,NA,37.546190476190624,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,3,85,NA,37.546190476190624,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,3,90,NA,37.546190476190624,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,3,95,NA,37.546190476190624,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,4,80,NA,50.85038690476222,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,4,85,NA,50.85038690476222,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,4,90,NA,50.85038690476222,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,4,95,NA,50.85038690476222,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,5,80,NA,59.57559523809575,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,5,85,NA,59.57559523809575,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,5,90,NA,59.57559523809575,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,5,95,NA,59.57559523809575,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,6,80,NA,71.0485119047625,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,6,85,NA,71.0485119047625,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,6,90,NA,71.0485119047625,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,6,95,NA,71.0485119047625,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,7,80,NA,79.62616071428523,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,7,85,NA,79.62616071428523,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,7,90,NA,79.62616071428523,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,7,95,NA,79.62616071428523,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,80,7,86.69089285714207,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,85,9,86.69089285714207,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,90,NA,86.69089285714207,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,8,95,NA,86.69089285714207,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,80,6,90.98077380952293,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,85,6,90.98077380952293,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,90,10,90.98077380952293,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,9,95,NA,90.98077380952293,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,80,4,95.8946130952371,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,85,5,95.8946130952371,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,90,6,95.8946130952371,EXT
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,10,95,11,95.8946130952371,EXT
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,0,80,NA,9.355892857142516,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,0,85,NA,9.355892857142516,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,0,90,NA,9.355892857142516,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,0,95,NA,9.355892857142516,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,1,80,NA,18.794583333332643,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,1,85,NA,18.794583333332643,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,1,90,NA,18.794583333332643,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,1,95,NA,18.794583333332643,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,2,80,NA,28.613005952379908,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,2,85,NA,28.613005952379908,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,2,90,NA,28.613005952379908,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,2,95,NA,28.613005952379908,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,3,80,NA,43.66907738095074,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,3,85,NA,43.66907738095074,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,3,90,NA,43.66907738095074,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,3,95,NA,43.66907738095074,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,4,80,NA,60.02547619047383,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,4,85,NA,60.02547619047383,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,4,90,NA,60.02547619047383,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,4,95,NA,60.02547619047383,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,5,80,NA,69.51214285714028,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,5,85,NA,69.51214285714028,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,5,90,NA,69.51214285714028,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,5,95,NA,69.51214285714028,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,6,80,10,82.02059523809227,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,6,85,NA,82.02059523809227,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,6,90,NA,82.02059523809227,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,6,95,NA,82.02059523809227,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,7,80,7,89.68116071428241,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,7,85,8,89.68116071428241,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,7,90,NA,89.68116071428241,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,7,95,NA,89.68116071428241,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,80,5,94.47303571428135,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,85,7,94.47303571428135,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,90,8,94.47303571428135,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,8,95,NA,94.47303571428135,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,80,5,98.23238095237596,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,85,5,98.23238095237596,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,90,6,98.23238095237596,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,9,95,8,98.23238095237596,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,80,4,99.50601190475679,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,85,5,99.50601190475679,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,90,5,99.50601190475679,POS
COMPLETE,equal_candidate,EFA,matrix_32_pos_0_1,10,95,6,99.50601190475679,POS
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,0,80,NA,10.296994047618655,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,0,85,NA,10.296994047618655,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,0,90,NA,10.296994047618655,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,0,95,NA,10.296994047618655,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,1,80,NA,18.3935119047612,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,1,85,NA,18.3935119047612,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,1,90,NA,18.3935119047612,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,1,95,NA,18.3935119047612,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,2,80,NA,33.47705357142728,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,2,85,NA,33.47705357142728,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,2,90,NA,33.47705357142728,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,2,95,NA,33.47705357142728,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,3,80,NA,45.37770833333156,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,3,85,NA,45.37770833333156,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,3,90,NA,45.37770833333156,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,3,95,NA,45.37770833333156,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,4,80,NA,56.09669642856916,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,4,85,NA,56.09669642856916,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,4,90,NA,56.09669642856916,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,4,95,NA,56.09669642856916,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,5,80,NA,67.05425595237837,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,5,85,NA,67.05425595237837,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,5,90,NA,67.05425595237837,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,5,95,NA,67.05425595237837,RAW
COMPLETE,equal_candidate,EFA,matrix_32_raw_0_1,6,80,NA,77.71836309523526,RAW
