analysis_sample,method,matrix_name,weighting,source_candidate,n_signature_instances,total_weight,weight_pct
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,4,3200,400,13.333333333333334
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,5,4000,500,16.666666666666668
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,6,4800,600,20
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,7,5600,700,23.333333333333332
COMPLETE,KMEANS,matrix_32_ext_0_1,equal_element,8,6400,800,26.666666666666668
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,4,3200,100,20.00000000000012
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_candidate,8,6400,100,20.00000000000012
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_element,4,3200,400,13.333333333333334
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_element,5,4000,500,16.666666666666668
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_element,6,4800,600,20
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_element,7,5600,700,23.333333333333332
COMPLETE,KMEANS,matrix_32_pos_0_1,equal_element,8,6400,800,26.666666666666668
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_candidate,4,3200,100,20.00000000000012
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_candidate,8,6400,100,20.00000000000012
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_element,4,3200,400,13.333333333333334
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_element,5,4000,500,16.666666666666668
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_element,6,4800,600,20
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_element,7,5600,700,23.333333333333332
COMPLETE,KMEANS,matrix_32_raw_0_1,equal_element,8,6400,800,26.666666666666668
COMPLETE,KMEANS,matrix_32_z_abs,equal_candidate,4,3200,100,20.00000000000012
COMPLETE,KMEANS,matrix_32_z_abs,equal_candidate,5,4000,100.00000000000561,20.000000000001243
COMPLETE,KMEANS,matrix_32_z_abs,equal_candidate,6,4800,99.99999999999471,19.999999999999062
COMPLETE,KMEANS,matrix_32_z_abs,equal_candidate,7,5600,99.99999999999666,19.999999999999453
COMPLETE,KMEANS,matrix_32_z_abs,equal_candidate,8,6400,100,20.00000000000012
COMPLETE,KMEANS,matrix_32_z_abs,equal_element,4,3200,400,13.333333333333334
COMPLETE,KMEANS,matrix_32_z_abs,equal_element,5,4000,500,16.666666666666668
COMPLETE,KMEANS,matrix_32_z_abs,equal_element,6,4800,600,20
COMPLETE,KMEANS,matrix_32_z_abs,equal_element,7,5600,700,23.333333333333332
COMPLETE,KMEANS,matrix_32_z_abs,equal_element,8,6400,800,26.666666666666668
DIEGO,EFA,matrix_32_ext_0_1,equal_candidate,4,3200,100,20.00000000000012
DIEGO,EFA,matrix_32_ext_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,EFA,matrix_32_ext_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,EFA,matrix_32_ext_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,EFA,matrix_32_ext_0_1,equal_candidate,8,6400,100,20.00000000000012
DIEGO,EFA,matrix_32_ext_0_1,equal_element,4,3200,400,13.333333333333334
DIEGO,EFA,matrix_32_ext_0_1,equal_element,5,4000,500,16.666666666666668
DIEGO,EFA,matrix_32_ext_0_1,equal_element,6,4800,600,20
DIEGO,EFA,matrix_32_ext_0_1,equal_element,7,5600,700,23.333333333333332
DIEGO,EFA,matrix_32_ext_0_1,equal_element,8,6400,800,26.666666666666668
DIEGO,EFA,matrix_32_pos_0_1,equal_candidate,4,3200,100,20.00000000000012
DIEGO,EFA,matrix_32_pos_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,EFA,matrix_32_pos_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,EFA,matrix_32_pos_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,EFA,matrix_32_pos_0_1,equal_candidate,8,6400,100,20.00000000000012
DIEGO,EFA,matrix_32_pos_0_1,equal_element,4,3200,400,13.333333333333334
DIEGO,EFA,matrix_32_pos_0_1,equal_element,5,4000,500,16.666666666666668
DIEGO,EFA,matrix_32_pos_0_1,equal_element,6,4800,600,20
DIEGO,EFA,matrix_32_pos_0_1,equal_element,7,5600,700,23.333333333333332
DIEGO,EFA,matrix_32_pos_0_1,equal_element,8,6400,800,26.666666666666668
DIEGO,EFA,matrix_32_raw_0_1,equal_candidate,4,3200,100,20.00000000000012
DIEGO,EFA,matrix_32_raw_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,EFA,matrix_32_raw_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,EFA,matrix_32_raw_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,EFA,matrix_32_raw_0_1,equal_candidate,8,6400,100,20.00000000000012
DIEGO,EFA,matrix_32_raw_0_1,equal_element,4,3200,400,13.333333333333334
DIEGO,EFA,matrix_32_raw_0_1,equal_element,5,4000,500,16.666666666666668
DIEGO,EFA,matrix_32_raw_0_1,equal_element,6,4800,600,20
DIEGO,EFA,matrix_32_raw_0_1,equal_element,7,5600,700,23.333333333333332
DIEGO,EFA,matrix_32_raw_0_1,equal_element,8,6400,800,26.666666666666668
DIEGO,EFA,matrix_32_z_abs,equal_candidate,4,3200,100,20.00000000000012
DIEGO,EFA,matrix_32_z_abs,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,EFA,matrix_32_z_abs,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,EFA,matrix_32_z_abs,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,EFA,matrix_32_z_abs,equal_candidate,8,6400,100,20.00000000000012
DIEGO,EFA,matrix_32_z_abs,equal_element,4,3200,400,13.333333333333334
DIEGO,EFA,matrix_32_z_abs,equal_element,5,4000,500,16.666666666666668
DIEGO,EFA,matrix_32_z_abs,equal_element,6,4800,600,20
DIEGO,EFA,matrix_32_z_abs,equal_element,7,5600,700,23.333333333333332
DIEGO,EFA,matrix_32_z_abs,equal_element,8,6400,800,26.666666666666668
DIEGO,KMEANS,matrix_32_ext_0_1,equal_candidate,4,3200,100,20.00000000000012
DIEGO,KMEANS,matrix_32_ext_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,KMEANS,matrix_32_ext_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,KMEANS,matrix_32_ext_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,KMEANS,matrix_32_ext_0_1,equal_candidate,8,6400,100,20.00000000000012
DIEGO,KMEANS,matrix_32_ext_0_1,equal_element,4,3200,400,13.333333333333334
DIEGO,KMEANS,matrix_32_ext_0_1,equal_element,5,4000,500,16.666666666666668
DIEGO,KMEANS,matrix_32_ext_0_1,equal_element,6,4800,600,20
DIEGO,KMEANS,matrix_32_ext_0_1,equal_element,7,5600,700,23.333333333333332
DIEGO,KMEANS,matrix_32_ext_0_1,equal_element,8,6400,800,26.666666666666668
DIEGO,KMEANS,matrix_32_pos_0_1,equal_candidate,4,3200,100,20.00000000000012
DIEGO,KMEANS,matrix_32_pos_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,KMEANS,matrix_32_pos_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,KMEANS,matrix_32_pos_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,KMEANS,matrix_32_pos_0_1,equal_candidate,8,6400,100,20.00000000000012
DIEGO,KMEANS,matrix_32_pos_0_1,equal_element,4,3200,400,13.333333333333334
DIEGO,KMEANS,matrix_32_pos_0_1,equal_element,5,4000,500,16.666666666666668
DIEGO,KMEANS,matrix_32_pos_0_1,equal_element,6,4800,600,20
DIEGO,KMEANS,matrix_32_pos_0_1,equal_element,7,5600,700,23.333333333333332
DIEGO,KMEANS,matrix_32_pos_0_1,equal_element,8,6400,800,26.666666666666668
DIEGO,KMEANS,matrix_32_raw_0_1,equal_candidate,4,3200,100,20.00000000000012
DIEGO,KMEANS,matrix_32_raw_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,KMEANS,matrix_32_raw_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,KMEANS,matrix_32_raw_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,KMEANS,matrix_32_raw_0_1,equal_candidate,8,6400,100,20.00000000000012
DIEGO,KMEANS,matrix_32_raw_0_1,equal_element,4,3200,400,13.333333333333334
DIEGO,KMEANS,matrix_32_raw_0_1,equal_element,5,4000,500,16.666666666666668
DIEGO,KMEANS,matrix_32_raw_0_1,equal_element,6,4800,600,20
DIEGO,KMEANS,matrix_32_raw_0_1,equal_element,7,5600,700,23.333333333333332
DIEGO,KMEANS,matrix_32_raw_0_1,equal_element,8,6400,800,26.666666666666668
DIEGO,KMEANS,matrix_32_z_abs,equal_candidate,4,3200,100,20.00000000000012
DIEGO,KMEANS,matrix_32_z_abs,equal_candidate,5,4000,100.00000000000561,20.000000000001243
DIEGO,KMEANS,matrix_32_z_abs,equal_candidate,6,4800,99.99999999999471,19.999999999999062
DIEGO,KMEANS,matrix_32_z_abs,equal_candidate,7,5600,99.99999999999666,19.999999999999453
DIEGO,KMEANS,matrix_32_z_abs,equal_candidate,8,6400,100,20.00000000000012
DIEGO,KMEANS,matrix_32_z_abs,equal_element,4,3200,400,13.333333333333334
DIEGO,KMEANS,matrix_32_z_abs,equal_element,5,4000,500,16.666666666666668
DIEGO,KMEANS,matrix_32_z_abs,equal_element,6,4800,600,20
DIEGO,KMEANS,matrix_32_z_abs,equal_element,7,5600,700,23.333333333333332
DIEGO,KMEANS,matrix_32_z_abs,equal_element,8,6400,800,26.666666666666668
EUROPE,EFA,matrix_32_ext_0_1,equal_candidate,4,3200,100,20.00000000000012
EUROPE,EFA,matrix_32_ext_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,EFA,matrix_32_ext_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,EFA,matrix_32_ext_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,EFA,matrix_32_ext_0_1,equal_candidate,8,6400,100,20.00000000000012
EUROPE,EFA,matrix_32_ext_0_1,equal_element,4,3200,400,13.333333333333334
EUROPE,EFA,matrix_32_ext_0_1,equal_element,5,4000,500,16.666666666666668
EUROPE,EFA,matrix_32_ext_0_1,equal_element,6,4800,600,20
EUROPE,EFA,matrix_32_ext_0_1,equal_element,7,5600,700,23.333333333333332
EUROPE,EFA,matrix_32_ext_0_1,equal_element,8,6400,800,26.666666666666668
EUROPE,EFA,matrix_32_pos_0_1,equal_candidate,4,3200,100,20.00000000000012
EUROPE,EFA,matrix_32_pos_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,EFA,matrix_32_pos_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,EFA,matrix_32_pos_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,EFA,matrix_32_pos_0_1,equal_candidate,8,6400,100,20.00000000000012
EUROPE,EFA,matrix_32_pos_0_1,equal_element,4,3200,400,13.333333333333334
EUROPE,EFA,matrix_32_pos_0_1,equal_element,5,4000,500,16.666666666666668
EUROPE,EFA,matrix_32_pos_0_1,equal_element,6,4800,600,20
EUROPE,EFA,matrix_32_pos_0_1,equal_element,7,5600,700,23.333333333333332
EUROPE,EFA,matrix_32_pos_0_1,equal_element,8,6400,800,26.666666666666668
EUROPE,EFA,matrix_32_raw_0_1,equal_candidate,4,3200,100,20.00000000000012
EUROPE,EFA,matrix_32_raw_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,EFA,matrix_32_raw_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,EFA,matrix_32_raw_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,EFA,matrix_32_raw_0_1,equal_candidate,8,6400,100,20.00000000000012
EUROPE,EFA,matrix_32_raw_0_1,equal_element,4,3200,400,13.333333333333334
EUROPE,EFA,matrix_32_raw_0_1,equal_element,5,4000,500,16.666666666666668
EUROPE,EFA,matrix_32_raw_0_1,equal_element,6,4800,600,20
EUROPE,EFA,matrix_32_raw_0_1,equal_element,7,5600,700,23.333333333333332
EUROPE,EFA,matrix_32_raw_0_1,equal_element,8,6400,800,26.666666666666668
EUROPE,EFA,matrix_32_z_abs,equal_candidate,4,3200,100,20.00000000000012
EUROPE,EFA,matrix_32_z_abs,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,EFA,matrix_32_z_abs,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,EFA,matrix_32_z_abs,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,EFA,matrix_32_z_abs,equal_candidate,8,6400,100,20.00000000000012
EUROPE,EFA,matrix_32_z_abs,equal_element,4,3200,400,13.333333333333334
EUROPE,EFA,matrix_32_z_abs,equal_element,5,4000,500,16.666666666666668
EUROPE,EFA,matrix_32_z_abs,equal_element,6,4800,600,20
EUROPE,EFA,matrix_32_z_abs,equal_element,7,5600,700,23.333333333333332
EUROPE,EFA,matrix_32_z_abs,equal_element,8,6400,800,26.666666666666668
EUROPE,KMEANS,matrix_32_ext_0_1,equal_candidate,4,3200,100,20.00000000000012
EUROPE,KMEANS,matrix_32_ext_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,KMEANS,matrix_32_ext_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,KMEANS,matrix_32_ext_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,KMEANS,matrix_32_ext_0_1,equal_candidate,8,6400,100,20.00000000000012
EUROPE,KMEANS,matrix_32_ext_0_1,equal_element,4,3200,400,13.333333333333334
EUROPE,KMEANS,matrix_32_ext_0_1,equal_element,5,4000,500,16.666666666666668
EUROPE,KMEANS,matrix_32_ext_0_1,equal_element,6,4800,600,20
EUROPE,KMEANS,matrix_32_ext_0_1,equal_element,7,5600,700,23.333333333333332
EUROPE,KMEANS,matrix_32_ext_0_1,equal_element,8,6400,800,26.666666666666668
EUROPE,KMEANS,matrix_32_pos_0_1,equal_candidate,4,3200,100,20.00000000000012
EUROPE,KMEANS,matrix_32_pos_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,KMEANS,matrix_32_pos_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,KMEANS,matrix_32_pos_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,KMEANS,matrix_32_pos_0_1,equal_candidate,8,6400,100,20.00000000000012
EUROPE,KMEANS,matrix_32_pos_0_1,equal_element,4,3200,400,13.333333333333334
EUROPE,KMEANS,matrix_32_pos_0_1,equal_element,5,4000,500,16.666666666666668
EUROPE,KMEANS,matrix_32_pos_0_1,equal_element,6,4800,600,20
EUROPE,KMEANS,matrix_32_pos_0_1,equal_element,7,5600,700,23.333333333333332
EUROPE,KMEANS,matrix_32_pos_0_1,equal_element,8,6400,800,26.666666666666668
EUROPE,KMEANS,matrix_32_raw_0_1,equal_candidate,4,3200,100,20.00000000000012
EUROPE,KMEANS,matrix_32_raw_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,KMEANS,matrix_32_raw_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,KMEANS,matrix_32_raw_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,KMEANS,matrix_32_raw_0_1,equal_candidate,8,6400,100,20.00000000000012
EUROPE,KMEANS,matrix_32_raw_0_1,equal_element,4,3200,400,13.333333333333334
EUROPE,KMEANS,matrix_32_raw_0_1,equal_element,5,4000,500,16.666666666666668
EUROPE,KMEANS,matrix_32_raw_0_1,equal_element,6,4800,600,20
EUROPE,KMEANS,matrix_32_raw_0_1,equal_element,7,5600,700,23.333333333333332
EUROPE,KMEANS,matrix_32_raw_0_1,equal_element,8,6400,800,26.666666666666668
EUROPE,KMEANS,matrix_32_z_abs,equal_candidate,4,3200,100,20.00000000000012
EUROPE,KMEANS,matrix_32_z_abs,equal_candidate,5,4000,100.00000000000561,20.000000000001243
EUROPE,KMEANS,matrix_32_z_abs,equal_candidate,6,4800,99.99999999999471,19.999999999999062
EUROPE,KMEANS,matrix_32_z_abs,equal_candidate,7,5600,99.99999999999666,19.999999999999453
EUROPE,KMEANS,matrix_32_z_abs,equal_candidate,8,6400,100,20.00000000000012
EUROPE,KMEANS,matrix_32_z_abs,equal_element,4,3200,400,13.333333333333334
EUROPE,KMEANS,matrix_32_z_abs,equal_element,5,4000,500,16.666666666666668
EUROPE,KMEANS,matrix_32_z_abs,equal_element,6,4800,600,20
EUROPE,KMEANS,matrix_32_z_abs,equal_element,7,5600,700,23.333333333333332
EUROPE,KMEANS,matrix_32_z_abs,equal_element,8,6400,800,26.666666666666668
LATAM,EFA,matrix_32_ext_0_1,equal_candidate,4,3200,100,20.00000000000012
LATAM,EFA,matrix_32_ext_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
LATAM,EFA,matrix_32_ext_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
LATAM,EFA,matrix_32_ext_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
LATAM,EFA,matrix_32_ext_0_1,equal_candidate,8,6400,100,20.00000000000012
LATAM,EFA,matrix_32_ext_0_1,equal_element,4,3200,400,13.333333333333334
LATAM,EFA,matrix_32_ext_0_1,equal_element,5,4000,500,16.666666666666668
LATAM,EFA,matrix_32_ext_0_1,equal_element,6,4800,600,20
LATAM,EFA,matrix_32_ext_0_1,equal_element,7,5600,700,23.333333333333332
LATAM,EFA,matrix_32_ext_0_1,equal_element,8,6400,800,26.666666666666668
LATAM,EFA,matrix_32_pos_0_1,equal_candidate,4,3200,100,20.00000000000012
LATAM,EFA,matrix_32_pos_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
LATAM,EFA,matrix_32_pos_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
LATAM,EFA,matrix_32_pos_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
LATAM,EFA,matrix_32_pos_0_1,equal_candidate,8,6400,100,20.00000000000012
LATAM,EFA,matrix_32_pos_0_1,equal_element,4,3200,400,13.333333333333334
LATAM,EFA,matrix_32_pos_0_1,equal_element,5,4000,500,16.666666666666668
LATAM,EFA,matrix_32_pos_0_1,equal_element,6,4800,600,20
LATAM,EFA,matrix_32_pos_0_1,equal_element,7,5600,700,23.333333333333332
LATAM,EFA,matrix_32_pos_0_1,equal_element,8,6400,800,26.666666666666668
LATAM,EFA,matrix_32_raw_0_1,equal_candidate,4,3200,100,20.00000000000012
LATAM,EFA,matrix_32_raw_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
LATAM,EFA,matrix_32_raw_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
LATAM,EFA,matrix_32_raw_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
LATAM,EFA,matrix_32_raw_0_1,equal_candidate,8,6400,100,20.00000000000012
LATAM,EFA,matrix_32_raw_0_1,equal_element,4,3200,400,13.333333333333334
LATAM,EFA,matrix_32_raw_0_1,equal_element,5,4000,500,16.666666666666668
LATAM,EFA,matrix_32_raw_0_1,equal_element,6,4800,600,20
LATAM,EFA,matrix_32_raw_0_1,equal_element,7,5600,700,23.333333333333332
LATAM,EFA,matrix_32_raw_0_1,equal_element,8,6400,800,26.666666666666668
LATAM,EFA,matrix_32_z_abs,equal_candidate,4,3200,100,20.00000000000012
LATAM,EFA,matrix_32_z_abs,equal_candidate,5,4000,100.00000000000561,20.000000000001243
LATAM,EFA,matrix_32_z_abs,equal_candidate,6,4800,99.99999999999471,19.999999999999062
LATAM,EFA,matrix_32_z_abs,equal_candidate,7,5600,99.99999999999666,19.999999999999453
LATAM,EFA,matrix_32_z_abs,equal_candidate,8,6400,100,20.00000000000012
LATAM,EFA,matrix_32_z_abs,equal_element,4,3200,400,13.333333333333334
LATAM,EFA,matrix_32_z_abs,equal_element,5,4000,500,16.666666666666668
LATAM,EFA,matrix_32_z_abs,equal_element,6,4800,600,20
LATAM,EFA,matrix_32_z_abs,equal_element,7,5600,700,23.333333333333332
LATAM,EFA,matrix_32_z_abs,equal_element,8,6400,800,26.666666666666668
LATAM,KMEANS,matrix_32_ext_0_1,equal_candidate,4,3200,100,20.00000000000012
LATAM,KMEANS,matrix_32_ext_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
LATAM,KMEANS,matrix_32_ext_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
LATAM,KMEANS,matrix_32_ext_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
LATAM,KMEANS,matrix_32_ext_0_1,equal_candidate,8,6400,100,20.00000000000012
LATAM,KMEANS,matrix_32_ext_0_1,equal_element,4,3200,400,13.333333333333334
LATAM,KMEANS,matrix_32_ext_0_1,equal_element,5,4000,500,16.666666666666668
LATAM,KMEANS,matrix_32_ext_0_1,equal_element,6,4800,600,20
LATAM,KMEANS,matrix_32_ext_0_1,equal_element,7,5600,700,23.333333333333332
LATAM,KMEANS,matrix_32_ext_0_1,equal_element,8,6400,800,26.666666666666668
LATAM,KMEANS,matrix_32_pos_0_1,equal_candidate,4,3200,100,20.00000000000012
LATAM,KMEANS,matrix_32_pos_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
LATAM,KMEANS,matrix_32_pos_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
LATAM,KMEANS,matrix_32_pos_0_1,equal_candidate,7,5600,99.99999999999666,19.999999999999453
LATAM,KMEANS,matrix_32_pos_0_1,equal_candidate,8,6400,100,20.00000000000012
LATAM,KMEANS,matrix_32_pos_0_1,equal_element,4,3200,400,13.333333333333334
LATAM,KMEANS,matrix_32_pos_0_1,equal_element,5,4000,500,16.666666666666668
LATAM,KMEANS,matrix_32_pos_0_1,equal_element,6,4800,600,20
LATAM,KMEANS,matrix_32_pos_0_1,equal_element,7,5600,700,23.333333333333332
LATAM,KMEANS,matrix_32_pos_0_1,equal_element,8,6400,800,26.666666666666668
LATAM,KMEANS,matrix_32_raw_0_1,equal_candidate,4,3200,100,20.00000000000012
LATAM,KMEANS,matrix_32_raw_0_1,equal_candidate,5,4000,100.00000000000561,20.000000000001243
LATAM,KMEANS,matrix_32_raw_0_1,equal_candidate,6,4800,99.99999999999471,19.999999999999062
