analysis_sample,weighting,method,matrix_name,matrix,d_hamming,prototype,incremental_covered_pct,cumulative_covered_pct,center_signature_size,center_active_determinants
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,8,2,17.40455357142824,35.69086309523774,8,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,9,2,18.585952380952037,37.50678571428528,8,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,10,2,19.746874999999584,39.86071428571367,8,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,0,3,0.6888095238095272,3.279523809523831,10,det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,1,3,1.2743154761904834,6.587321428571467,8,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,2,3,3.396904761904775,13.422619047619113,8,det_04_added_value; det_06_climate_protection; det_14_environmental_concerns; det_21_rights_and_duties; det_23_support; det_25_agreement; det_27_fun; det_32_own_significance
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,3,3,5.989494047619069,20.16666666666675,12,det_07_legal; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,4,3,5.94514880952382,25.21958333333351,13,det_07_legal; det_11_knowledge; det_13_technical_fit; det_22_peer_pressure; det_23_support; det_24_socialising; det_25_agreement; det_26_novelty; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,5,3,9.655684523809677,33.80336309523851,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
COMPLETE,equal_candidate,EFA,matrix_32_ext_0_1,EXT,6,3,12.742380952381238,41.906428571429046,11,det_03_risk_profile; det_07_legal; det_08_trust; det_10_cost_efficiency; det_11_knowledge; det_12_own_competence; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence; det_21_rights_and_duties
