analysis_sample,weighting,method,matrix_name,d_hamming,n_prototypes_used,n_unique_patterns,final_covered_pct,first_prototype_covered_pct,last_prototype_increment_pct
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,12,7246,4.732827380952242,0.6420238095237906,0.30574404761903873
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,1,12,7246,16.284613095237624,1.785357142857091,0.966815476190448
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,2,12,7246,37.13544642857033,4.417589285714152,1.253541666666631
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,3,12,7246,58.98119047618882,7.0765178571426635,1.6366071428570965
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,4,12,7246,81.34708333333127,11.03702380952353,2.7444047619046845
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,5,12,7246,92.05627976190216,15.815297619047072,0.6258928571428388
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,6,12,7246,98.26693452380651,24.744702380951562,0.16517857142856676
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,7,12,7246,99.40735119047308,35.992172619046606,0.06601190476190284
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,8,12,7246,99.92812499999678,50.690119047617664,0.028571428571427745
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,9,12,7246,99.99999999999879,65.59877976190462,0.00312499999999991
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,10,10,7246,99.999999999999,78.59410714285673,0.01249999999999964
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,0,12,7246,4.466666666666667,0.6333333333333333,0.2625
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,1,12,7246,15.054166666666667,2.5208333333333335,0.7458333333333333
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,2,12,7246,34.9625,4.4,1.3125
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,3,12,7246,59.90416666666667,8.1125,1.4791666666666667
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,4,12,7246,80.14166666666667,12.079166666666667,0.8875
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,5,12,7246,91.44583333333334,17.741666666666667,1.5291666666666666
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,6,12,7246,97.65,23.8375,0.2916666666666667
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,7,12,7246,99.24166666666666,29.816666666666666,0.0875
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,8,12,7246,99.87916666666666,36.1,0.04583333333333333
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,9,12,7246,99.9875,42.85,0.008333333333333333
COMPLETE,equal_element,KMEANS,matrix_32_raw_0_1,10,10,7246,100,49.15,0.016666666666666666
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,0,12,5385,8.275565476190268,1.0745535714285452,0.5544642857142716
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,1,12,5385,28.820684523808794,2.6094940476189827,1.8041071428570976
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,2,12,5385,58.83458333333186,5.688928571428427,2.4112797619047006
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,3,12,5385,81.45782738095038,9.404285714285503,0.9194047619047402
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,4,12,5385,91.60687499999764,16.34669642857098,0.7111904761904586
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,5,12,5385,97.44327380952127,25.9389583333326,0.7748511904761705
