bootstrap_id,mean_similarity_to_others
43,80.11363636363636
30,79.58754208754209
85,79.04040404040404
51,78.70370370370371
6,78.53535353535354
93,78.47222222222223
41,78.43013468013469
94,78.0513468013468
76,78.00925925925925
100,77.98821548821549
74,77.8409090909091
64,77.81986531986531
38,77.756734006734
62,77.73569023569024
20,77.71464646464646
21,77.6936026936027
24,77.58838383838383
79,77.48316498316498
88,77.3989898989899
86,77.35690235690235
28,77.33585858585859
87,77.33585858585859
15,77.29377104377105
81,77.27272727272727
65,77.2516835016835
59,77.06228956228956
9,77.04124579124579
35,76.97811447811448
17,76.93602693602693
58,76.8097643097643
18,76.53619528619528
32,76.49410774410775
2,76.47306397306397
57,76.36784511784512
1,76.3047138047138
52,76.28367003367003
70,76.19949494949495
96,76.11531986531986
36,76.07323232323232
37,76.03114478114477
83,76.03114478114477
73,75.9469696969697
39,75.92592592592592
84,75.84175084175084
4,75.7996632996633
75,75.77861952861953
98,75.58922558922559
11,75.5050505050505
12,75.5050505050505
69,75.4419191919192
49,75.42087542087542
89,75.42087542087542
50,75.33670033670033
48,75.25252525252525
26,75.18939393939394
55,75.08417508417509
60,75.06313131313131
61,74.95791245791246
45,74.8526936026936
8,74.83164983164983
22,74.83164983164983
71,74.81060606060606
10,74.76851851851852
46,74.76851851851852
27,74.68434343434343
53,74.53703703703704
54,74.53703703703704
16,74.51599326599326
13,74.45286195286195
97,74.38973063973064
34,74.28451178451178
40,74.28451178451178
47,74.17929292929293
33,74.13720538720538
67,74.07407407407408
3,74.01094276094275
7,73.98989898989899
91,73.96885521885523
82,73.94781144781145
31,73.92676767676768
29,73.9057239057239
42,73.71632996632997
25,73.6952861952862
5,73.50589225589225
80,73.42171717171718
90,73.42171717171718
99,73.4006734006734
44,73.27441077441077
14,72.97979797979798
23,72.93771043771044
92,72.85353535353535
77,72.72727272727273
63,72.11700336700336
72,71.92760942760943
68,71.75925925925927
78,71.46464646464646
95,71.35942760942761
56,70.3493265993266
66,68.81313131313131
19,67.86616161616162
