consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_20_coziness,100,1,0.7311487843315055
1,det_19_wellbeing,100,1,0.6463703987112787
1,det_09_safety,100,1,0.3773970946486317
1,det_18_autonomy,92,0.92,0.19490223615936414
1,det_27_fun,84,0.84,0.18807481624391215
1,det_25_agreement,83,0.83,0.1851927634978733
1,det_13_technical_fit,40,0.4,0.11621415229374439
1,det_15_self_satisfaction,27,0.27,0.09662205768675235
2,det_28_recognition,100,1,0.7201285453923593
2,det_31_approval,100,1,0.6620325490815759
2,det_24_socialising,100,1,0.614578348735424
2,det_30_authority,100,1,0.6096972854032424
2,det_29_trends,100,1,0.5507694710420814
2,det_27_fun,100,1,0.4370214054754708
2,det_22_peer_pressure,99,0.99,0.45806323139481603
2,det_26_novelty,97,0.97,0.404355011054637
3,det_06_climate_protection,100,1,0.7502444877802039
3,det_14_environmental_concerns,100,1,0.6938682059418335
3,det_23_support,100,1,0.4616956456011906
3,det_04_added_value,97,0.97,0.26887904663730455
3,det_32_own_significance,71,0.71,0.170835629029427
3,det_25_agreement,67,0.67,0.16797253934637976
3,det_08_trust,52,0.52,0.15186336941075404
3,det_01_profits,48,0.48,0.14893952732539129
4,det_21_rights_and_duties,99,0.99,0.5020584431014797
4,det_07_legal,98,0.98,0.5009633373431366
4,det_25_agreement,89,0.89,0.3067602048077927
4,det_08_trust,79,0.79,0.2269478979234167
4,det_09_safety,72,0.72,0.2115089501361323
4,det_16_commitment,48,0.48,0.159868997151646
4,det_22_peer_pressure,40,0.4,0.1688446419106657
4,det_13_technical_fit,40,0.4,0.1465175090897535
5,det_10_cost_efficiency,100,1,0.6431100640445212
5,det_01_profits,100,1,0.5786266125849753
5,det_05_frugality,100,1,0.5463880193603047
5,det_03_risk_profile,100,1,0.5266529924786674
5,det_02_credit_score,100,1,0.450130701316927
5,det_12_own_competence,75,0.75,0.24903561817499942
5,det_11_knowledge,64,0.64,0.2399718894574329
5,det_13_technical_fit,32,0.32,0.19137128692260166
6,det_16_commitment,99,0.99,0.45395414368752607
6,det_15_self_satisfaction,98,0.98,0.3739454045156779
6,det_32_own_significance,91,0.91,0.31878090772125717
6,det_18_autonomy,75,0.75,0.2623124251281466
6,det_12_own_competence,73,0.73,0.2593082061081728
6,det_13_technical_fit,68,0.68,0.25002476502091653
6,det_11_knowledge,61,0.61,0.24002059998948613
6,det_17_adherence,56,0.56,0.2416745820492672
