region,country_code,n
WHY_EUROPE,DE,207
WHY_EUROPE,IT,160
WHY_EUROPE,FR,92
WHY_EUROPE,NL,92
WHY_EUROPE,ES,88
WHY_EUROPE,PL,82
WHY_EUROPE,HU,69
WHY_EUROPE,BE,32
WHY_EUROPE,GR,32
WHY_EUROPE,IE,32
WHY_EUROPE,PT,19
WHY_EUROPE,AT,17
WHY_EUROPE,CZ,16
WHY_EUROPE,LV,14
WHY_EUROPE,FI,12
WHY_EUROPE,SI,12
WHY_EUROPE,SE,9
WHY_EUROPE,EE,3
WHY_EUROPE,DK,2
WHY_LATAM,MX,544
WHY_LATAM,CL,78
WHY_LATAM,CO,16
