prolific_id,prolific_status,prolific_country_raw,prolific_country_code,prolific_country_of_birth,prolific_country_of_birth_code,prolific_age,prolific_sex,prolific_ethnicity_simplified,prolific_nationality,prolific_language,prolific_student_status,prolific_employment_status,prolific_files
54affe30fdf99b71c5514d30,APPROVED,Hungary,HU,Hungary,HU,32,Male,White,Hungary,Hungarian,No,Full-Time,prolific_export_633162142c195a4b173e2fab.csv
556db04dfdf99b26054b1768,APPROVED,Germany,DE,Germany,DE,30,Female,White,Germany,German,No,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
558fa9dffdf99b7ce2924662,APPROVED,France,FR,India,IN,36,Male,Asian,India,English,No,Full-Time,prolific_export_6331612f32727d005c9466da.csv
559edf64fdf99b2537152084,APPROVED,Netherlands,NL,Netherlands,NL,34,Female,White,Netherlands,Dutch,No,Part-Time,prolific_export_6331612f32727d005c9466da.csv
55b75944fdf99b6e0c49981b,APPROVED,Ireland,IE,Ireland,IE,52,Male,White,Ireland,English,No,Full-Time,prolific_export_63316268c0d0d441c2e46377.csv
55c333b0fdf99b1dbd2131bd,APPROVED,Czech Republic,CZ,Czech Republic,CZ,25,Male,White,Czech Republic,Czech,No,Unemployed (and job seeking),prolific_export_633162142c195a4b173e2fab.csv
55dc405950a1f7000590d658,APPROVED,Portugal,PT,Portugal,PT,42,Male,White,Portugal,Portuguese,No,Full-Time,prolific_export_6324376597f7b837a1043faf.csv
561fcb95ed6e5a000bc7eaa2,APPROVED,Netherlands,NL,Netherlands,NL,28,Male,White,Netherlands,English,No,DATA_EXPIRED,prolific_export_6331612f32727d005c9466da.csv
562c0ab0733ea0001116302b,RETURNED,CONSENT_REVOKED,NA,CONSENT_REVOKED,NA,NA,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,prolific_export_63316268c0d0d441c2e46377.csv
564e2f979b124900107eaf14,APPROVED,Poland,PL,Poland,PL,35,Female,White,Poland,Polish,No,Full-Time,prolific_export_633161d71da17ce25a7d09b2.csv
566bdeb3beaf21001240085a,APPROVED,Mexico,MX,Mexico,MX,36,Male,Mixed,Mexico,Spanish,Yes,Part-Time,prolific_export_638657f445c7d89faeb56017.csv
