analysis_sample,matrix_name,n_factors,determinant,mean_importance,sd_importance,median_importance,mean_rank,prop_above_0_20,prop_above_0_30,prop_above_0_40
RENOVISOR,matrix_32_ext_0_1,2,det_31_approval,0.6987472324893563,0.03318552481890143,0.703696042959273,1.93,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_28_recognition,0.6950002301643089,0.033547292169314916,0.6975084028112919,2.18,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_24_socialising,0.6795982417517227,0.03594711176075467,0.6868483022671121,2.59,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_30_authority,0.6216642823722088,0.037771896479118605,0.623982292685049,5.09,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_03_risk_profile,0.5898800525051068,0.04218696834701939,0.5943059767197612,7.46,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_29_trends,0.5889410286807276,0.03972656445003482,0.5917679471736446,7.63,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_09_safety,0.5845970831392315,0.04382422228860653,0.5817072082577756,8.02,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_15_self_satisfaction,0.5689982043348725,0.039818288620358765,0.5714393692966835,9.16,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_20_coziness,0.5526081703008278,0.036518608720319826,0.5514797404530107,10.72,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_08_trust,0.5511577014838545,0.038190818985570994,0.5464473103873504,10.85,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_22_peer_pressure,0.5475252333198264,0.042152652053584073,0.5484827421973063,11.19,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_13_technical_fit,0.5418274442341677,0.04116023991084055,0.546048316493478,11.67,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_16_commitment,0.5392869537927754,0.04396148552704673,0.5370740441711994,11.99,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_07_legal,0.5220041483259891,0.041643741344701,0.5197542645262312,13.59,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_21_rights_and_duties,0.5169205443780113,0.037288049237941934,0.5161590437012296,14.08,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_10_cost_efficiency,0.49684756147391107,0.03408062864355191,0.4936987568299287,16.05,1,1,1
RENOVISOR,matrix_32_ext_0_1,2,det_17_adherence,0.4964717239771824,0.048020952699509435,0.49650160358771095,16.36,1,1,0.98
