"K","archetypes_used"
1,"Careful"
2,"Careful | Fearful"
3,"Careful | Fearful | Stubborn"
4,"Careful | Fearful | Stubborn | Early Adopter"
5,"Careful | Fearful | Stubborn | Early Adopter | Homo Economicus"
6,"Careful | Fearful | Stubborn | Early Adopter | Homo Economicus | Uninterested"
7,"Careful | Fearful | Stubborn | Early Adopter | Homo Economicus | Uninterested | Influencer"
