"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,2,6,0.00075
5,15,26,0.00325
6,71,278,0.03475
7,292,1977,0.247125
8,1095,15711,1.963875
9,2174,41127,5.140875
10,5534,190482,23.81025
11,7454,348852,43.6065
12,13963,483538,60.44225
13,15860,513051,64.131375
14,22788,592535,74.066875
15,24381,641416,80.177
16,28544,730405,91.300625
17,29542,776487,97.060875
18,30917,793341,99.167625
19,31265,797926,99.74075
20,31638,799480,99.935
