"cluster","n_archetypes","pct_total_arch","pct_rest_arch"
"1",158,0.842397099594796,100
"2",168,0.895713371721049,99.1576029004052
"3",84,0.447856685860525,98.2618895286842
"4",61,0.325229259970143,97.8140328428236
"5",75,0.399872040946897,97.4888035828535
"6",116,0.618468756664534,97.0889315419066
"7",133,0.709106419279164,96.470462785242
"8",64,0.341224141608019,95.7613563659629
"Restantes",17897,95.4201322243549,0
