"cluster","n_archetypes","total_frequency","freq_pct_total","freq_pct_rest"
1,158,231274,28.90925,28.90925
2,168,251353,31.419125,44.1957990315196
3,84,86892,10.8615,27.3785104593018
4,61,30666,3.83325,13.3052182175537
5,75,19271,2.408875,9.64442108950779
6,116,27048,3.381,14.9813895781638
7,133,10779,1.347375,7.02233282951999
8,64,10047,1.255875,7.03980604973479
