consensus_factor,determinant,n_bootstraps_selected,selection_frequency,mean_abs_loading
1,det_14_environmental_concerns,100,1,0.6806551993442526
1,det_06_climate_protection,100,1,0.5731746607466206
1,det_04_added_value,100,1,0.5399334094110959
1,det_23_support,92,0.92,0.29442374260414766
1,det_26_novelty,84,0.84,0.2487941083660536
1,det_32_own_significance,75,0.75,0.23347289236685914
1,det_05_frugality,67,0.67,0.21879984032995622
1,det_20_coziness,25,0.25,0.15808137201452416
2,det_17_adherence,91,0.91,0.35660948909058604
2,det_05_frugality,84,0.84,0.3719922170634407
2,det_09_safety,64,0.64,0.3296287002577027
2,det_16_commitment,54,0.54,0.22500209282310701
2,det_12_own_competence,46,0.46,0.2072016707711903
2,det_15_self_satisfaction,44,0.44,0.24040329345254058
2,det_29_trends,44,0.44,0.19230980599548853
2,det_03_risk_profile,43,0.43,0.19585624205614602
3,det_20_coziness,97,0.97,0.4969970103366403
3,det_19_wellbeing,88,0.88,0.4076379147963839
3,det_09_safety,81,0.81,0.4002805359480982
3,det_18_autonomy,74,0.74,0.31311084416012847
3,det_11_knowledge,74,0.74,0.2718445819339886
3,det_32_own_significance,65,0.65,0.24829168345884484
3,det_12_own_competence,39,0.39,0.19722830821888498
3,det_15_self_satisfaction,35,0.35,0.17429686839009098
4,det_13_technical_fit,93,0.93,0.5033335077923357
4,det_10_cost_efficiency,92,0.92,0.44812891196771926
4,det_15_self_satisfaction,72,0.72,0.2948862809538217
4,det_08_trust,69,0.69,0.19755871438212638
4,det_07_legal,66,0.66,0.20416666191040134
4,det_18_autonomy,49,0.49,0.19430705177349333
4,det_11_knowledge,48,0.48,0.16404184033811994
4,det_12_own_competence,38,0.38,0.15472483383458976
5,det_28_recognition,100,1,0.5852480149517111
5,det_24_socialising,100,1,0.577747926287238
5,det_31_approval,100,1,0.5433824146341611
5,det_22_peer_pressure,100,1,0.49398157946774834
5,det_30_authority,97,0.97,0.46204037509221113
5,det_27_fun,92,0.92,0.3572253169742803
5,det_29_trends,88,0.88,0.42726737431440354
5,det_25_agreement,42,0.42,0.2588243451934463
6,det_25_agreement,79,0.79,0.29722108671278497
6,det_21_rights_and_duties,77,0.77,0.33866978747025467
6,det_23_support,64,0.64,0.267432185013069
6,det_03_risk_profile,64,0.64,0.258281964584984
6,det_02_credit_score,52,0.52,0.22920227664351184
6,det_18_autonomy,46,0.46,0.20478879272633913
6,det_29_trends,45,0.45,0.20561194455965548
6,det_12_own_competence,37,0.37,0.1682323434701267
