bootstrap_id,country_code,income_band,n,n_draw_country,prop,target_prop,target_prop_effective
1,CL,<15000,63,78,0.8076923076923077,0.754,0.754
1,CL,>100000,0,78,0,0.009,0.009
1,CL,15000_30000,13,78,0.16666666666666666,0.161,0.161
1,CL,30000_50000,2,78,0.02564102564102564,0.052,0.052
1,CL,50000_100000,0,78,0,0.024,0.024
1,CO,<15000,8,13,0.6153846153846154,0.889,0.9164948453608248
1,CO,>100000,0,13,0,0.003,0
1,CO,15000_30000,5,13,0.38461538461538464,0.081,0.08350515463917527
1,CO,30000_50000,0,13,0,0.019,0
1,CO,50000_100000,0,13,0,0.008,0
1,MX,<15000,426,517,0.8239845261121856,0.848,0.848
1,MX,>100000,2,517,0.0038684719535783366,0.004,0.004
1,MX,15000_30000,72,517,0.13926499032882012,0.112,0.112
1,MX,30000_50000,12,517,0.02321083172147002,0.02799999999999999,0.02799999999999999
1,MX,50000_100000,5,517,0.009671179883945842,0.008,0.008
2,CL,<15000,67,78,0.8589743589743589,0.754,0.754
2,CL,>100000,0,78,0,0.009,0.009
2,CL,15000_30000,8,78,0.10256410256410256,0.161,0.161
2,CL,30000_50000,3,78,0.038461538461538464,0.052,0.052
2,CL,50000_100000,0,78,0,0.024,0.024
2,CO,<15000,13,13,1,0.889,0.9164948453608248
2,CO,>100000,0,13,0,0.003,0
2,CO,15000_30000,0,13,0,0.081,0.08350515463917527
2,CO,30000_50000,0,13,0,0.019,0
2,CO,50000_100000,0,13,0,0.008,0
2,MX,<15000,429,517,0.8297872340425532,0.848,0.848
2,MX,>100000,3,517,0.005802707930367505,0.004,0.004
2,MX,15000_30000,64,517,0.12379110251450677,0.112,0.112
2,MX,30000_50000,14,517,0.027079303675048357,0.02799999999999999,0.02799999999999999
2,MX,50000_100000,7,517,0.013539651837524178,0.008,0.008
3,CL,<15000,59,78,0.7564102564102564,0.754,0.754
3,CL,>100000,0,78,0,0.009,0.009
3,CL,15000_30000,15,78,0.19230769230769232,0.161,0.161
3,CL,30000_50000,2,78,0.02564102564102564,0.052,0.052
3,CL,50000_100000,2,78,0.02564102564102564,0.024,0.024
3,CO,<15000,12,13,0.9230769230769231,0.889,0.9164948453608248
3,CO,>100000,0,13,0,0.003,0
3,CO,15000_30000,1,13,0.07692307692307693,0.081,0.08350515463917527
3,CO,30000_50000,0,13,0,0.019,0
3,CO,50000_100000,0,13,0,0.008,0
3,MX,<15000,439,517,0.8491295938104448,0.848,0.848
3,MX,>100000,0,517,0,0.004,0.004
3,MX,15000_30000,60,517,0.11605415860735009,0.112,0.112
3,MX,30000_50000,10,517,0.019342359767891684,0.02799999999999999,0.02799999999999999
3,MX,50000_100000,8,517,0.015473887814313346,0.008,0.008
