bootstrap_id,country_code,n_draws,n_unique_people,unique_share
1,CL,78,34,0.4358974358974359
1,CO,13,3,0.23076923076923078
1,MX,517,226,0.437137330754352
2,CL,78,32,0.41025641025641024
2,CO,13,2,0.15384615384615385
2,MX,517,227,0.43907156673114117
3,CL,78,37,0.47435897435897434
3,CO,13,3,0.23076923076923078
3,MX,517,232,0.44874274661508706
4,CL,78,31,0.3974358974358974
4,CO,13,3,0.23076923076923078
4,MX,517,221,0.4274661508704062
5,CL,78,36,0.46153846153846156
5,CO,13,3,0.23076923076923078
5,MX,517,226,0.437137330754352
6,CL,78,34,0.4358974358974359
6,CO,13,3,0.23076923076923078
6,MX,517,231,0.44680851063829785
7,CL,78,43,0.5512820512820513
7,CO,13,3,0.23076923076923078
7,MX,517,233,0.4506769825918762
8,CL,78,34,0.4358974358974359
8,CO,13,3,0.23076923076923078
8,MX,517,224,0.4332688588007737
9,CL,78,35,0.44871794871794873
9,CO,13,3,0.23076923076923078
9,MX,517,234,0.4526112185686654
10,CL,78,42,0.5384615384615384
10,CO,13,2,0.15384615384615385
10,MX,517,229,0.44294003868471954
11,CL,78,39,0.5
11,CO,13,3,0.23076923076923078
11,MX,517,229,0.44294003868471954
12,CL,78,41,0.5256410256410257
12,CO,13,3,0.23076923076923078
12,MX,517,234,0.4526112185686654
13,CL,78,38,0.48717948717948717
13,CO,13,3,0.23076923076923078
13,MX,517,219,0.42359767891682787
14,CL,78,39,0.5
14,CO,13,2,0.15384615384615385
14,MX,517,218,0.42166344294003866
15,CL,78,38,0.48717948717948717
15,CO,13,2,0.15384615384615385
15,MX,517,220,0.425531914893617
16,CL,78,36,0.46153846153846156
16,CO,13,3,0.23076923076923078
16,MX,517,227,0.43907156673114117
17,CL,78,36,0.46153846153846156
17,CO,13,2,0.15384615384615385
17,MX,517,214,0.41392649903288203
18,CL,78,37,0.47435897435897434
18,CO,13,3,0.23076923076923078
18,MX,517,216,0.41779497098646035
19,CL,78,41,0.5256410256410257
19,CO,13,3,0.23076923076923078
19,MX,517,225,0.43520309477756286
20,CL,78,41,0.5256410256410257
20,CO,13,3,0.23076923076923078
20,MX,517,221,0.4274661508704062
21,CL,78,42,0.5384615384615384
21,CO,13,3,0.23076923076923078
21,MX,517,222,0.42940038684719534
22,CL,78,40,0.5128205128205128
22,CO,13,2,0.15384615384615385
22,MX,517,223,0.43133462282398455
23,CL,78,40,0.5128205128205128
23,CO,13,2,0.15384615384615385
23,MX,517,222,0.42940038684719534
24,CL,78,38,0.48717948717948717
24,CO,13,2,0.15384615384615385
24,MX,517,220,0.425531914893617
25,CL,78,39,0.5
25,CO,13,3,0.23076923076923078
25,MX,517,221,0.4274661508704062
26,CL,78,39,0.5
26,CO,13,3,0.23076923076923078
26,MX,517,219,0.42359767891682787
27,CL,78,42,0.5384615384615384
27,CO,13,3,0.23076923076923078
27,MX,517,225,0.43520309477756286
28,CL,78,39,0.5
28,CO,13,3,0.23076923076923078
28,MX,517,212,0.41005802707930367
29,CL,78,42,0.5384615384615384
29,CO,13,3,0.23076923076923078
29,MX,517,213,0.4119922630560928
30,CL,78,41,0.5256410256410257
30,CO,13,3,0.23076923076923078
30,MX,517,226,0.437137330754352
31,CL,78,37,0.47435897435897434
31,CO,13,2,0.15384615384615385
31,MX,517,225,0.43520309477756286
32,CL,78,37,0.47435897435897434
32,CO,13,3,0.23076923076923078
32,MX,517,235,0.45454545454545453
33,CL,78,40,0.5128205128205128
33,CO,13,3,0.23076923076923078
33,MX,517,221,0.4274661508704062
34,CL,78,33,0.4230769230769231
34,CO,13,3,0.23076923076923078
34,MX,517,231,0.44680851063829785
35,CL,78,37,0.47435897435897434
35,CO,13,3,0.23076923076923078
35,MX,517,213,0.4119922630560928
36,CL,78,38,0.48717948717948717
36,CO,13,3,0.23076923076923078
36,MX,517,233,0.4506769825918762
37,CL,78,46,0.5897435897435898
37,CO,13,3,0.23076923076923078
37,MX,517,222,0.42940038684719534
38,CL,78,40,0.5128205128205128
38,CO,13,3,0.23076923076923078
38,MX,517,216,0.41779497098646035
39,CL,78,38,0.48717948717948717
39,CO,13,3,0.23076923076923078
39,MX,517,233,0.4506769825918762
40,CL,78,38,0.48717948717948717
40,CO,13,3,0.23076923076923078
40,MX,517,232,0.44874274661508706
41,CL,78,42,0.5384615384615384
41,CO,13,2,0.15384615384615385
41,MX,517,217,0.4197292069632495
42,CL,78,35,0.44871794871794873
42,CO,13,2,0.15384615384615385
42,MX,517,229,0.44294003868471954
43,CL,78,41,0.5256410256410257
43,CO,13,3,0.23076923076923078
43,MX,517,237,0.4584139264990329
44,CL,78,37,0.47435897435897434
44,CO,13,3,0.23076923076923078
44,MX,517,232,0.44874274661508706
45,CL,78,41,0.5256410256410257
45,CO,13,2,0.15384615384615385
45,MX,517,229,0.44294003868471954
46,CL,78,41,0.5256410256410257
46,CO,13,3,0.23076923076923078
46,MX,517,224,0.4332688588007737
47,CL,78,36,0.46153846153846156
47,CO,13,2,0.15384615384615385
47,MX,517,231,0.44680851063829785
48,CL,78,35,0.44871794871794873
48,CO,13,2,0.15384615384615385
48,MX,517,219,0.42359767891682787
49,CL,78,37,0.47435897435897434
49,CO,13,2,0.15384615384615385
49,MX,517,233,0.4506769825918762
50,CL,78,41,0.5256410256410257
50,CO,13,3,0.23076923076923078
50,MX,517,225,0.43520309477756286
51,CL,78,35,0.44871794871794873
51,CO,13,3,0.23076923076923078
51,MX,517,221,0.4274661508704062
52,CL,78,36,0.46153846153846156
52,CO,13,3,0.23076923076923078
52,MX,517,228,0.4410058027079304
53,CL,78,41,0.5256410256410257
53,CO,13,3,0.23076923076923078
53,MX,517,219,0.42359767891682787
54,CL,78,39,0.5
54,CO,13,3,0.23076923076923078
54,MX,517,220,0.425531914893617
55,CL,78,36,0.46153846153846156
55,CO,13,3,0.23076923076923078
55,MX,517,219,0.42359767891682787
56,CL,78,35,0.44871794871794873
56,CO,13,3,0.23076923076923078
56,MX,517,218,0.42166344294003866
57,CL,78,36,0.46153846153846156
57,CO,13,3,0.23076923076923078
57,MX,517,222,0.42940038684719534
58,CL,78,39,0.5
58,CO,13,2,0.15384615384615385
58,MX,517,232,0.44874274661508706
59,CL,78,39,0.5
59,CO,13,3,0.23076923076923078
59,MX,517,231,0.44680851063829785
60,CL,78,40,0.5128205128205128
60,CO,13,3,0.23076923076923078
60,MX,517,225,0.43520309477756286
61,CL,78,38,0.48717948717948717
61,CO,13,3,0.23076923076923078
61,MX,517,230,0.4448742746615087
62,CL,78,39,0.5
62,CO,13,3,0.23076923076923078
62,MX,517,220,0.425531914893617
63,CL,78,41,0.5256410256410257
63,CO,13,3,0.23076923076923078
63,MX,517,223,0.43133462282398455
64,CL,78,39,0.5
64,CO,13,3,0.23076923076923078
64,MX,517,217,0.4197292069632495
65,CL,78,35,0.44871794871794873
65,CO,13,3,0.23076923076923078
65,MX,517,228,0.4410058027079304
66,CL,78,42,0.5384615384615384
66,CO,13,2,0.15384615384615385
66,MX,517,223,0.43133462282398455
67,CL,78,44,0.5641025641025641
67,CO,13,3,0.23076923076923078
67,MX,517,213,0.4119922630560928
68,CL,78,40,0.5128205128205128
68,CO,13,3,0.23076923076923078
68,MX,517,220,0.425531914893617
69,CL,78,34,0.4358974358974359
69,CO,13,3,0.23076923076923078
69,MX,517,224,0.4332688588007737
70,CL,78,39,0.5
70,CO,13,2,0.15384615384615385
70,MX,517,235,0.45454545454545453
71,CL,78,36,0.46153846153846156
71,CO,13,3,0.23076923076923078
71,MX,517,240,0.46421663442940037
72,CL,78,39,0.5
72,CO,13,3,0.23076923076923078
72,MX,517,219,0.42359767891682787
73,CL,78,38,0.48717948717948717
73,CO,13,3,0.23076923076923078
73,MX,517,222,0.42940038684719534
74,CL,78,40,0.5128205128205128
74,CO,13,3,0.23076923076923078
74,MX,517,231,0.44680851063829785
75,CL,78,39,0.5
75,CO,13,3,0.23076923076923078
75,MX,517,235,0.45454545454545453
76,CL,78,40,0.5128205128205128
76,CO,13,2,0.15384615384615385
76,MX,517,224,0.4332688588007737
77,CL,78,39,0.5
77,CO,13,2,0.15384615384615385
77,MX,517,233,0.4506769825918762
78,CL,78,39,0.5
78,CO,13,3,0.23076923076923078
78,MX,517,224,0.4332688588007737
79,CL,78,38,0.48717948717948717
79,CO,13,3,0.23076923076923078
79,MX,517,222,0.42940038684719534
80,CL,78,39,0.5
80,CO,13,3,0.23076923076923078
80,MX,517,224,0.4332688588007737
81,CL,78,36,0.46153846153846156
81,CO,13,3,0.23076923076923078
81,MX,517,222,0.42940038684719534
82,CL,78,36,0.46153846153846156
82,CO,13,3,0.23076923076923078
82,MX,517,219,0.42359767891682787
83,CL,78,36,0.46153846153846156
83,CO,13,3,0.23076923076923078
83,MX,517,230,0.4448742746615087
84,CL,78,40,0.5128205128205128
84,CO,13,2,0.15384615384615385
84,MX,517,225,0.43520309477756286
85,CL,78,35,0.44871794871794873
85,CO,13,2,0.15384615384615385
85,MX,517,238,0.46034816247582205
86,CL,78,37,0.47435897435897434
86,CO,13,3,0.23076923076923078
86,MX,517,218,0.42166344294003866
87,CL,78,35,0.44871794871794873
87,CO,13,2,0.15384615384615385
87,MX,517,223,0.43133462282398455
88,CL,78,41,0.5256410256410257
88,CO,13,3,0.23076923076923078
88,MX,517,222,0.42940038684719534
89,CL,78,45,0.5769230769230769
89,CO,13,3,0.23076923076923078
89,MX,517,220,0.425531914893617
90,CL,78,34,0.4358974358974359
90,CO,13,3,0.23076923076923078
90,MX,517,221,0.4274661508704062
91,CL,78,36,0.46153846153846156
91,CO,13,3,0.23076923076923078
91,MX,517,227,0.43907156673114117
92,CL,78,37,0.47435897435897434
92,CO,13,3,0.23076923076923078
92,MX,517,223,0.43133462282398455
93,CL,78,36,0.46153846153846156
93,CO,13,3,0.23076923076923078
93,MX,517,223,0.43133462282398455
94,CL,78,39,0.5
94,CO,13,3,0.23076923076923078
94,MX,517,232,0.44874274661508706
95,CL,78,39,0.5
95,CO,13,2,0.15384615384615385
95,MX,517,214,0.41392649903288203
96,CL,78,36,0.46153846153846156
96,CO,13,3,0.23076923076923078
96,MX,517,220,0.425531914893617
97,CL,78,33,0.4230769230769231
97,CO,13,2,0.15384615384615385
97,MX,517,235,0.45454545454545453
98,CL,78,41,0.5256410256410257
98,CO,13,3,0.23076923076923078
98,MX,517,230,0.4448742746615087
99,CL,78,43,0.5512820512820513
99,CO,13,2,0.15384615384615385
