bootstrap_id,country_code,n_draws_country,n_draw_country,correct_country_size
69,CL,78,78,TRUE
69,CO,13,13,TRUE
69,MX,517,517,TRUE
70,CL,78,78,TRUE
70,CO,13,13,TRUE
70,MX,517,517,TRUE
71,CL,78,78,TRUE
71,CO,13,13,TRUE
71,MX,517,517,TRUE
72,CL,78,78,TRUE
72,CO,13,13,TRUE
72,MX,517,517,TRUE
73,CL,78,78,TRUE
73,CO,13,13,TRUE
73,MX,517,517,TRUE
74,CL,78,78,TRUE
74,CO,13,13,TRUE
74,MX,517,517,TRUE
75,CL,78,78,TRUE
75,CO,13,13,TRUE
75,MX,517,517,TRUE
76,CL,78,78,TRUE
76,CO,13,13,TRUE
76,MX,517,517,TRUE
77,CL,78,78,TRUE
77,CO,13,13,TRUE
77,MX,517,517,TRUE
78,CL,78,78,TRUE
78,CO,13,13,TRUE
78,MX,517,517,TRUE
79,CL,78,78,TRUE
79,CO,13,13,TRUE
79,MX,517,517,TRUE
80,CL,78,78,TRUE
80,CO,13,13,TRUE
80,MX,517,517,TRUE
81,CL,78,78,TRUE
81,CO,13,13,TRUE
81,MX,517,517,TRUE
82,CL,78,78,TRUE
82,CO,13,13,TRUE
82,MX,517,517,TRUE
83,CL,78,78,TRUE
83,CO,13,13,TRUE
83,MX,517,517,TRUE
84,CL,78,78,TRUE
84,CO,13,13,TRUE
84,MX,517,517,TRUE
85,CL,78,78,TRUE
85,CO,13,13,TRUE
85,MX,517,517,TRUE
86,CL,78,78,TRUE
86,CO,13,13,TRUE
86,MX,517,517,TRUE
87,CL,78,78,TRUE
87,CO,13,13,TRUE
87,MX,517,517,TRUE
88,CL,78,78,TRUE
88,CO,13,13,TRUE
88,MX,517,517,TRUE
89,CL,78,78,TRUE
89,CO,13,13,TRUE
89,MX,517,517,TRUE
90,CL,78,78,TRUE
90,CO,13,13,TRUE
90,MX,517,517,TRUE
91,CL,78,78,TRUE
91,CO,13,13,TRUE
91,MX,517,517,TRUE
92,CL,78,78,TRUE
92,CO,13,13,TRUE
92,MX,517,517,TRUE
93,CL,78,78,TRUE
93,CO,13,13,TRUE
93,MX,517,517,TRUE
94,CL,78,78,TRUE
94,CO,13,13,TRUE
94,MX,517,517,TRUE
95,CL,78,78,TRUE
95,CO,13,13,TRUE
95,MX,517,517,TRUE
96,CL,78,78,TRUE
96,CO,13,13,TRUE
96,MX,517,517,TRUE
97,CL,78,78,TRUE
97,CO,13,13,TRUE
97,MX,517,517,TRUE
98,CL,78,78,TRUE
98,CO,13,13,TRUE
98,MX,517,517,TRUE
99,CL,78,78,TRUE
99,CO,13,13,TRUE
99,MX,517,517,TRUE
100,CL,78,78,TRUE
100,CO,13,13,TRUE
100,MX,517,517,TRUE
101,CL,78,78,TRUE
101,CO,13,13,TRUE
101,MX,517,517,TRUE
102,CL,78,78,TRUE
102,CO,13,13,TRUE
102,MX,517,517,TRUE
103,CL,78,78,TRUE
103,CO,13,13,TRUE
103,MX,517,517,TRUE
104,CL,78,78,TRUE
104,CO,13,13,TRUE
104,MX,517,517,TRUE
105,CL,78,78,TRUE
105,CO,13,13,TRUE
105,MX,517,517,TRUE
106,CL,78,78,TRUE
106,CO,13,13,TRUE
106,MX,517,517,TRUE
107,CL,78,78,TRUE
107,CO,13,13,TRUE
107,MX,517,517,TRUE
108,CL,78,78,TRUE
108,CO,13,13,TRUE
108,MX,517,517,TRUE
109,CL,78,78,TRUE
109,CO,13,13,TRUE
109,MX,517,517,TRUE
110,CL,78,78,TRUE
110,CO,13,13,TRUE
110,MX,517,517,TRUE
111,CL,78,78,TRUE
111,CO,13,13,TRUE
111,MX,517,517,TRUE
112,CL,78,78,TRUE
112,CO,13,13,TRUE
112,MX,517,517,TRUE
113,CL,78,78,TRUE
113,CO,13,13,TRUE
113,MX,517,517,TRUE
114,CL,78,78,TRUE
114,CO,13,13,TRUE
114,MX,517,517,TRUE
115,CL,78,78,TRUE
115,CO,13,13,TRUE
115,MX,517,517,TRUE
116,CL,78,78,TRUE
116,CO,13,13,TRUE
116,MX,517,517,TRUE
117,CL,78,78,TRUE
117,CO,13,13,TRUE
117,MX,517,517,TRUE
118,CL,78,78,TRUE
