country_code,n_people,sum_selection_prob,min_selection_prob,max_selection_prob
CL,66,1.0000000000000002,0.002999999999999998,0.02899999999999998
CO,3,1,0.08350515463917527,0.4582474226804124
MX,347,1.0000000000000067,2.5000000000000136e-4,0.00463387978142079
