dataset_source,n_rows,n_usable_for_clustering,prop_usable_for_clustering,n_usable_for_main_analysis,prop_usable_for_main_analysis,n_usable_complete,n_usable_complete_limited_metadata,n_usable_partial,n_usable_partial_limited_metadata,n_no_determinants,n_too_many_missing_determinants,n_suspicious_determinants,n_invalid_determinants,mean_n_det_valid,min_n_det_valid,max_n_det_valid,mean_det_row_sd,n_metadata_complete,n_metadata_partial,n_metadata_poor
diego,1899,1899,1,1899,1,1857,42,0,0,0,0,0,0,32,32,32,26.245692264226285,1857,42,0
rv,1229,895,0.7282343368592351,895,0.7282343368592351,759,136,0,0,274,54,6,0,24.27013832384051,0,32,25.471024794437543,988,135,106
why,1628,1580,0.9705159705159705,1580,0.9705159705159705,1439,141,0,0,20,21,7,0,31.320638820638834,0,32,24.25695635200632,1461,167,0
