comparison_region,subsample,dataset_source,row_quality_final,n,prop
EUROPE,DIEGO,diego,usable_complete,1857,0.9778830963665087
EUROPE,DIEGO,diego,usable_complete_limited_metadata,42,0.022116903633491312
EUROPE,RENOVISOR,rv,usable_complete,546,0.44426362896663957
EUROPE,RENOVISOR,rv,usable_partial,279,0.22701383238405207
EUROPE,RENOVISOR,rv,no_determinants,274,0.2229454841334418
EUROPE,RENOVISOR,rv,too_many_missing_determinants,54,0.043938161106590726
EUROPE,RENOVISOR,rv,usable_complete_limited_metadata,47,0.03824247355573637
EUROPE,RENOVISOR,rv,usable_partial_limited_metadata,22,0.01790073230268511
EUROPE,RENOVISOR,rv,suspicious_determinants,7,0.005695687550854353
EUROPE,WHY_EUROPE,why,usable_complete,806,0.8141414141414142
EUROPE,WHY_EUROPE,why,usable_partial,164,0.16565656565656567
EUROPE,WHY_EUROPE,why,no_determinants,9,0.00909090909090909
EUROPE,WHY_EUROPE,why,too_many_missing_determinants,8,0.00808080808080808
EUROPE,WHY_EUROPE,why,suspicious_determinants,2,0.00202020202020202
EUROPE,WHY_EUROPE,why,usable_partial_limited_metadata,1,0.00101010101010101
LATAM,WHY_LATAM,why,usable_complete,404,0.6332288401253918
LATAM,WHY_LATAM,why,usable_complete_limited_metadata,75,0.11755485893416928
LATAM,WHY_LATAM,why,usable_partial,65,0.10188087774294671
LATAM,WHY_LATAM,why,usable_partial_limited_metadata,64,0.10031347962382445
LATAM,WHY_LATAM,why,too_many_missing_determinants,13,0.02037617554858934
LATAM,WHY_LATAM,why,no_determinants,11,0.017241379310344827
LATAM,WHY_LATAM,why,suspicious_determinants,6,0.009404388714733543
