integrated_row_id,comparison_region,subsample,dataset_source,n_det_valid_original,n_det_missing_original,n_det_imputed_50,prop_det_imputed_50,has_det_imputed_50,det_cols_imputed_50,n_det_valid,n_det_missing,usable_for_clustering
1,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
2,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
3,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
4,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
5,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
6,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
7,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
8,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
9,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
10,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
11,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
12,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_23_support,32,0,TRUE
13,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
14,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
15,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
16,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,FALSE
17,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
18,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
19,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
20,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
21,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_07_legal,32,0,TRUE
22,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
23,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
24,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
25,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_20_coziness,32,0,TRUE
26,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
27,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
28,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
29,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
30,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
31,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
32,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_26_novelty,32,0,TRUE
33,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
34,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
35,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
36,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
37,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_29_trends,32,0,TRUE
38,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
39,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
40,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
41,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
42,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
43,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
44,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
45,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
46,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
47,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
48,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
49,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_10_cost_efficiency,32,0,TRUE
50,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
51,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
52,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
53,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
54,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
55,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
56,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
57,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
58,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
59,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
60,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
61,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
62,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
63,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
64,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
65,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
66,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
67,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,FALSE
68,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
69,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_04_added_value,32,0,TRUE
70,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
71,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
72,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
73,EUROPE,RENOVISOR,rv,30,2,2,0.0625,TRUE,det_06_climate_protection; det_23_support,32,0,TRUE
74,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_26_novelty,32,0,TRUE
75,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
76,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
77,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
78,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
79,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
80,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
81,EUROPE,RENOVISOR,rv,30,2,2,0.0625,TRUE,det_04_added_value; det_06_climate_protection,32,0,TRUE
82,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_14_environmental_concerns,32,0,TRUE
83,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
84,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
85,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
86,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
87,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
88,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
89,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
90,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
91,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
92,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_27_fun,32,0,TRUE
93,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
94,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
95,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
96,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
97,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
98,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
99,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
100,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
101,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
102,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
103,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
104,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_25_agreement,32,0,TRUE
105,EUROPE,RENOVISOR,rv,31,1,1,0.03125,TRUE,det_12_own_competence,32,0,TRUE
106,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
107,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
108,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
109,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
110,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
111,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
112,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
113,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
114,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
115,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
116,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
117,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
118,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
119,EUROPE,RENOVISOR,rv,29,3,3,0.09375,TRUE,det_03_risk_profile; det_20_coziness; det_28_recognition,32,0,TRUE
120,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
121,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
122,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
123,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
124,EUROPE,RENOVISOR,rv,0,32,0,0,FALSE,NA,0,32,FALSE
125,EUROPE,RENOVISOR,rv,32,0,0,0,FALSE,NA,32,0,TRUE
