dataset_source,n_rows,n_has_binary_vote_outcome,prop_has_binary_vote_outcome,n_has_age,prop_has_age,n_has_education,prop_has_education,n_has_income,prop_has_income,n_has_country,prop_has_country,n_has_city_size,prop_has_city_size,n_has_employment,prop_has_employment,mean_n_propensity_predictors_available,n_predictors_strict_complete,prop_predictors_strict_complete,n_predictors_complete_without_income,prop_predictors_complete_without_income,n_predictors_minimal,prop_predictors_minimal,n_model_ready_strict,prop_model_ready_strict,n_model_ready_without_income,prop_model_ready_without_income,n_model_ready_minimal,prop_model_ready_minimal
diego,1899,0,0,1899,1,1883,0.9915745129015271,1764,0.9289099526066351,1899,1,0,0,1874,0.9868351764086362,4.907319641916798,0,0,0,0,1874,0.9868351764086362,0,0,0,0,0,0
rv,1229,626,0.5093572009764036,1014,0.8250610252237591,871,0.708706265256306,0,0,1113,0.9056143205858421,1120,0.9113100081366965,885,0.7200976403580146,4.070789259560618,0,0,762,0.6200162733930025,790,0.6427990235964198,0,0,413,0.3360455655004068,426,0.34662327095199347
why,1628,0,0,1461,0.8974201474201474,158,0.09705159705159705,0,0,1628,1,0,0,1163,0.7143734643734644,2.70884520884521,0,0,0,0,774,0.47542997542997545,0,0,0,0,0,0
