analysis_sample,comparison_region,n_total,n_usable_for_clustering,prop_usable_for_clustering
POOLED_ALL,ALL,4756,4372,0.9192598822539949
DIEGO,EUROPE,1899,1899,1
RENOVISOR,EUROPE,1229,894,0.7274206672091131
WHY_EUROPE,EUROPE,990,971,0.9808080808080808
WHY_LATAM,LATAM,638,608,0.9529780564263323
