comparison_region,subsample,dataset_source,det_col,n_rows,n_missing,prop_missing,n_out_of_range
EUROPE,RENOVISOR,rv,det_18_autonomy,1229,298,0.24247355573637103,0
EUROPE,RENOVISOR,rv,det_19_wellbeing,1229,295,0.24003254678600489,0
EUROPE,RENOVISOR,rv,det_20_coziness,1229,298,0.24247355573637103,0
EUROPE,RENOVISOR,rv,det_21_rights_and_duties,1229,293,0.23840520748576077,0
EUROPE,RENOVISOR,rv,det_22_peer_pressure,1229,296,0.24084621643612694,0
EUROPE,RENOVISOR,rv,det_23_support,1229,303,0.24654190398698128,0
EUROPE,RENOVISOR,rv,det_24_socialising,1229,297,0.24165988608624897,0
EUROPE,RENOVISOR,rv,det_25_agreement,1229,297,0.24165988608624897,0
EUROPE,RENOVISOR,rv,det_26_novelty,1229,293,0.23840520748576077,0
EUROPE,RENOVISOR,rv,det_27_fun,1229,299,0.24328722538649308,0
EUROPE,RENOVISOR,rv,det_28_recognition,1229,295,0.24003254678600489,0
EUROPE,RENOVISOR,rv,det_29_trends,1229,296,0.24084621643612694,0
EUROPE,RENOVISOR,rv,det_30_authority,1229,300,0.24410089503661514,0
EUROPE,RENOVISOR,rv,det_31_approval,1229,292,0.23759153783563874,0
EUROPE,RENOVISOR,rv,det_32_own_significance,1229,296,0.24084621643612694,0
EUROPE,WHY_EUROPE,why,det_01_profits,990,14,0.014141414141414142,0
EUROPE,WHY_EUROPE,why,det_02_credit_score,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_03_risk_profile,990,14,0.014141414141414142,0
EUROPE,WHY_EUROPE,why,det_04_added_value,990,17,0.01717171717171717,0
EUROPE,WHY_EUROPE,why,det_05_frugality,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_06_climate_protection,990,13,0.013131313131313131,0
EUROPE,WHY_EUROPE,why,det_07_legal,990,17,0.01717171717171717,0
EUROPE,WHY_EUROPE,why,det_08_trust,990,17,0.01717171717171717,0
EUROPE,WHY_EUROPE,why,det_09_safety,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_10_cost_efficiency,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_11_knowledge,990,14,0.014141414141414142,0
EUROPE,WHY_EUROPE,why,det_12_own_competence,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_13_technical_fit,990,17,0.01717171717171717,0
EUROPE,WHY_EUROPE,why,det_14_environmental_concerns,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_15_self_satisfaction,990,14,0.014141414141414142,0
EUROPE,WHY_EUROPE,why,det_16_commitment,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_17_adherence,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_18_autonomy,990,13,0.013131313131313131,0
EUROPE,WHY_EUROPE,why,det_19_wellbeing,990,14,0.014141414141414142,0
EUROPE,WHY_EUROPE,why,det_20_coziness,990,13,0.013131313131313131,0
EUROPE,WHY_EUROPE,why,det_21_rights_and_duties,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_22_peer_pressure,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_23_support,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_24_socialising,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_25_agreement,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_26_novelty,990,17,0.01717171717171717,0
EUROPE,WHY_EUROPE,why,det_27_fun,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_28_recognition,990,15,0.015151515151515152,0
EUROPE,WHY_EUROPE,why,det_29_trends,990,14,0.014141414141414142,0
EUROPE,WHY_EUROPE,why,det_30_authority,990,16,0.01616161616161616,0
EUROPE,WHY_EUROPE,why,det_31_approval,990,17,0.01717171717171717,0
EUROPE,WHY_EUROPE,why,det_32_own_significance,990,16,0.01616161616161616,0
LATAM,WHY_LATAM,why,det_01_profits,638,21,0.032915360501567396,0
LATAM,WHY_LATAM,why,det_02_credit_score,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_03_risk_profile,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_04_added_value,638,23,0.03605015673981191,0
LATAM,WHY_LATAM,why,det_05_frugality,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_06_climate_protection,638,22,0.034482758620689655,0
LATAM,WHY_LATAM,why,det_07_legal,638,18,0.02821316614420063,0
LATAM,WHY_LATAM,why,det_08_trust,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_09_safety,638,20,0.03134796238244514,0
LATAM,WHY_LATAM,why,det_10_cost_efficiency,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_11_knowledge,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_12_own_competence,638,18,0.02821316614420063,0
LATAM,WHY_LATAM,why,det_13_technical_fit,638,20,0.03134796238244514,0
LATAM,WHY_LATAM,why,det_14_environmental_concerns,638,18,0.02821316614420063,0
LATAM,WHY_LATAM,why,det_15_self_satisfaction,638,22,0.034482758620689655,0
LATAM,WHY_LATAM,why,det_16_commitment,638,17,0.02664576802507837,0
LATAM,WHY_LATAM,why,det_17_adherence,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_18_autonomy,638,16,0.025078369905956112,0
LATAM,WHY_LATAM,why,det_19_wellbeing,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_20_coziness,638,20,0.03134796238244514,0
LATAM,WHY_LATAM,why,det_21_rights_and_duties,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_22_peer_pressure,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_23_support,638,17,0.02664576802507837,0
LATAM,WHY_LATAM,why,det_24_socialising,638,18,0.02821316614420063,0
LATAM,WHY_LATAM,why,det_25_agreement,638,17,0.02664576802507837,0
LATAM,WHY_LATAM,why,det_26_novelty,638,18,0.02821316614420063,0
LATAM,WHY_LATAM,why,det_27_fun,638,19,0.029780564263322883,0
LATAM,WHY_LATAM,why,det_28_recognition,638,22,0.034482758620689655,0
LATAM,WHY_LATAM,why,det_29_trends,638,21,0.032915360501567396,0
LATAM,WHY_LATAM,why,det_30_authority,638,20,0.03134796238244514,0
LATAM,WHY_LATAM,why,det_31_approval,638,20,0.03134796238244514,0
LATAM,WHY_LATAM,why,det_32_own_significance,638,21,0.032915360501567396,0
