dataset_source,component_n_variable,n_rows,n_rows_with_any,prop_rows_with_any,mean_n_non_missing,min_n_non_missing,max_n_non_missing
diego,n_attention_quality_non_missing,1899,0,0,0,0,0
diego,n_concerns_barriers_non_missing,1899,0,0,0,0,0
diego,n_det_non_missing,1899,1899,1,32,32,32
diego,n_energy_crisis_non_missing,1899,0,0,0,0,0
diego,n_poverty_non_missing,1899,0,0,0,0,0
diego,n_tariffs_costs_payback_non_missing,1899,0,0,0,0,0
diego,n_technology_adoption_non_missing,1899,0,0,0,0,0
diego,n_trust_information_non_missing,1899,1899,1,2,2,2
rv,n_attention_quality_non_missing,1229,1226,0.9975589910496339,11.819365337672906,0,51
rv,n_concerns_barriers_non_missing,1229,1226,0.9975589910496339,18.145646867371845,0,145
rv,n_det_non_missing,1229,955,0.7770545158665582,23.589096826688397,0,32
rv,n_energy_crisis_non_missing,1229,1176,0.9568755085435313,22.404393816110687,0,161
rv,n_poverty_non_missing,1229,326,0.26525630593978844,8.731489015459694,0,159
rv,n_tariffs_costs_payback_non_missing,1229,1226,0.9975589910496339,30.592351505288836,0,136
rv,n_technology_adoption_non_missing,1229,1226,0.9975589910496339,49.184703010577685,0,136
rv,n_trust_information_non_missing,1229,1229,1,12.34499593165176,2,52
why,n_attention_quality_non_missing,990,988,0.997979797979798,5.837373737373737,0,10
why,n_concerns_barriers_non_missing,990,978,0.9878787878787879,2.918181818181818,0,3
why,n_det_non_missing,990,981,0.990909090909091,31.235353535353532,0,32
why,n_energy_crisis_non_missing,990,981,0.990909090909091,3.177777777777778,0,39
why,n_poverty_non_missing,990,0,0,0,0,0
why,n_tariffs_costs_payback_non_missing,990,990,1,26.802020202020202,4,64
why,n_technology_adoption_non_missing,990,988,0.997979797979798,10.236363636363638,0,14
why,n_trust_information_non_missing,990,990,1,9.823232323232324,3,27
