matrix,n_samples,mean_coverage_KM_P6,median_coverage_KM_P6,min_coverage_KM_P6,mean_coverage_EFA_P6,median_coverage_EFA_P6,min_coverage_EFA_P6,n_samples_KM_reach_90_H6,n_samples_EFA_reach_90_H6,mean_P_for_90_KM_when_reached,mean_P_for_90_EFA_when_reached,mean_KM_EFA,mean_KM_EXPERTS,mean_EFA_EXPERTS
RAW,7,78.82286989795662,87.82300595238,27.924315476185328,51.67130952380798,56.19020833333379,19.02470238095021,5,0,7,NA,48.268067910925055,40.01227703488871,33.95656553219578
POS,7,88.99264880952248,95.1441369047609,56.74476190475709,47.620527210884184,54.037380952382314,10.575714285712817,6,0,5,NA,52.167904846476276,43.88101433269501,33.255094558168416
EXT,7,68.49040391156363,80.65139880952381,3.887410714284724,41.658873299319794,49.02946428571446,1.7377380952378318,3,0,9,NA,57.92683506969221,40.240072719064315,33.34311826599531
Z_ABS,7,29.215136054419876,26.314970238093224,3.0413392857134993,36.65661564625837,44.55866071428515,1.626220238094996,0,0,NA,NA,54.1180512609084,28.79601483786579,29.868863925973614
