analysis_sample,matrix_name,matrix,greedy_d_strategy,greedy_h,weighting,n_kmeans_prototypes,min_kmeans_signature_size,max_kmeans_signature_size,n_efa_prototypes,min_efa_signature_size,max_efa_signature_size,coverage_kmeans_after_6_prototypes,coverage_efa_after_6_prototypes,coverage_P6_KMEANS,coverage_P6_EFA,P_for_80_KMEANS,P_for_80_EFA,P_for_85_KMEANS,P_for_85_EFA,P_for_90_KMEANS,P_for_90_EFA,P_for_95_KMEANS,P_for_95_EFA,max_coverage_P12_KMEANS,max_coverage_P12_EFA,mean_similarity__EFA_vs_EXPERTS,mean_similarity__KM_vs_EFA,mean_similarity__KM_vs_EXPERTS,median_similarity__EFA_vs_EXPERTS,median_similarity__KM_vs_EFA,median_similarity__KM_vs_EXPERTS,n_gt50__EFA_vs_EXPERTS,n_gt50__KM_vs_EFA,n_gt50__KM_vs_EXPERTS,n_ge50__EFA_vs_EXPERTS,n_ge50__KM_vs_EFA,n_ge50__KM_vs_EXPERTS
COMPLETE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,90.69184523809244,60.29172619047414,90.69184523809244,60.29172619047414,5,NA,6,NA,6,NA,9,NA,98.26693452380653,77.71836309523526,33.262108262108264,52.11894586894587,43.7898022456846,33.51648351648352,35.41666666666667,48.07692307692308,0,2,1,1,2,3
COMPLETE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,96.20660714285496,64.87330357142632,96.20660714285496,64.87330357142632,3,10,3,NA,4,NA,5,NA,99.38008928571202,82.02059523809227,32.099284158107686,52.346681096681095,48.20797258297259,34.31372549019608,60.714285714285715,48.10606060606061,0,3,3,0,4,3
COMPLETE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,86.53925595238083,55.948720238095824,86.53925595238083,55.948720238095824,5,NA,6,NA,10,NA,NA,NA,92.39642857142844,71.0485119047625,32.555480581796374,56.75925925925926,43.333333333333336,36.217948717948715,71.66666666666666,45,0,4,1,0,4,3
COMPLETE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,58.36610119047407,51.89366071428712,58.36610119047407,51.89366071428712,NA,NA,NA,NA,NA,NA,NA,NA,72.23184523809276,63.09678571428742,31.88286372496899,56.388888888888886,27.603485838779957,31.81818181818182,51.66666666666667,20.58823529411765,1,3,0,1,4,1
EUROPE,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,87.82300595238,49.86928571428471,87.82300595238,49.86928571428471,5,NA,6,NA,8,NA,12,NA,95.0534523809513,79.29589285714135,36.88792688792689,45.11904761904762,40.46296296296296,39.72222222222222,43.75,41.875,0,2,0,1,3,1
EUROPE,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,92.730416666666,54.037380952382314,92.730416666666,54.037380952382314,4,NA,4,NA,6,NA,7,NA,97.93241071428496,71.8894642857159,37.39316239316239,62.91666666666667,48.45860566448802,40.83333333333333,75,50,0,4,2,2,4,4
EUROPE,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,77.12931547619017,46.47279761904731,77.12931547619017,46.47279761904731,11,NA,NA,NA,NA,NA,NA,NA,81.88372023809492,58.63297619047574,34.33501683501683,60.05952380952381,47.685649045943165,43.05555555555556,60.83333333333333,47.51131221719457,0,3,3,0,3,3
EUROPE,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,12,54.477559523805,47.42074404761899,54.477559523805,47.42074404761899,NA,NA,NA,NA,NA,NA,NA,NA,65.16985119047091,53.63794642857133,31.38553712083124,64.36868686868686,29.73418394471026,33.08823529411765,62.27272727272727,27.77777777777778,0,5,1,1,5,1
LATAM,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,89.78014880952142,70.15074404761697,89.78014880952142,70.15074404761697,4,NA,4,NA,7,NA,9,NA,96.28666666666412,79.76327380952142,34.144559144559146,50.131766381766376,36.62150757738993,33.24175824175824,48.33333333333333,37.980769230769226,0,2,0,1,3,1
LATAM,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,15,95.527470238095475,60.99035714285815,95.527470238095475,60.99035714285815,2,NA,3,NA,4,NA,6,NA,98.2127380952383,71.59553571428688,31.860478845772963,56.054131054131055,39.688899063899065,34.13461538461539,61.111111111111114,38.46153846153846,0,4,1,0,4,1
LATAM,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,83.46252976190162,53.258065476191646,83.46252976190162,53.258065476191646,5,NA,7,NA,8,NA,NA,NA,93.36592261904424,65.73479166666803,34.502305972894206,61.41025641025641,35.993200699083054,33.98692810457516,70.83333333333334,39.230769230769226,1,4,0,1,4,0
LATAM,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,26.314970238093224,44.5267857142852,26.314970238093224,44.5267857142852,NA,NA,NA,NA,NA,NA,NA,NA,48.86770833332933,57.2402380952373,33.7428774928775,56.80555555555556,28.822729558023674,35.41666666666667,51.66666666666667,29.02097902097902,1,3,0,1,4,0
DIEGO,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,10,27.924315476185328,19.02470238095021,27.924315476185328,19.02470238095021,NA,NA,NA,NA,NA,NA,NA,NA,31.87470238094643,24.65562499999713,31.787330316742082,45.02136752136752,37.61097820308347,25.824175824175825,42.56410256410256,38.75,1,2,0,1,2,0
DIEGO,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,56.74476190475709,10.575714285712817,56.74476190475709,10.575714285712817,NA,NA,NA,NA,NA,NA,NA,NA,66.41532738094676,13.859642857140964,26.675084175084177,31.34259259259259,43.907828282828284,25.833333333333336,31.25,36.93181818181819,0,1,1,0,2,2
DIEGO,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,14,3.887410714284724,1.7377380952378318,3.887410714284724,1.7377380952378318,NA,NA,NA,NA,NA,NA,NA,NA,7.940863095236074,3.568869047618506,32.13980463980464,47.47604247604248,31.86026936026936,29.166666666666668,50.256410256410255,27.922077922077925,0,3,1,1,3,1
DIEGO,matrix_32_z_abs,Z_ABS,D=8:15 pooled,6,equal_candidate,6,8,14,6,8,14,3.0413392857134993,1.626220238094996,3.0413392857134993,1.626220238094996,NA,NA,NA,NA,NA,NA,NA,NA,5.757172619046131,3.6404761904756473,23.88365167970431,49.007936507936506,25.549242424242426,21.2406015037594,45.83333333333333,27.272727272727273,0,2,0,0,3,0
RENOVISOR,matrix_32_raw_0_1,RAW,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,83.22345238095026,56.19020833333379,83.22345238095026,56.19020833333379,6,NA,7,NA,9,NA,10,NA,96.33467261904512,77.484791666667,35.767195767195766,53.84004884004884,43.307957021192315,41.42857142857143,59.82142857142857,47.22222222222222,0,4,2,0,4,3
RENOVISOR,matrix_32_pos_0_1,POS,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,95.1441369047609,48.50595238095347,95.1441369047609,48.50595238095347,4,NA,4,NA,6,NA,6,NA,97.8179464285704,67.33565476190601,35.62685121895648,47.91666666666667,44.54446425034661,38.75,47.91666666666667,52.27272727272727,0,3,3,0,3,4
RENOVISOR,matrix_32_ext_0_1,EXT,D=8:15 pooled,6,equal_candidate,6,8,15,6,8,15,80.65139880952381,49.02946428571446,80.65139880952381,49.02946428571446,6,NA,9,NA,NA,NA,NA,NA,89.47901785714288,61.09297619047645,30.32721635662812,54.90384615384615,46.0279304029304,29.65686274509804,67.91666666666666,42.54807692307692,1,4,3,1,4,3
