analysis_sample,n_matrices,mean_coverage_KM_P6,mean_coverage_EFA_P6,n_matrices_KM_reach_90_H6,n_matrices_EFA_reach_90_H6,mean_KM_EFA,mean_KM_EXPERTS,mean_EFA_EXPERTS
COMPLETE,4,82.95095238095058,58.25185267857085,3,0,54.40344377844378,40.73364850019262,32.44993418174533
EUROPE,4,78.04007440476029,49.45005208333333,2,0,58.11598124098124,41.5853504045261,35.00041080923434
LATAM,4,73.77127976190293,57.23148809523799,3,0,56.10042735042735,35.28158422459893,33.562555364025954
DIEGO,4,22.89945684523516,8.241093749998964,0,0,43.211984774484776,34.732079567605886,28.6214677028338
RENOVISOR,4,73.17279761904655,51.41686011904823,2,0,54.53220390720391,40.52766241040235,32.45483736679557
WHY_EUROPE,4,59.867626488094515,28.968563988093337,1,0,51.081985144485145,39.144606074753135,32.589613205422026
WHY_LATAM,4,73.95966517856951,57.252909226190376,3,0,54.39547720797721,35.62148193582017,33.562555364025954
