analysis_sample,matrix,comparison,metric,n_pairs,sum_similarity,mean_similarity,median_similarity,min_similarity,max_similarity,n_gt50,n_ge50,pct_pairs_gt50
COMPLETE,RAW,EFA_vs_EXPERTS,jaccard_pct,6,199.57264957264957,33.262108262108264,33.51648351648352,16.666666666666668,50,0,1,0
COMPLETE,RAW,KM_vs_EFA,overlap_left_pct,6,312.71367521367523,52.11894586894587,35.41666666666667,30.76923076923077,100,2,2,33.333333333333336
COMPLETE,RAW,KM_vs_EXPERTS,jaccard_pct,6,262.7388134741076,43.7898022456846,48.07692307692308,23.529411764705884,55.55555555555556,1,3,16.666666666666668
COMPLETE,POS,EFA_vs_EXPERTS,jaccard_pct,6,192.5957049486461,32.099284158107686,34.31372549019608,16.666666666666668,44.44444444444444,0,0,0
COMPLETE,POS,KM_vs_EFA,overlap_left_pct,6,314.0800865800866,52.346681096681095,60.714285714285715,0,81.81818181818181,3,4,50
COMPLETE,POS,KM_vs_EXPERTS,jaccard_pct,6,289.24783549783547,48.20797258297259,48.10606060606061,20,68.75,3,3,50
COMPLETE,EXT,EFA_vs_EXPERTS,jaccard_pct,6,195.33288349077822,32.555480581796374,36.217948717948715,7.6923076923076925,44.44444444444444,0,0,0
COMPLETE,EXT,KM_vs_EFA,overlap_left_pct,6,340.5555555555555,56.75925925925926,71.66666666666666,11.11111111111111,77.77777777777777,4,4,66.66666666666667
COMPLETE,EXT,KM_vs_EXPERTS,jaccard_pct,6,260,43.333333333333336,45,20,60,1,3,16.666666666666668
COMPLETE,Z_ABS,EFA_vs_EXPERTS,jaccard_pct,6,191.29718234981394,31.88286372496899,31.81818181818182,13.333333333333334,55.55555555555556,1,1,16.666666666666668
COMPLETE,Z_ABS,KM_vs_EFA,overlap_left_pct,6,338.33333333333337,56.388888888888886,51.66666666666667,20,100,3,4,50
COMPLETE,Z_ABS,KM_vs_EXPERTS,jaccard_pct,6,165.62091503267973,27.603485838779957,20.58823529411765,13.333333333333334,50,0,1,0
EUROPE,RAW,EFA_vs_EXPERTS,jaccard_pct,6,221.3275613275613,36.88792688792689,39.72222222222222,21.428571428571427,50,0,1,0
EUROPE,RAW,KM_vs_EFA,overlap_left_pct,6,270.7142857142857,45.11904761904762,43.75,26.666666666666668,62.5,2,3,33.333333333333336
EUROPE,RAW,KM_vs_EXPERTS,jaccard_pct,6,242.7777777777778,40.46296296296296,41.875,31.25,50,0,1,0
EUROPE,POS,EFA_vs_EXPERTS,jaccard_pct,6,224.35897435897434,37.39316239316239,40.83333333333333,7.6923076923076925,50,0,2,0
