"cluster","n_patterns","pct_total_patterns","pct_rest_patterns"
"1",1052,0.979625284016836,100
"2",1992,1.85495586099005,99.0203747159832
"3",1773,1.65102246061012,97.1654188549931
"Restantes",102571,95.514396394383,0
