"K","archetypes_used"
1,"Homo.Economicus"
2,"Homo.Economicus | Uninterested"
3,"Homo.Economicus | Uninterested | Influencer"
4,"Homo.Economicus | Uninterested | Influencer | Careful"
5,"Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter"
6,"Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful"
7,"Homo.Economicus | Uninterested | Influencer | Careful | Early.Adopter | Fearful | Stubborn"
