"order_rank","archetype","freq_covered_at_D_order","pct_covered_at_D_order"
1,"Homo.Economicus",3840073,48.0009125
2,"Uninterested",1191315,14.8914375
3,"Influencer",796043,9.9505375
4,"Careful",0,0
5,"Early.Adopter",0,0
6,"Fearful",0,0
7,"Stubborn",0,0
