column,source_prefix,component_guess
integrated_row_id,metadata_or_other,other
global_participant_key,metadata_or_other,other
participant_key,metadata_or_other,other
dataset_source,metadata_or_other,trust_information
n_source_rows,metadata_or_other,trust_information
n_distinct_surveys,metadata_or_other,other
source_survey,metadata_or_other,trust_information
source_file,metadata_or_other,trust_information
prolific_id,metadata_or_other,other
identification_code,metadata_or_other,other
reference_year_model,harmonised_variables,other
year_birth_raw_clean,harmonised_variables,other
age_raw_clean,harmonised_variables,sociodemographics
gender_raw_clean,harmonised_variables,sociodemographics
country_raw_clean,harmonised_variables,sociodemographics
country_code_raw_clean,harmonised_variables,sociodemographics
country_birth_raw_clean,harmonised_variables,sociodemographics
nationality_raw_clean,harmonised_variables,sociodemographics
ethnicity_raw_clean,harmonised_variables,sociodemographics
language_raw_clean,harmonised_variables,sociodemographics
student_status_raw_clean,harmonised_variables,sociodemographics
city_size_raw_clean,harmonised_variables,other
climate_zone_raw_clean,harmonised_variables,other
household_type_raw_clean,harmonised_variables,other
tenure_raw_clean,harmonised_variables,other
education_raw_clean,harmonised_variables,sociodemographics
employment_raw_clean,harmonised_variables,sociodemographics
num_children_raw_clean,harmonised_variables,sociodemographics
health_raw_clean,harmonised_variables,other
income_raw_clean,harmonised_variables,sociodemographics
travel_distance_raw_clean,harmonised_variables,other
travel_time_raw_clean,harmonised_variables,other
work_from_home_raw_clean,harmonised_variables,other
travel_role_raw_clean,harmonised_variables,other
vote_raw_clean,harmonised_variables,vote_politics
political_left_right_raw_clean,harmonised_variables,vote_politics
self_classification_raw_clean,harmonised_variables,other
energy_efficiency_goal_raw_clean,harmonised_variables,other
climate_awareness_raw_clean,harmonised_variables,other
energy_transition_awareness_raw_clean,harmonised_variables,other
renovation_role_raw_clean,harmonised_variables,other
household_decision_raw_clean,harmonised_variables,other
year_birth_model,harmonised_variables,other
age_model,harmonised_variables,sociodemographics
age_model_is_approximate,harmonised_variables,sociodemographics
age_group_model,harmonised_variables,sociodemographics
gender_model,harmonised_variables,sociodemographics
education_model,harmonised_variables,sociodemographics
employment_model,harmonised_variables,sociodemographics
student_status_model,harmonised_variables,sociodemographics
city_size_model,harmonised_variables,other
tenure_model,harmonised_variables,other
health_condition_model,harmonised_variables,other
work_from_home_model,harmonised_variables,other
income_model,harmonised_variables,sociodemographics
num_children_model,harmonised_variables,sociodemographics
country_model,harmonised_variables,sociodemographics
country_model_grouped,harmonised_variables,sociodemographics
country_birth_model,harmonised_variables,sociodemographics
nationality_model,harmonised_variables,sociodemographics
ethnicity_model,harmonised_variables,sociodemographics
language_model,harmonised_variables,sociodemographics
climate_zone_model,harmonised_variables,other
household_type_model,harmonised_variables,other
travel_role_model,harmonised_variables,other
renovation_role_model,harmonised_variables,other
household_decision_model,harmonised_variables,other
vote_status_declared,harmonised_variables,vote_politics
voted_observed,metadata_or_other,vote_politics
political_left_right_model,harmonised_variables,vote_politics
political_block_model,harmonised_variables,vote_politics
self_classification_model,harmonised_variables,other
energy_efficiency_goal_0_100,harmonised_variables,other
climate_awareness_0_100,harmonised_variables,other
energy_transition_awareness_0_100,harmonised_variables,other
travel_distance_model,harmonised_variables,other
travel_time_model,harmonised_variables,other
year_birth_conflict,harmonised_variables,other
age_conflict,harmonised_variables,sociodemographics
gender_conflict,harmonised_variables,sociodemographics
education_conflict,harmonised_variables,sociodemographics
employment_conflict,harmonised_variables,sociodemographics
student_status_conflict,harmonised_variables,sociodemographics
country_conflict,harmonised_variables,sociodemographics
country_birth_conflict,harmonised_variables,sociodemographics
nationality_conflict,harmonised_variables,sociodemographics
ethnicity_conflict,harmonised_variables,sociodemographics
income_conflict,harmonised_variables,sociodemographics
vote_conflict,harmonised_variables,vote_politics
n_det_non_missing,metadata_or_other,other
prop_det_non_missing,metadata_or_other,other
det_01_profits,harmonised_determinants,determinants_32
det_02_credit_score,harmonised_determinants,determinants_32
det_03_risk_profile,harmonised_determinants,determinants_32
det_04_added_value,harmonised_determinants,determinants_32
det_05_frugality,harmonised_determinants,determinants_32
det_06_climate_protection,harmonised_determinants,determinants_32
det_07_legal,harmonised_determinants,determinants_32
det_08_trust,harmonised_determinants,determinants_32
det_09_safety,harmonised_determinants,determinants_32
det_10_cost_efficiency,harmonised_determinants,determinants_32
det_11_knowledge,harmonised_determinants,determinants_32
det_12_own_competence,harmonised_determinants,determinants_32
det_13_technical_fit,harmonised_determinants,determinants_32
det_14_environmental_concerns,harmonised_determinants,determinants_32
det_15_self_satisfaction,harmonised_determinants,determinants_32
det_16_commitment,harmonised_determinants,determinants_32
det_17_adherence,harmonised_determinants,determinants_32
det_18_autonomy,harmonised_determinants,determinants_32
det_19_wellbeing,harmonised_determinants,determinants_32
det_20_coziness,harmonised_determinants,determinants_32
det_21_rights_and_duties,harmonised_determinants,determinants_32
det_22_peer_pressure,harmonised_determinants,determinants_32
det_23_support,harmonised_determinants,determinants_32
det_24_socialising,harmonised_determinants,determinants_32
det_25_agreement,harmonised_determinants,determinants_32
det_26_novelty,harmonised_determinants,determinants_32
det_27_fun,harmonised_determinants,determinants_32
det_28_recognition,harmonised_determinants,determinants_32
det_29_trends,harmonised_determinants,determinants_32
det_30_authority,harmonised_determinants,determinants_32
det_31_approval,harmonised_determinants,determinants_32
det_32_own_significance,harmonised_determinants,determinants_32
year_birth_raw,metadata_or_other,other
gender_raw,metadata_or_other,sociodemographics
country_raw,metadata_or_other,sociodemographics
country_code,metadata_or_other,sociodemographics
rv_decision__do_you_have_a_prolific_id_or_an_identification_code_from_a_previous_survey,rv_decision,other
rv_decision__please_provide_your_prolific_id,rv_decision,other
rv_decision__have_you_ever_taken_a_survey_about_this_project_before,rv_decision,other
rv_decision__please_provide_your_identification_code,rv_decision,other
rv_decision__please_enter_your_year_of_birth,rv_decision,other
rv_decision__what_is_your_gender,rv_decision,sociodemographics
rv_decision__in_which_country_do_you_currently_live,rv_decision,sociodemographics
rv_decision__what_is_the_approximate_population_size_of_the_city_where_you_live,rv_decision,other
rv_decision__in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region,rv_decision,other
rv_decision__what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household,rv_decision,other
rv_decision__what_is_the_current_tenure_status_of_your_home,rv_decision,other
rv_decision__what_is_the_highest_level_of_education_that_you_have_completed_if_you_are_currently_studying_and_have_not_yet_completed_a_level_please_select_the_last_level_you_have_finished,rv_decision,sociodemographics
rv_decision__what_is_your_current_employment_status_please_indicate_your_main_contractual_status_if_you_are_temporarily_on_leave_such_as_sick_leave_parental_leave_or_a_temporary_reduction_in_working_hours_please_report_your_usual_employment_status,rv_decision,sociodemographics
rv_decision__do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks,rv_decision,determinants_32
rv_decision__in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc,rv_decision,other
rv_decision__in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport,rv_decision,other
rv_decision__do_you_currently_work_or_study_from_home,rv_decision,other
rv_decision__which_of_the_following_best_describes_your_usual_travel_role,rv_decision,other
rv_decision__which_of_the_following_best_describes_your_general_approach_to_voting_in_elections,rv_decision,vote_politics
rv_decision__on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically,rv_decision,vote_politics
rv_decision__which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household,rv_decision,tariffs_costs_payback
rv_decision__on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal,rv_decision,tariffs_costs_payback
