comparison_region,subsample,dataset_source,n_rows,n_non_missing_age_model,n_non_missing_age_group_model,n_non_missing_gender_model,n_non_missing_education_model,n_non_missing_employment_model,n_non_missing_student_status_model,n_non_missing_city_size_model,n_non_missing_tenure_model,n_non_missing_income_model,n_non_missing_num_children_model,n_non_missing_country_model,n_non_missing_country_model_grouped,n_non_missing_country_birth_model,n_non_missing_nationality_model,n_non_missing_ethnicity_model,n_non_missing_language_model,n_non_missing_climate_zone_model,n_non_missing_vote_status_declared,n_non_missing_voted_observed,n_non_missing_political_left_right_model,n_non_missing_political_block_model,n_non_missing_self_classification_model,n_non_missing_energy_efficiency_goal_0_100,n_non_missing_climate_awareness_0_100,n_non_missing_energy_transition_awareness_0_100
EUROPE,DIEGO,diego,1899,1899,1899,1857,1883,1874,0,0,0,1764,682,1899,1899,0,0,0,0,0,0,0,0,0,0,0,0,0
EUROPE,RENOVISOR,rv,1229,1014,1014,1098,871,885,0,1120,1075,0,0,1113,1113,0,0,0,156,1119,1101,626,953,953,1086,1083,1101,949
EUROPE,WHY_EUROPE,why,990,988,988,988,2,774,939,0,0,0,0,990,990,977,986,957,990,984,0,0,0,0,0,0,338,390
LATAM,WHY_LATAM,why,638,473,473,473,156,389,420,0,0,0,0,638,638,472,472,336,638,499,0,0,0,0,0,0,127,162
