dataset_source,variable,value,n,prop
why,country_birth_model,TR,11,0.006756756756756757
why,country_birth_model,RU,10,0.006142506142506142
why,country_birth_model,VE,10,0.006142506142506142
why,country_birth_model,FI,9,0.005528255528255528
why,country_birth_model,RO,7,0.0042997542997543
why,country_birth_model,SE,7,0.0042997542997543
why,country_birth_model,BR,5,0.003071253071253071
why,country_birth_model,EE,5,0.003071253071253071
why,country_birth_model,UA,5,0.003071253071253071
why,country_birth_model,CA,4,0.002457002457002457
why,country_birth_model,NG,4,0.002457002457002457
why,country_birth_model,CN,3,0.0018427518427518428
why,country_birth_model,ID,3,0.0018427518427518428
why,country_birth_model,LT,3,0.0018427518427518428
why,country_birth_model,RS,3,0.0018427518427518428
why,country_birth_model,ZA,3,0.0018427518427518428
why,country_birth_model,AU,2,0.0012285012285012285
why,country_birth_model,BD,2,0.0012285012285012285
why,country_birth_model,CH,2,0.0012285012285012285
why,country_birth_model,CU,2,0.0012285012285012285
why,country_birth_model,GH,2,0.0012285012285012285
why,country_birth_model,IR,2,0.0012285012285012285
why,country_birth_model,KZ,2,0.0012285012285012285
why,country_birth_model,LB,2,0.0012285012285012285
why,country_birth_model,MA,2,0.0012285012285012285
why,country_birth_model,MY,2,0.0012285012285012285
why,country_birth_model,PK,2,0.0012285012285012285
why,country_birth_model,AL,1,6.142506142506142e-4
why,country_birth_model,AM,1,6.142506142506142e-4
why,country_birth_model,AR,1,6.142506142506142e-4
why,country_birth_model,BG,1,6.142506142506142e-4
why,country_birth_model,BO,1,6.142506142506142e-4
why,country_birth_model,CM,1,6.142506142506142e-4
why,country_birth_model,CO,1,6.142506142506142e-4
why,country_birth_model,DK,1,6.142506142506142e-4
why,country_birth_model,EG,1,6.142506142506142e-4
why,country_birth_model,HK,1,6.142506142506142e-4
why,country_birth_model,HR,1,6.142506142506142e-4
why,country_birth_model,HT,1,6.142506142506142e-4
why,country_birth_model,KG,1,6.142506142506142e-4
why,country_birth_model,MD,1,6.142506142506142e-4
why,country_birth_model,PA,1,6.142506142506142e-4
why,country_birth_model,PE,1,6.142506142506142e-4
why,country_birth_model,PH,1,6.142506142506142e-4
why,country_birth_model,SA,1,6.142506142506142e-4
why,country_birth_model,SK,1,6.142506142506142e-4
why,country_birth_model,TN,1,6.142506142506142e-4
why,country_birth_model,TZ,1,6.142506142506142e-4
why,country_model_grouped,MX,544,0.33415233415233414
why,country_model_grouped,DE,207,0.12714987714987716
why,country_model_grouped,IT,160,0.09828009828009827
why,country_model_grouped,FR,92,0.056511056511056514
why,country_model_grouped,NL,92,0.056511056511056514
why,country_model_grouped,ES,88,0.05405405405405406
why,country_model_grouped,PL,82,0.05036855036855037
why,country_model_grouped,CL,78,0.04791154791154791
why,country_model_grouped,HU,69,0.04238329238329238
why,country_model_grouped,BE,32,0.019656019656019656
why,country_model_grouped,GR,32,0.019656019656019656
why,country_model_grouped,IE,32,0.019656019656019656
why,country_model_grouped,PT,19,0.01167076167076167
why,country_model_grouped,AT,17,0.010442260442260442
why,country_model_grouped,CO,16,0.009828009828009828
why,country_model_grouped,CZ,16,0.009828009828009828
why,country_model_grouped,LV,14,0.0085995085995086
why,country_model_grouped,FI,12,0.007371007371007371
why,country_model_grouped,SI,12,0.007371007371007371
why,country_model_grouped,SE,9,0.005528255528255528
why,country_model_grouped,OTHER_COUNTRIES,3,0.0018427518427518428
why,country_model_grouped,DK,2,0.0012285012285012285
why,education_model,unknown,1470,0.902948402948403
why,education_model,medium,80,0.04914004914004914
why,education_model,high,77,0.0472972972972973
why,education_model,low,1,6.142506142506142e-4
why,employment_model,employed,927,0.5694103194103194
why,employment_model,unknown,341,0.20945945945945946
why,employment_model,unemployed,186,0.11425061425061425
why,employment_model,other,124,0.07616707616707617
why,employment_model,inactive_other,50,0.030712530712530713
why,gender_model,male,737,0.4527027027027027
why,gender_model,female,724,0.44471744471744473
why,gender_model,unknown,167,0.10257985257985258
why,income_model,unknown,1628,1
why,language_model,EN,998,0.6130221130221131
why,language_model,ES,610,0.3746928746928747
why,language_model,DE,20,0.012285012285012284
why,nationality_model,mexico,390,0.23955773955773957
why,nationality_model,unknown,170,0.10442260442260443
why,nationality_model,italy,159,0.09766584766584767
why,nationality_model,germany,158,0.09705159705159705
why,nationality_model,poland,81,0.049754299754299756
why,nationality_model,spain,80,0.04914004914004914
why,nationality_model,france,72,0.044226044226044224
why,nationality_model,chile,65,0.039926289926289923
why,nationality_model,hungary,62,0.038083538083538086
why,nationality_model,netherlands,59,0.03624078624078624
why,nationality_model,greece,33,0.02027027027027027
why,nationality_model,belgium,26,0.01597051597051597
why,nationality_model,united kingdom,24,0.014742014742014743
why,nationality_model,ireland,23,0.014127764127764128
why,nationality_model,portugal,23,0.014127764127764128
why,nationality_model,united states,19,0.01167076167076167
why,nationality_model,india,16,0.009828009828009828
why,nationality_model,latvia,14,0.0085995085995086
why,nationality_model,austria,13,0.007985257985257985
why,nationality_model,turkey,13,0.007985257985257985
why,nationality_model,czech republic,12,0.007371007371007371
why,nationality_model,slovenia,12,0.007371007371007371
why,nationality_model,finland,9,0.005528255528255528
why,nationality_model,sweden,7,0.0042997542997543
why,nationality_model,romania,6,0.0036855036855036856
why,nationality_model,brazil,5,0.003071253071253071
why,nationality_model,estonia,4,0.002457002457002457
why,nationality_model,nigeria,4,0.002457002457002457
why,nationality_model,russian federation,4,0.002457002457002457
why,nationality_model,south africa,4,0.002457002457002457
why,nationality_model,venezuela bolivarian republic of,4,0.002457002457002457
why,nationality_model,canada,3,0.0018427518427518428
why,nationality_model,china,3,0.0018427518427518428
why,nationality_model,indonesia,3,0.0018427518427518428
why,nationality_model,lebanon,3,0.0018427518427518428
why,nationality_model,lithuania,3,0.0018427518427518428
why,nationality_model,syrian arab republic,3,0.0018427518427518428
why,nationality_model,ukraine,3,0.0018427518427518428
why,nationality_model,australia,2,0.0012285012285012285
why,nationality_model,bangladesh,2,0.0012285012285012285
why,nationality_model,croatia,2,0.0012285012285012285
why,nationality_model,ghana,2,0.0012285012285012285
why,nationality_model,iran,2,0.0012285012285012285
why,nationality_model,serbia,2,0.0012285012285012285
why,nationality_model,tunisia,2,0.0012285012285012285
why,nationality_model,vietnam,2,0.0012285012285012285
why,nationality_model,zimbabwe,2,0.0012285012285012285
why,nationality_model,albania,1,6.142506142506142e-4
why,nationality_model,argentina,1,6.142506142506142e-4
why,nationality_model,armenia,1,6.142506142506142e-4
why,nationality_model,bulgaria,1,6.142506142506142e-4
why,nationality_model,colombia,1,6.142506142506142e-4
why,nationality_model,denmark,1,6.142506142506142e-4
why,nationality_model,egypt,1,6.142506142506142e-4
why,nationality_model,kyrgyzstan,1,6.142506142506142e-4
why,nationality_model,malaysia,1,6.142506142506142e-4
why,nationality_model,morocco,1,6.142506142506142e-4
why,nationality_model,pakistan,1,6.142506142506142e-4
why,nationality_model,panama,1,6.142506142506142e-4
why,nationality_model,peru,1,6.142506142506142e-4
why,nationality_model,philippines,1,6.142506142506142e-4
why,nationality_model,slovakia,1,6.142506142506142e-4
why,nationality_model,switzerland,1,6.142506142506142e-4
why,nationality_model,tanzania,1,6.142506142506142e-4
why,nationality_model,uzbekistan,1,6.142506142506142e-4
why,political_block_model,unknown,1628,1
why,self_classification_model,unknown,1628,1
why,student_status_model,not_student,809,0.49692874692874694
why,student_status_model,student,550,0.33783783783783783
why,student_status_model,unknown,269,0.16523341523341523
why,vote_status_declared,unknown,1628,1
