component,n_columns,n_rows_with_any,prop_rows_with_any
determinants_32,32,3296,0.9175946547884187
sociodemographics_model,9,3592,1
vote_politics,4,3592,1
technology_adoption,297,1689,0.47021158129175944
tariffs_costs_payback,173,3589,0.9991648106904232
concerns_barriers,172,3521,0.9802338530066815
trust_information,33,3592,1
energy_crisis,288,1658,0.4615812917594655
poverty,206,326,0.09075723830734966
attention_quality,13,1665,0.46353006681514475
