"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,1,1,0.000125
2,4,162,0.02025
3,80,15184,1.898
4,237,17890,2.23625
5,1102,82251,10.281375
6,1961,91126,11.39075
7,4897,160717,20.089625
8,6758,182177,22.772125
9,11915,275684,34.4605
10,13945,309392,38.674
11,20387,406702,50.83775
12,22076,452011,56.501375
13,27179,515545,64.443125
14,28245,684494,85.56175
15,30512,761478,95.18475
16,31001,792491,99.061375
17,31741,798737,99.842125
18,31878,799457,99.932125
19,32076,799871,99.983875
20,32112,799921,99.990125
