"D","n_patterns_covered","freq_covered","pct_covered"
0,0,0,0
1,6,22,0.00275
2,20,148,0.0185
3,134,4915,0.614375
4,338,8732,1.0915
5,1360,65573,8.196625
6,2244,74960,9.37
7,5882,168475,21.059375
8,7354,183695,22.961875
9,13883,271047,33.880875
10,15390,296853,37.106625
11,21120,362196,45.2745
12,22467,398121,49.765125
13,25716,452819,56.602375
14,27059,597647,74.705875
15,29053,647576,80.947
16,30076,697526,87.19075
17,31145,767995,95.999375
18,31557,795206,99.40075
19,31939,799102,99.88775
20,32046,799768,99.971
