"cluster","best_match","pct_match"
"1","Stubborn",70.5882352941177
"2","Fearful",31.8181818181818
"3","8",25
"4","Uninterested",27.2727272727273
"5","Influencer",33.3333333333333
"6","Early.Adopter",31.8181818181818
"7","Careful",50
"8","Homo.Economicus",26.0869565217391
