"determinante","n_clusters"
"PROFITS",5
"CREDIT.SCORE",5
"RISK.PROFILE",5
"ADDED.VALUE",4
"FRUGALITY",3
"CLIMATE.PROTECTION",5
"LEGAL",4
"TRUST",3
"SAFETY",3
"COST.EFFICIENCY",3
"KNOWLEDGE",4
"OWN.COMPETENCE",4
"TECHNICAL.FIT",2
"ENVIRONMENTAL.CONCERNS",4
"SELF.SATISFACTION",4
"COMMITMENT",4
"ADHERENCE",3
"AUTARKY",4
"WELLBEING",3
"COZINESS",3
"RIGHTS.AND.DUTIES",3
"PEER.PRESSURE",3
"SUPPORT",4
"SOCIALISING",3
"AGREEMENT",4
"NOVELTY",3
"FUN",4
"RECOGNITION",2
"TRENDS",3
"AUTHORITY",3
"OWN.SIGNIFICANCE",1
"APPROVAL",3
