cluster,determinant_id,centroid,determinant_label,overall_mean,difference_from_overall
Cluster 1,profits,34.86486486486486,Beneficio económico,47.75155279503105,-12.88668793016619
Cluster 1,credit_score_access_to_funding,66.35135135135135,Acceso a financiación,61.701863354037265,4.64948799731409
Cluster 1,risk_profile,64.56756756756756,Perfil de riesgo,60.06832298136646,4.499244586201108
Cluster 1,added_value,72.4054054054054,Valor añadido,62.62732919254658,9.77807621285882
Cluster 1,frugality,50.013513513513516,Frugalidad,51.37577639751553,-1.3622628840020141
Cluster 1,climate_protection,82.91891891891892,Protección climática,74.74844720496894,8.17047171394998
Cluster 1,legal,74.62162162162163,Cumplimiento legal,70.72049689440993,3.9011247272116947
Cluster 1,trust,76.02702702702703,Confianza,75.88198757763975,0.14503944938728353
Cluster 1,safety,70.70270270270271,Seguridad,69.20496894409938,1.4977337586033315
Cluster 1,cost_efficiency,63.189189189189186,Eficiencia de costes,66.88819875776397,-3.6990095685747875
Cluster 1,knowledge,83.24324324324324,Conocimiento,79.40372670807453,3.8395165351687126
Cluster 1,own_competence,69.72972972972973,Competencia propia,59.90683229813665,9.822897431593077
Cluster 1,technical_fit,82.4054054054054,Adecuación técnica,78.17391304347827,4.231492361927138
Cluster 1,environmental_concerns,82.24324324324324,Preocupación ambiental,75.74534161490683,6.4979016283364075
Cluster 1,self_satisfaction,83.16216216216216,Satisfacción personal,72.00931677018633,11.15284539197583
Cluster 1,commitment,80.1891891891892,Compromiso,75.96894409937889,4.220245089810305
Cluster 1,adherence,77.4054054054054,Persistencia,72.54037267080746,4.865032734597946
Cluster 1,autarky,69.83783783783784,Autosuficiencia,59.86335403726709,9.974483800570752
Cluster 1,wellbeing,78.02702702702703,Bienestar,73.80745341614906,4.219573610877973
Cluster 1,coziness,72,Confort,65.29813664596273,6.701863354037272
Cluster 1,rights_and_duties,71.22972972972973,Derechos y deberes,67.68012422360249,3.549605506127236
Cluster 1,peer_pressure,43.054054054054056,Presión social,38.16149068322981,4.892563370824249
Cluster 1,support,71.01351351351352,Apoyo social,59.38819875776397,11.625314755749542
Cluster 1,socialising,35.45945945945946,Sociabilidad,30.018633540372672,5.440825919086787
Cluster 1,agreement,79.24324324324324,Acuerdo,67.8136645962733,11.429578646969944
Cluster 1,novelty,51.25675675675676,Novedad,42.10248447204969,9.15427228470707
Cluster 1,fun,19.783783783783782,Diversión,25.198757763975152,-5.41497398019137
Cluster 1,recognition,14.675675675675675,Reconocimiento,18.97515527950311,-4.299479603827434
Cluster 1,trends,35.83783783783784,Tendencias,31.211180124223603,4.626657713614236
Cluster 1,authority,22.7027027027027,Autoridad,26,-3.2972972972972983
Cluster 1,approval,22.45945945945946,Aprobación,20.925465838509318,1.5339936209501417
Cluster 1,own_significance,73.24324324324324,Significado personal,64.0248447204969,9.218398522746341
Cluster 2,profits,20.166666666666668,Beneficio económico,47.75155279503105,-27.584886128364385
Cluster 2,credit_score_access_to_funding,38.916666666666664,Acceso a financiación,61.701863354037265,-22.7851966873706
Cluster 2,risk_profile,42,Perfil de riesgo,60.06832298136646,-18.068322981366457
Cluster 2,added_value,80,Valor añadido,62.62732919254658,17.372670807453417
Cluster 2,frugality,35.25,Frugalidad,51.37577639751553,-16.12577639751553
Cluster 2,climate_protection,84.875,Protección climática,74.74844720496894,10.12655279503106
Cluster 2,legal,64.91666666666667,Cumplimiento legal,70.72049689440993,-5.803830227743262
Cluster 2,trust,83.33333333333333,Confianza,75.88198757763975,7.4513457556935805
Cluster 2,safety,66.66666666666667,Seguridad,69.20496894409938,-2.538302277432706
Cluster 2,cost_efficiency,25.666666666666668,Eficiencia de costes,66.88819875776397,-41.2215320910973
Cluster 2,knowledge,83.41666666666667,Conocimiento,79.40372670807453,4.012939958592142
Cluster 2,own_competence,56.166666666666664,Competencia propia,59.90683229813665,-3.740165631469985
Cluster 2,technical_fit,77.66666666666667,Adecuación técnica,78.17391304347827,-0.5072463768115938
Cluster 2,environmental_concerns,87.16666666666667,Preocupación ambiental,75.74534161490683,11.421325051759837
Cluster 2,self_satisfaction,60.791666666666664,Satisfacción personal,72.00931677018633,-11.217650103519667
Cluster 2,commitment,85.16666666666667,Compromiso,75.96894409937889,9.197722567287784
Cluster 2,adherence,80.41666666666667,Persistencia,72.54037267080746,7.876293995859214
Cluster 2,autarky,22.583333333333332,Autosuficiencia,59.86335403726709,-37.28002070393376
Cluster 2,wellbeing,59.083333333333336,Bienestar,73.80745341614906,-14.724120082815723
Cluster 2,coziness,47.25,Confort,65.29813664596273,-18.048136645962728
Cluster 2,rights_and_duties,59.125,Derechos y deberes,67.68012422360249,-8.55512422360249
Cluster 2,peer_pressure,27,Presión social,38.16149068322981,-11.161490683229808
Cluster 2,support,65.79166666666667,Apoyo social,59.38819875776397,6.403467908902698
Cluster 2,socialising,44.666666666666664,Sociabilidad,30.018633540372672,14.648033126293992
Cluster 2,agreement,68.08333333333333,Acuerdo,67.8136645962733,0.26966873706003014
Cluster 2,novelty,29.125,Novedad,42.10248447204969,-12.977484472049689
Cluster 2,fun,10.833333333333334,Diversión,25.198757763975152,-14.365424430641818
Cluster 2,recognition,6.916666666666667,Reconocimiento,18.97515527950311,-12.058488612836442
Cluster 2,trends,9.083333333333334,Tendencias,31.211180124223603,-22.127846790890267
Cluster 2,authority,14.75,Autoridad,26,-11.25
Cluster 2,approval,12.333333333333334,Aprobación,20.925465838509318,-8.592132505175984
Cluster 2,own_significance,67,Significado personal,64.0248447204969,2.975155279503099
Cluster 3,profits,44.08,Beneficio económico,47.75155279503105,-3.6715527950310545
Cluster 3,credit_score_access_to_funding,59.52,Acceso a financiación,61.701863354037265,-2.1818633540372616
Cluster 3,risk_profile,51,Perfil de riesgo,60.06832298136646,-9.068322981366457
Cluster 3,added_value,60.2,Valor añadido,62.62732919254658,-2.42732919254658
Cluster 3,frugality,55.04,Frugalidad,51.37577639751553,3.664223602484469
Cluster 3,climate_protection,83.14,Protección climática,74.74844720496894,8.39155279503106
Cluster 3,legal,76.04,Cumplimiento legal,70.72049689440993,5.319503105590073
Cluster 3,trust,71.56,Confianza,75.88198757763975,-4.321987577639746
Cluster 3,safety,64.36,Seguridad,69.20496894409938,-4.844968944099378
Cluster 3,cost_efficiency,74.04,Eficiencia de costes,66.88819875776397,7.151801242236033
Cluster 3,knowledge,80.2,Conocimiento,79.40372670807453,0.7962732919254734
Cluster 3,own_competence,66,Competencia propia,59.90683229813665,6.093167701863351
Cluster 3,technical_fit,75.48,Adecuación técnica,78.17391304347827,-2.693913043478261
Cluster 3,environmental_concerns,80,Preocupación ambiental,75.74534161490683,4.254658385093165
Cluster 3,self_satisfaction,59.28,Satisfacción personal,72.00931677018633,-12.72931677018633
Cluster 3,commitment,70.76,Compromiso,75.96894409937889,-5.208944099378883
Cluster 3,adherence,68.32,Persistencia,72.54037267080746,-4.220372670807464
Cluster 3,autarky,56.04,Autosuficiencia,59.86335403726709,-3.8233540372670873
Cluster 3,wellbeing,68.96,Bienestar,73.80745341614906,-4.847453416149065
Cluster 3,coziness,59.44,Confort,65.29813664596273,-5.85813664596273
Cluster 3,rights_and_duties,68.3,Derechos y deberes,67.68012422360249,0.6198757763975067
Cluster 3,peer_pressure,22.28,Presión social,38.16149068322981,-15.881490683229806
Cluster 3,support,56.76,Apoyo social,59.38819875776397,-2.6281987577639754
Cluster 3,socialising,10.52,Sociabilidad,30.018633540372672,-19.498633540372673
Cluster 3,agreement,44.32,Acuerdo,67.8136645962733,-23.493664596273298
Cluster 3,novelty,32.22,Novedad,42.10248447204969,-9.88248447204969
Cluster 3,fun,16.6,Diversión,25.198757763975152,-8.59875776397515
Cluster 3,recognition,7.44,Reconocimiento,18.97515527950311,-11.535155279503108
Cluster 3,trends,24.92,Tendencias,31.211180124223603,-6.291180124223601
Cluster 3,authority,23.36,Autoridad,26,-2.6400000000000006
Cluster 3,approval,13.16,Aprobación,20.925465838509318,-7.765465838509318
Cluster 3,own_significance,68.08,Significado personal,64.0248447204969,4.055155279503097
Cluster 4,profits,77.3,Beneficio económico,47.75155279503105,29.548447204968944
Cluster 4,credit_score_access_to_funding,70.6,Acceso a financiación,61.701863354037265,8.89813664596273
Cluster 4,risk_profile,77,Perfil de riesgo,60.06832298136646,16.931677018633543
Cluster 4,added_value,68.4,Valor añadido,62.62732919254658,5.772670807453423
Cluster 4,frugality,71.95,Frugalidad,51.37577639751553,20.574223602484473
Cluster 4,climate_protection,70.3,Protección climática,74.74844720496894,-4.448447204968943
Cluster 4,legal,82.1,Cumplimiento legal,70.72049689440993,11.37950310559006
Cluster 4,trust,83.9,Confianza,75.88198757763975,8.018012422360258
Cluster 4,safety,78.6,Seguridad,69.20496894409938,9.395031055900617
Cluster 4,cost_efficiency,86.4,Eficiencia de costes,66.88819875776397,19.511801242236032
Cluster 4,knowledge,80.2,Conocimiento,79.40372670807453,0.7962732919254734
Cluster 4,own_competence,81.3,Competencia propia,59.90683229813665,21.393167701863348
Cluster 4,technical_fit,84,Adecuación técnica,78.17391304347827,5.826086956521735
Cluster 4,environmental_concerns,71,Preocupación ambiental,75.74534161490683,-4.745341614906835
Cluster 4,self_satisfaction,89.3,Satisfacción personal,72.00931677018633,17.290683229813666
Cluster 4,commitment,79.5,Compromiso,75.96894409937889,3.531055900621112
Cluster 4,adherence,71.3,Persistencia,72.54037267080746,-1.24037267080746
Cluster 4,autarky,74.1,Autosuficiencia,59.86335403726709,14.236645962732908
Cluster 4,wellbeing,80.7,Bienestar,73.80745341614906,6.892546583850944
Cluster 4,coziness,78.6,Confort,65.29813664596273,13.301863354037266
Cluster 4,rights_and_duties,77.5,Derechos y deberes,67.68012422360249,9.81987577639751
Cluster 4,peer_pressure,64.9,Presión social,38.16149068322981,26.738509316770198
Cluster 4,support,69,Apoyo social,59.38819875776397,9.611801242236027
Cluster 4,socialising,77.5,Sociabilidad,30.018633540372672,47.481366459627324
Cluster 4,agreement,74.9,Acuerdo,67.8136645962733,7.086335403726707
Cluster 4,novelty,73.4,Novedad,42.10248447204969,31.297515527950317
Cluster 4,fun,68.1,Diversión,25.198757763975152,42.90124223602484
