participant_id,profits,credit_score_access_to_funding,risk_profile,added_value,frugality,climate_protection,legal,trust,safety,cost_efficiency,knowledge,own_competence,technical_fit,environmental_concerns,self_satisfaction,commitment,adherence,autarky,wellbeing,coziness,rights_and_duties,peer_pressure,support,socialising,agreement,novelty,fun,recognition,trends,authority,approval,own_significance,n_valid,n_missing
2,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3,29
3,NA,75,75,NA,NA,90,90,70,70,NA,80,NA,80,80,80,70,80,75,NA,NA,NA,25,90,NA,80,80,20,24,60,NA,20,NA,21,11
4,50,65,65,86,75,77,88,73,60,50,85,62,50,83,66,61,72,50,59,54,83,10,75,11,50,50,50,10,14,9,11,58,32,0
5,40,70,60,NA,25,80,70,70,60,70,NA,50,70,70,75,75,NA,70,70,60,80,60,NA,30,NA,40,20,20,NA,NA,25,70,25,7
6,10,100,NA,60,80,100,100,90,50,50,60,NA,70,70,80,80,50,0,80,80,100,80,60,NA,100,70,0,0,NA,NA,0,60,27,5
7,70,NA,66,NA,75,65,69,60,75,64,NA,60,61,64,61,68,NA,77,68,61,42,36,64,NA,62,64,NA,NA,63,NA,NA,64,23,9
8,71,80,19,81,16,75,65,85,75,76,90,72,90,85,69,80,74,66,82,74,87,9,34,8,10,11,9,7,63,13,6,93,32,0
10,30,85,NA,84,18,85,NA,80,NA,60,84,NA,80,85,80,80,70,81,50,70,25,50,73,80,88,NA,NA,9,30,50,20,75,26,6
11,NA,NA,NA,70,39,75,NA,NA,NA,NA,NA,65,65,80,NA,71,60,NA,65,40,NA,66,NA,NA,NA,40,NA,30,50,21,40,64,17,15
12,8,76,76,100,91,99,93,94,88,62,86,71,81,98,79,74,73,NA,33,15,81,91,71,7,67,44,1,58,73,7,7,100,31,1
13,33,75,84,65,29,62,43,81,74,60,75,26,41,70,27,NA,65,64,NA,NA,15,55,52,82,88,16,15,27,35,25,20,62,29,3
14,NA,32,NA,72,28,NA,78,89,NA,83,68,87,88,92,87,90,90,68,77,67,83,70,NA,NA,91,76,11,23,79,NA,26,NA,24,8
15,21,30,36,66,40,84,72,63,65,30,76,86,80,NA,75,74,77,78,87,80,81,40,59,71,58,42,22,26,27,40,38,79,31,1
16,80,NA,NA,NA,20,NA,97,87,88,92,99,11,82,NA,78,81,89,15,82,95,62,0,10,2,78,0,0,1,0,0,0,29,27,5
17,43,85,87,75,54,91,NA,67,58,51,79,75,75,75,71,68,56,36,68,100,70,52,NA,20,75,67,14,NA,81,28,NA,64,28,4
18,33,85,73,78,41,87,74,83,66,39,84,27,85,85,90,84,63,43,82,55,76,17,81,22,80,43,21,20,24,21,29,73,32,0
19,14,39,52,73,22,84,59,58,25,46,83,42,70,87,58,63,77,33,33,38,NA,26,75,74,85,51,20,24,13,13,23,75,31,1
20,78,NA,NA,70,NA,78,NA,44,78,60,40,35,49,61,56,74,45,59,75,69,75,97,72,39,73,38,53,33,25,28,54,NA,27,5
21,44,NA,39,NA,31,82,58,82,56,51,78,73,67,89,65,80,79,50,66,40,83,38,78,21,29,36,22,NA,39,35,21,83,29,3
22,55,60,60,5,75,90,40,55,5,85,80,90,80,80,60,80,67,5,100,60,67,5,55,0,67,5,15,0,0,5,5,40,32,0
23,0,16,75,91,32,71,100,90,96,33,100,67,86,85,NA,100,87,29,76,66,87,NA,NA,20,100,19,0,0,0,NA,0,53,28,4
PROLIFIC_qwertyuiop,NA,NA,NA,NA,19,80,NA,81,85,NA,78,NA,NA,77,NA,76,88,NA,80,76,80,31,NA,78,85,78,NA,NA,NA,NA,72,NA,16,16
25,81,69,NA,59,77,78,80,61,78,77,59,31,68,72,79,75,NA,36,79,77,81,19,75,15,78,23,NA,18,24,26,21,65,29,3
26,40,30,75,20,20,40,NA,70,70,40,75,80,80,60,80,70,80,70,100,70,NA,60,10,NA,60,70,80,30,NA,NA,20,75,27,5
27,0,25,5,75,10,85,NA,NA,NA,0,90,20,90,80,70,90,80,25,15,10,NA,0,65,95,85,5,0,0,0,15,NA,NA,26,6
28,40,20,30,85,60,60,90,70,80,65,90,80,90,70,70,70,85,80,60,60,100,10,75,NA,90,70,70,20,30,0,20,75,31,1
29,69,100,NA,100,NA,72,NA,100,NA,18,NA,NA,NA,NA,NA,100,100,0,NA,0,0,NA,NA,0,78,0,0,0,NA,0,NA,NA,17,15
30,43,33,41,32,40,0,58,71,38,69,75,73,87,73,62,65,30,28,68,62,58,41,32,35,83,43,29,30,23,42,20,65,32,0
31,NA,60,NA,NA,NA,80,80,80,90,80,80,0,80,80,0,NA,20,NA,NA,20,80,NA,NA,NA,NA,60,0,0,10,0,10,NA,20,12
32,50,50,65,100,17,89,85,70,83,50,78,50,78,100,50,75,50,70,50,73,75,50,50,17,23,50,NA,NA,15,50,20,61,30,2
33,79,58,69,60,69,26,0,NA,67,100,76,NA,87,36,68,69,NA,NA,68,NA,NA,55,78,11,NA,0,0,8,63,25,17,49,25,7
34,NA,70,65,80,NA,80,90,75,80,90,90,89,75,85,90,90,NA,80,85,NA,60,NA,80,85,NA,60,20,NA,NA,NA,20,90,23,9
35,30,64,35,50,40,60,31,70,67,98,75,70,60,72,60,70,79,50,61,60,60,35,50,16,30,NA,23,0,NA,70,0,71,30,2
36,24,100,73,0,32,100,100,83,65,63,70,NA,100,66,0,71,NA,100,73,41,100,0,NA,0,0,0,0,0,0,0,0,100,29,3
PROLIFIC_f022823c-dfa6-4cd6-bd42-,0,NA,33,68,NA,79,85,NA,60,64,72,63,65,90,63,92,72,73,74,NA,82,59,72,NA,66,21,NA,8,26,23,9,76,26,6
38,27,80,NA,37,28,81,74,84,NA,61,90,74,86,76,84,73,70,36,100,80,76,30,58,19,90,68,10,0,63,0,18,33,30,2
39,50,100,80,50,85,50,100,100,50,100,95,100,100,100,65,70,90,60,100,90,85,30,50,0,100,100,10,15,10,0,0,40,32,0
