k,total_withinss,avg_silhouette
1,2349542.2981366483,NA
2,2141129.7058982714,0.07901936250823795
3,2000242.1274496126,0.06617499850226163
4,1894167.983652221,0.07273035954903757
5,1815734.1202070164,0.05418789326016259
6,1753792.9667792784,0.056085228982166516
7,1699572.9672972409,0.047822532419999605
8,1647732.2081219808,0.05596574087023347
9,1608832.2523679864,0.053181190423040994
10,1568183.9939871624,0.048185063125791155
11,1530143.8299082445,0.04625277523707746
12,1495610.3386294264,0.05258531257432896
