cluster,determinant_id,centroid,determinant_label
Cluster 4,cost_efficiency,86.4,Eficiencia de costes
Cluster 4,knowledge,80.2,Conocimiento
Cluster 4,own_competence,81.3,Competencia propia
Cluster 4,technical_fit,84,Adecuación técnica
Cluster 4,environmental_concerns,71,Preocupación ambiental
Cluster 4,self_satisfaction,89.3,Satisfacción personal
Cluster 4,commitment,79.5,Compromiso
Cluster 4,adherence,71.3,Persistencia
Cluster 4,autarky,74.1,Autosuficiencia
Cluster 4,wellbeing,80.7,Bienestar
Cluster 4,coziness,78.6,Confort
Cluster 4,rights_and_duties,77.5,Derechos y deberes
Cluster 4,peer_pressure,64.9,Presión social
Cluster 4,support,69,Apoyo social
Cluster 4,socialising,77.5,Sociabilidad
Cluster 4,agreement,74.9,Acuerdo
Cluster 4,novelty,73.4,Novedad
Cluster 4,fun,68.1,Diversión
Cluster 4,recognition,52.9,Reconocimiento
Cluster 4,trends,76.1,Tendencias
Cluster 4,authority,62,Autoridad
Cluster 4,approval,57.3,Aprobación
Cluster 4,own_significance,78.7,Significado personal
Cluster 5,profits,77.42857142857143,Beneficio económico
Cluster 5,credit_score_access_to_funding,70.64285714285714,Acceso a financiación
Cluster 5,risk_profile,80.28571428571429,Perfil de riesgo
Cluster 5,added_value,54.285714285714285,Valor añadido
Cluster 5,frugality,61.642857142857146,Frugalidad
Cluster 5,climate_protection,80.78571428571429,Protección climática
Cluster 5,legal,93.71428571428571,Cumplimiento legal
Cluster 5,trust,81.28571428571429,Confianza
Cluster 5,safety,78.71428571428571,Seguridad
Cluster 5,cost_efficiency,88.57142857142857,Eficiencia de costes
Cluster 5,knowledge,93.42857142857143,Conocimiento
Cluster 5,own_competence,75.21428571428571,Competencia propia
Cluster 5,technical_fit,86.92857142857143,Adecuación técnica
Cluster 5,environmental_concerns,87.21428571428571,Preocupación ambiental
Cluster 5,self_satisfaction,75.82142857142857,Satisfacción personal
Cluster 5,commitment,86.57142857142857,Compromiso
Cluster 5,adherence,82.85714285714286,Persistencia
Cluster 5,autarky,74.92857142857143,Autosuficiencia
Cluster 5,wellbeing,79.71428571428571,Bienestar
Cluster 5,coziness,71.71428571428571,Confort
Cluster 5,rights_and_duties,88.03571428571429,Derechos y deberes
Cluster 5,peer_pressure,29,Presión social
Cluster 5,support,48.964285714285715,Apoyo social
Cluster 5,socialising,23.071428571428573,Sociabilidad
Cluster 5,agreement,71.64285714285714,Acuerdo
Cluster 5,novelty,64.60714285714286,Novedad
Cluster 5,fun,29,Diversión
Cluster 5,recognition,27.714285714285715,Reconocimiento
Cluster 5,trends,14.785714285714286,Tendencias
Cluster 5,authority,34.142857142857146,Autoridad
Cluster 5,approval,16.857142857142858,Aprobación
Cluster 5,own_significance,51.285714285714285,Significado personal
Cluster 6,profits,47.94871794871795,Beneficio económico
Cluster 6,credit_score_access_to_funding,56.97435897435897,Acceso a financiación
Cluster 6,risk_profile,56.69230769230769,Perfil de riesgo
Cluster 6,added_value,57.48717948717949,Valor añadido
Cluster 6,frugality,45.05128205128205,Frugalidad
Cluster 6,climate_protection,67.21794871794872,Protección climática
Cluster 6,legal,60.717948717948715,Cumplimiento legal
Cluster 6,trust,68.84615384615384,Confianza
Cluster 6,safety,65.8974358974359,Seguridad
Cluster 6,cost_efficiency,62.56410256410256,Eficiencia de costes
Cluster 6,knowledge,66.48717948717949,Conocimiento
Cluster 6,own_competence,58.743589743589745,Competencia propia
Cluster 6,technical_fit,67.46153846153847,Adecuación técnica
Cluster 6,environmental_concerns,70,Preocupación ambiental
Cluster 6,self_satisfaction,63.23076923076923,Satisfacción personal
Cluster 6,commitment,67.17948717948718,Compromiso
Cluster 6,adherence,64.02564102564102,Persistencia
Cluster 6,autarky,56,Autosuficiencia
