determinant_id,determinant_label,n_imputed_values
own_competence,Competencia propia,57
fun,Diversión,56
credit_score_access_to_funding,Acceso a financiación,55
authority,Autoridad,54
risk_profile,Perfil de riesgo,54
support,Apoyo social,54
safety,Seguridad,53
adherence,Persistencia,51
legal,Cumplimiento legal,51
added_value,Valor añadido,50
socialising,Sociabilidad,50
frugality,Frugalidad,48
agreement,Acuerdo,46
rights_and_duties,Derechos y deberes,46
profits,Beneficio económico,45
coziness,Confort,44
novelty,Novedad,44
own_significance,Significado personal,44
trends,Tendencias,43
trust,Confianza,43
wellbeing,Bienestar,41
autarky,Autosuficiencia,40
approval,Aprobación,39
peer_pressure,Presión social,39
recognition,Reconocimiento,39
self_satisfaction,Satisfacción personal,38
commitment,Compromiso,37
cost_efficiency,Eficiencia de costes,37
technical_fit,Adecuación técnica,37
knowledge,Conocimiento,36
environmental_concerns,Preocupación ambiental,33
climate_protection,Protección climática,30
