cluster,profits,credit_score_access_to_funding,risk_profile,added_value,frugality,climate_protection,legal,trust,safety,cost_efficiency,knowledge,own_competence,technical_fit,environmental_concerns,self_satisfaction,commitment,adherence,autarky,wellbeing,coziness,rights_and_duties,peer_pressure,support,socialising,agreement,novelty,fun,recognition,trends,authority,approval,own_significance
Cluster 1,34.86486486486486,66.35135135135135,64.56756756756756,72.4054054054054,50.013513513513516,82.91891891891892,74.62162162162163,76.02702702702703,70.70270270270271,63.189189189189186,83.24324324324324,69.72972972972973,82.4054054054054,82.24324324324324,83.16216216216216,80.1891891891892,77.4054054054054,69.83783783783784,78.02702702702703,72,71.22972972972973,43.054054054054056,71.01351351351352,35.45945945945946,79.24324324324324,51.25675675675676,19.783783783783782,14.675675675675675,35.83783783783784,22.7027027027027,22.45945945945946,73.24324324324324
Cluster 2,20.166666666666668,38.916666666666664,42,80,35.25,84.875,64.91666666666667,83.33333333333333,66.66666666666667,25.666666666666668,83.41666666666667,56.166666666666664,77.66666666666667,87.16666666666667,60.791666666666664,85.16666666666667,80.41666666666667,22.583333333333332,59.083333333333336,47.25,59.125,27,65.79166666666667,44.666666666666664,68.08333333333333,29.125,10.833333333333334,6.916666666666667,9.083333333333334,14.75,12.333333333333334,67
Cluster 3,44.08,59.52,51,60.2,55.04,83.14,76.04,71.56,64.36,74.04,80.2,66,75.48,80,59.28,70.76,68.32,56.04,68.96,59.44,68.3,22.28,56.76,10.52,44.32,32.22,16.6,7.44,24.92,23.36,13.16,68.08
Cluster 4,77.3,70.6,77,68.4,71.95,70.3,82.1,83.9,78.6,86.4,80.2,81.3,84,71,89.3,79.5,71.3,74.1,80.7,78.6,77.5,64.9,69,77.5,74.9,73.4,68.1,52.9,76.1,62,57.3,78.7
Cluster 5,77.42857142857143,70.64285714285714,80.28571428571429,54.285714285714285,61.642857142857146,80.78571428571429,93.71428571428571,81.28571428571429,78.71428571428571,88.57142857142857,93.42857142857143,75.21428571428571,86.92857142857143,87.21428571428571,75.82142857142857,86.57142857142857,82.85714285714286,74.92857142857143,79.71428571428571,71.71428571428571,88.03571428571429,29,48.964285714285715,23.071428571428573,71.64285714285714,64.60714285714286,29,27.714285714285715,14.785714285714286,34.142857142857146,16.857142857142858,51.285714285714285
Cluster 6,47.94871794871795,56.97435897435897,56.69230769230769,57.48717948717949,45.05128205128205,67.21794871794872,60.717948717948715,68.84615384615384,65.8974358974359,62.56410256410256,66.48717948717949,58.743589743589745,67.46153846153847,70,63.23076923076923,67.17948717948718,64.02564102564102,56,73.51282051282051,59.07692307692308,59,51.17948717948718,57.14102564102564,36.84615384615385,67.76923076923077,41.67948717948718,34.94871794871795,32.43589743589744,40.43589743589744,30.82051282051282,29.307692307692307,60.53846153846154
Cluster 7,40.4,51,34.7,55,36.3,76.3,36.8,83.6,52.9,49.5,86.6,19.3,84.4,67.3,82.75,84.3,71.8,75.6,80.5,72.2,47.1,19.6,55.9,8.9,53.5,27.6,21.7,0.3,19.5,7.9,3.6,62.5
Cluster 8,65.92857142857143,78.35714285714286,75.07142857142857,50.214285714285715,65.67857142857143,46.5,76.85714285714286,79.78571428571429,80.71428571428571,88.07142857142857,80.64285714285714,27.928571428571427,84.71428571428571,55.142857142857146,75.5,71.64285714285714,75.28571428571429,46.57142857142857,69.14285714285714,70,76.03571428571429,30.214285714285715,40.17857142857143,7,80.78571428571429,13.357142857142858,8.071428571428571,4.142857142857143,16.214285714285715,14.714285714285714,5.214285714285714,42.92857142857143
