bootstrap_id,analysis_sample,n_draws
17,EUROPE,1000
17,LATAM,608
17,DIEGO,258
17,RENOVISOR,626
17,WHY_EUROPE,116
17,WHY_LATAM,608
18,COMPLETE,1608
18,EUROPE,1000
18,LATAM,608
18,DIEGO,247
18,RENOVISOR,618
18,WHY_EUROPE,135
18,WHY_LATAM,608
19,COMPLETE,1608
19,EUROPE,1000
19,LATAM,608
19,DIEGO,261
19,RENOVISOR,607
19,WHY_EUROPE,132
19,WHY_LATAM,608
20,COMPLETE,1608
20,EUROPE,1000
20,LATAM,608
20,DIEGO,251
20,RENOVISOR,619
20,WHY_EUROPE,130
20,WHY_LATAM,608
21,COMPLETE,1608
21,EUROPE,1000
21,LATAM,608
21,DIEGO,233
21,RENOVISOR,611
21,WHY_EUROPE,156
21,WHY_LATAM,608
22,COMPLETE,1608
22,EUROPE,1000
22,LATAM,608
22,DIEGO,260
22,RENOVISOR,611
22,WHY_EUROPE,129
22,WHY_LATAM,608
23,COMPLETE,1608
23,EUROPE,1000
23,LATAM,608
23,DIEGO,258
23,RENOVISOR,594
23,WHY_EUROPE,148
23,WHY_LATAM,608
24,COMPLETE,1608
24,EUROPE,1000
24,LATAM,608
24,DIEGO,229
24,RENOVISOR,616
24,WHY_EUROPE,155
24,WHY_LATAM,608
25,COMPLETE,1608
25,EUROPE,1000
25,LATAM,608
25,DIEGO,251
25,RENOVISOR,608
25,WHY_EUROPE,141
25,WHY_LATAM,608
26,COMPLETE,1608
26,EUROPE,1000
26,LATAM,608
26,DIEGO,246
26,RENOVISOR,609
26,WHY_EUROPE,145
26,WHY_LATAM,608
27,COMPLETE,1608
27,EUROPE,1000
27,LATAM,608
27,DIEGO,268
27,RENOVISOR,619
27,WHY_EUROPE,113
27,WHY_LATAM,608
28,COMPLETE,1608
28,EUROPE,1000
28,LATAM,608
28,DIEGO,261
28,RENOVISOR,597
28,WHY_EUROPE,142
28,WHY_LATAM,608
29,COMPLETE,1608
29,EUROPE,1000
29,LATAM,608
29,DIEGO,249
29,RENOVISOR,609
29,WHY_EUROPE,142
29,WHY_LATAM,608
30,COMPLETE,1608
30,EUROPE,1000
30,LATAM,608
30,DIEGO,256
30,RENOVISOR,602
30,WHY_EUROPE,142
30,WHY_LATAM,608
31,COMPLETE,1608
31,EUROPE,1000
31,LATAM,608
31,DIEGO,244
31,RENOVISOR,617
31,WHY_EUROPE,139
31,WHY_LATAM,608
32,COMPLETE,1608
32,EUROPE,1000
32,LATAM,608
32,DIEGO,247
32,RENOVISOR,622
32,WHY_EUROPE,131
32,WHY_LATAM,608
33,COMPLETE,1608
33,EUROPE,1000
33,LATAM,608
33,DIEGO,251
33,RENOVISOR,610
33,WHY_EUROPE,139
33,WHY_LATAM,608
34,COMPLETE,1608
34,EUROPE,1000
34,LATAM,608
34,DIEGO,260
34,RENOVISOR,607
34,WHY_EUROPE,133
34,WHY_LATAM,608
35,COMPLETE,1608
35,EUROPE,1000
35,LATAM,608
35,DIEGO,247
35,RENOVISOR,597
35,WHY_EUROPE,156
35,WHY_LATAM,608
36,COMPLETE,1608
36,EUROPE,1000
36,LATAM,608
36,DIEGO,248
36,RENOVISOR,617
36,WHY_EUROPE,135
36,WHY_LATAM,608
37,COMPLETE,1608
37,EUROPE,1000
37,LATAM,608
37,DIEGO,273
37,RENOVISOR,609
37,WHY_EUROPE,118
37,WHY_LATAM,608
38,COMPLETE,1608
38,EUROPE,1000
38,LATAM,608
38,DIEGO,254
38,RENOVISOR,613
38,WHY_EUROPE,133
38,WHY_LATAM,608
39,COMPLETE,1608
39,EUROPE,1000
39,LATAM,608
39,DIEGO,251
39,RENOVISOR,606
39,WHY_EUROPE,143
39,WHY_LATAM,608
40,COMPLETE,1608
40,EUROPE,1000
40,LATAM,608
40,DIEGO,252
40,RENOVISOR,614
40,WHY_EUROPE,134
40,WHY_LATAM,608
41,COMPLETE,1608
41,EUROPE,1000
41,LATAM,608
41,DIEGO,247
41,RENOVISOR,619
41,WHY_EUROPE,134
41,WHY_LATAM,608
42,COMPLETE,1608
42,EUROPE,1000
42,LATAM,608
42,DIEGO,269
42,RENOVISOR,606
42,WHY_EUROPE,125
42,WHY_LATAM,608
43,COMPLETE,1608
43,EUROPE,1000
43,LATAM,608
43,DIEGO,267
43,RENOVISOR,601
43,WHY_EUROPE,132
43,WHY_LATAM,608
44,COMPLETE,1608
44,EUROPE,1000
44,LATAM,608
44,DIEGO,254
44,RENOVISOR,603
44,WHY_EUROPE,143
44,WHY_LATAM,608
45,COMPLETE,1608
45,EUROPE,1000
45,LATAM,608
45,DIEGO,248
45,RENOVISOR,607
45,WHY_EUROPE,145
45,WHY_LATAM,608
46,COMPLETE,1608
46,EUROPE,1000
46,LATAM,608
46,DIEGO,267
46,RENOVISOR,607
46,WHY_EUROPE,126
46,WHY_LATAM,608
47,COMPLETE,1608
47,EUROPE,1000
47,LATAM,608
47,DIEGO,255
47,RENOVISOR,602
47,WHY_EUROPE,143
47,WHY_LATAM,608
48,COMPLETE,1608
48,EUROPE,1000
48,LATAM,608
48,DIEGO,235
48,RENOVISOR,619
48,WHY_EUROPE,146
48,WHY_LATAM,608
49,COMPLETE,1608
49,EUROPE,1000
49,LATAM,608
49,DIEGO,257
49,RENOVISOR,615
49,WHY_EUROPE,128
49,WHY_LATAM,608
50,COMPLETE,1608
50,EUROPE,1000
50,LATAM,608
50,DIEGO,235
50,RENOVISOR,616
50,WHY_EUROPE,149
50,WHY_LATAM,608
51,COMPLETE,1608
51,EUROPE,1000
51,LATAM,608
51,DIEGO,241
51,RENOVISOR,613
51,WHY_EUROPE,146
51,WHY_LATAM,608
52,COMPLETE,1608
