analysis_sample,mean_n,sd_n,min_n,max_n,n_bootstraps
COMPLETE,1608,0,1608,1608,1000
EUROPE,1000,0,1000,1000,1000
LATAM,608,0,608,608,1000
DIEGO,249.936,11.36992432600935,212,285,1000
RENOVISOR,611.641,9.484939803872402,583,646,1000
WHY_EUROPE,138.423,10.385756348717935,102,171,1000
WHY_LATAM,608,0,608,608,1000
