analysis_sample,variable,category,mean_n,sd_n,mean_total_n,sd_total_n,mean_prop,sd_prop,n_bootstraps
RENOVISOR,age_group_model,18_24,75.006,8.351030098359344,611.641,9.484939803872402,0.1226132096345631,0.013354896761581279,1000
RENOVISOR,age_group_model,45_54,63.867,7.182541326014063,611.641,9.484939803872402,0.10443582982182957,0.011777697131207427,1000
RENOVISOR,age_group_model,unknown,62.719,7.125363837012803,611.641,9.484939803872402,0.10253749449183949,0.011498669098727167,1000
RENOVISOR,age_group_model,55_64,49.188,6.416215693368157,611.641,9.484939803872402,0.08043387128862946,0.010525141705865203,1000
RENOVISOR,age_group_model,65_plus,15.662,3.7847166446221703,611.641,9.484939803872402,0.025612735884052877,0.006202028054262716,1000
WHY_EUROPE,age_group_model,25_34,65.24,7.30039010572009,138.423,10.385756348717935,0.4715472928925091,0.04190307675563308,1000
WHY_EUROPE,age_group_model,18_24,49.148,6.550649357659671,138.423,10.385756348717935,0.35497036559523193,0.03861319955481521,1000
WHY_EUROPE,age_group_model,35_44,13.876,3.806193782653624,138.423,10.385756348717935,0.10021470157365554,0.026510864875035095,1000
WHY_EUROPE,age_group_model,45_54,7.843,2.84296208793459,138.423,10.385756348717935,0.05658256422961533,0.019856782047508532,1000
WHY_EUROPE,age_group_model,55_64,1.351,1.1623898443079117,138.423,10.385756348717935,0.009732213149398459,0.008297525872533715,1000
WHY_EUROPE,age_group_model,65_plus,0.835,0.8992127576850694,138.423,10.385756348717935,0.00602081558792892,0.006452887927271544,1000
WHY_EUROPE,age_group_model,unknown,0.13,0.37045544568441535,138.423,10.385756348717935,9.320469716607243e-4,0.0026546888645714675,1000
WHY_LATAM,age_group_model,25_34,311.263,12.133303262015996,608,0,0.5119457236842105,0.019956090891473703,1000
WHY_LATAM,age_group_model,18_24,185.807,11.128323799682985,608,0,0.30560361842105266,0.01830316414421542,1000
WHY_LATAM,age_group_model,35_44,55.913,7.005605577643485,608,0,0.09196217105263157,0.011522377594808364,1000
WHY_LATAM,age_group_model,unknown,28.89,3.807939127717296,608,0,0.047516447368421054,0.006263057775850809,1000
WHY_LATAM,age_group_model,45_54,19.572,4.412968421628494,608,0,0.03219078947368421,0.007258171746099504,1000
WHY_LATAM,age_group_model,55_64,6.332,2.446990756779391,608,0,0.010414473684210526,0.004024655849966117,1000
WHY_LATAM,age_group_model,65_plus,0.223,0.46204381229975117,608,0,3.667763157894737e-4,7.599404807561649e-4,1000
COMPLETE,bootstrap_source,EU_POLITICAL,1000,0,1608,0,0.6218905472636815,0,1000
COMPLETE,bootstrap_source,LATAM_INCOME,608,0,1608,0,0.3781094527363184,0,1000
EUROPE,bootstrap_source,EU_POLITICAL,1000,0,1000,0,1,0,1000
LATAM,bootstrap_source,LATAM_INCOME,608,0,608,0,1,0,1000
DIEGO,bootstrap_source,EU_POLITICAL,249.936,11.36992432600935,249.936,11.36992432600935,1,0,1000
RENOVISOR,bootstrap_source,EU_POLITICAL,611.641,9.484939803872402,611.641,9.484939803872402,1,0,1000
WHY_EUROPE,bootstrap_source,EU_POLITICAL,138.423,10.385756348717935,138.423,10.385756348717935,1,0,1000
WHY_LATAM,bootstrap_source,LATAM_INCOME,608,0,608,0,1,0,1000
COMPLETE,city_size_model,unknown,1002.967,9.304756283186004,1608,0,0.6237356965174129,0.005786539977105735,1000
