context,variable,group,category,n,total_n,prop
01_all_integrated_rows,country_model_grouped,diego,DE,474,1899,0.24960505529225907
01_all_integrated_rows,country_model_grouped,diego,ES,373,1899,0.196419167983149
01_all_integrated_rows,country_model_grouped,diego,NL,276,1899,0.14533965244865718
01_all_integrated_rows,country_model_grouped,diego,GR,189,1899,0.0995260663507109
01_all_integrated_rows,country_model_grouped,diego,BE,86,1899,0.04528699315429173
01_all_integrated_rows,country_model_grouped,diego,OTHER_COUNTRIES,2,1899,0.00105318588730911
01_all_integrated_rows,country_model_grouped,rv,ES,237,1229,0.19283970707892595
01_all_integrated_rows,country_model_grouped,rv,GB,182,1229,0.14808787632221318
01_all_integrated_rows,country_model_grouped,rv,FR,121,1229,0.0984540276647681
01_all_integrated_rows,country_model_grouped,rv,DE,120,1229,0.09764035801464606
01_all_integrated_rows,country_model_grouped,rv,UNKNOWN,116,1229,0.09438567941415785
01_all_integrated_rows,country_model_grouped,rv,IT,108,1229,0.08787632221318145
01_all_integrated_rows,country_model_grouped,rv,PL,75,1229,0.061025223759153785
01_all_integrated_rows,country_model_grouped,rv,RO,34,1229,0.027664768104149716
01_all_integrated_rows,country_model_grouped,rv,PT,29,1229,0.023596419853539462
01_all_integrated_rows,country_model_grouped,rv,NL,28,1229,0.022782750203417412
01_all_integrated_rows,country_model_grouped,rv,OTHER_COUNTRIES,22,1229,0.01790073230268511
01_all_integrated_rows,country_model_grouped,rv,BE,20,1229,0.01627339300244101
01_all_integrated_rows,country_model_grouped,rv,GR,17,1229,0.013832384052074858
01_all_integrated_rows,country_model_grouped,rv,CZ,16,1229,0.013018714401952807
01_all_integrated_rows,country_model_grouped,rv,HU,15,1229,0.012205044751830757
01_all_integrated_rows,country_model_grouped,rv,SE,15,1229,0.012205044751830757
01_all_integrated_rows,country_model_grouped,rv,CH,12,1229,0.009764035801464606
01_all_integrated_rows,country_model_grouped,rv,IE,12,1229,0.009764035801464606
01_all_integrated_rows,country_model_grouped,rv,AT,11,1229,0.008950366151342554
01_all_integrated_rows,country_model_grouped,rv,FI,11,1229,0.008950366151342554
01_all_integrated_rows,country_model_grouped,rv,SK,10,1229,0.008136696501220505
01_all_integrated_rows,country_model_grouped,rv,DK,9,1229,0.007323026851098454
01_all_integrated_rows,country_model_grouped,rv,SI,5,1229,0.0040683482506102524
01_all_integrated_rows,country_model_grouped,rv,LV,4,1229,0.0032546786004882017
01_all_integrated_rows,country_model_grouped,why,MX,544,1628,0.33415233415233414
01_all_integrated_rows,country_model_grouped,why,DE,207,1628,0.12714987714987716
01_all_integrated_rows,country_model_grouped,why,IT,160,1628,0.09828009828009827
01_all_integrated_rows,country_model_grouped,why,FR,92,1628,0.056511056511056514
01_all_integrated_rows,country_model_grouped,why,NL,92,1628,0.056511056511056514
01_all_integrated_rows,country_model_grouped,why,ES,88,1628,0.05405405405405406
01_all_integrated_rows,country_model_grouped,why,PL,82,1628,0.05036855036855037
01_all_integrated_rows,country_model_grouped,why,CL,78,1628,0.04791154791154791
01_all_integrated_rows,country_model_grouped,why,HU,69,1628,0.04238329238329238
01_all_integrated_rows,country_model_grouped,why,BE,32,1628,0.019656019656019656
01_all_integrated_rows,country_model_grouped,why,GR,32,1628,0.019656019656019656
01_all_integrated_rows,country_model_grouped,why,IE,32,1628,0.019656019656019656
01_all_integrated_rows,country_model_grouped,why,PT,19,1628,0.01167076167076167
01_all_integrated_rows,country_model_grouped,why,AT,17,1628,0.010442260442260442
01_all_integrated_rows,country_model_grouped,why,CO,16,1628,0.009828009828009828
01_all_integrated_rows,country_model_grouped,why,CZ,16,1628,0.009828009828009828
01_all_integrated_rows,country_model_grouped,why,LV,14,1628,0.0085995085995086
01_all_integrated_rows,country_model_grouped,why,FI,12,1628,0.007371007371007371
01_all_integrated_rows,country_model_grouped,why,SI,12,1628,0.007371007371007371
01_all_integrated_rows,country_model_grouped,why,SE,9,1628,0.005528255528255528
01_all_integrated_rows,country_model_grouped,why,OTHER_COUNTRIES,3,1628,0.0018427518427518428
01_all_integrated_rows,country_model_grouped,why,DK,2,1628,0.0012285012285012285
01_all_integrated_rows,country_region_model,diego,southern_europe,1061,1899,0.5587151132174829
01_all_integrated_rows,country_region_model,diego,western_europe,836,1899,0.440231700895208
01_all_integrated_rows,country_region_model,diego,other_region,2,1899,0.00105318588730911
01_all_integrated_rows,country_region_model,rv,southern_europe,397,1229,0.323026851098454
01_all_integrated_rows,country_region_model,rv,western_europe,313,1229,0.2546786004882018
01_all_integrated_rows,country_region_model,rv,northern_europe,250,1229,0.20341741253051263
01_all_integrated_rows,country_region_model,rv,eastern_europe,153,1229,0.12449145646867373
01_all_integrated_rows,country_region_model,rv,unknown,116,1229,0.09438567941415785
01_all_integrated_rows,country_region_model,why,latin_america,638,1628,0.3918918918918919
01_all_integrated_rows,country_region_model,why,western_europe,440,1628,0.2702702702702703
01_all_integrated_rows,country_region_model,why,southern_europe,311,1628,0.19103194103194104
01_all_integrated_rows,country_region_model,why,eastern_europe,167,1628,0.10257985257985258
01_all_integrated_rows,country_region_model,why,northern_europe,72,1628,0.044226044226044224
01_all_integrated_rows,age_group_model,diego,25_34,650,1899,0.34228541337546076
01_all_integrated_rows,age_group_model,diego,18_24,626,1899,0.32964718272775145
01_all_integrated_rows,age_group_model,diego,45_54,556,1899,0.2927856766719326
01_all_integrated_rows,age_group_model,diego,65_plus,67,1899,0.03528172722485519
01_all_integrated_rows,age_group_model,rv,25_34,392,1229,0.31895850284784377
01_all_integrated_rows,age_group_model,rv,35_44,216,1229,0.1757526444263629
01_all_integrated_rows,age_group_model,rv,unknown,215,1229,0.17493897477624085
01_all_integrated_rows,age_group_model,rv,18_24,149,1229,0.12123677786818551
