"cluster","n_active_dets","active_determinants"
"cluster_1",0,""
"cluster_2",2,"STIMULATION; POPULARITY"
"cluster_3",3,"COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_4",1,"POPULARITY"
"cluster_5",4,"COMPETENCE; AUTONOMY; PHYSICALNESS; POPULARITY"
"cluster_6",4,"SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS"
"cluster_7",9,"FINANCIAL; SECURITY; COMPETENCE; AUTONOMY; PHYSICALNESS; RELATEDNESS; STIMULATION; POPULARITY; MEANING"
