analysis_sample,integrated_row_id,subsample,comparison_region,subsample_row_id,global_participant_key,dataset_source,source_survey,source_file,participant_key,prolific_id,identification_code,country_model,country_model_grouped,country_region_model,age_group_model,gender_model,employment_model,row_quality_final,usable_for_clustering,usable_for_main_analysis,n_det_valid,dim_autonomy,dim_competence,dim_financial,dim_meaning,dim_physiological,dim_popularity,dim_relatedness,dim_security,dim_stimulation
DIEGO,4090,DIEGO,EUROPE,1233,diego__diego_1233,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1233,NA,NA,NL,NL,western_europe,18_24,male,employed,usable_complete,TRUE,TRUE,32,0.22302601498168542,0.35841878776089686,0.24899952249290114,0,0.2927555308867457,0.1860069871157202,0.1335166286829118,0.17996273295018983,0
DIEGO,4091,DIEGO,EUROPE,1234,diego__diego_1234,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1234,NA,NA,NL,NL,western_europe,18_24,male,student,usable_complete,TRUE,TRUE,32,0.2323815021506259,0.4629741835371842,0.2994079246077565,0.17854463099381934,0.31602425689776054,0,0,0.4314052618237203,0
DIEGO,4092,DIEGO,EUROPE,1235,diego__diego_1235,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1235,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0.24298424320134437,0.35557455158511453,0.2665508300121958,0.48453725872846737,0.4303342104254145,0,0.5492053219308085,0,0.33618690844630095
DIEGO,4093,DIEGO,EUROPE,1236,diego__diego_1236,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1236,NA,NA,NL,NL,western_europe,18_24,female,unemployed,usable_complete,TRUE,TRUE,32,0,0,0.33551170851996576,0,0,0.3665644024419944,0.4884495194968288,0.42619902808277804,0.4051216454746782
DIEGO,4094,DIEGO,EUROPE,1237,diego__diego_1237,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1237,NA,NA,DE,DE,western_europe,18_24,male,student,usable_complete,TRUE,TRUE,32,0.32399329906392776,0.3009024514672868,0.5545650493801084,0.3949688089379327,0.3554210228144282,0.41687426325933674,0.1316440142458552,0.5100542281336974,0.34301440519437454
DIEGO,4095,DIEGO,EUROPE,1238,diego__diego_1238,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1238,NA,NA,NL,NL,western_europe,18_24,male,student,usable_complete,TRUE,TRUE,32,0.5710486514956334,0,0.5240947655374961,0.49786507106357636,0.41680163677127147,0.13490661513992522,0.5238059385332186,0.6275807708863442,0
DIEGO,4096,DIEGO,EUROPE,1239,diego__diego_1239,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1239,NA,NA,DE,DE,western_europe,18_24,male,student,usable_complete,TRUE,TRUE,32,0.6456836246585965,0.16579196221270215,0.14012035519049143,0,0.36955161622751276,0.3768141986297012,0,0.3290168894945965,0.4265375735842788
DIEGO,4097,DIEGO,EUROPE,1240,diego__diego_1240,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1240,NA,NA,DE,DE,western_europe,25_34,male,employed,usable_complete,TRUE,TRUE,32,0,0.25720037784653693,0.41000997424519225,0.5928217479579794,0.2662956484833461,0,0.41913838723982033,0.2981386307950687,0.4580045266942429
DIEGO,4098,DIEGO,EUROPE,1241,diego__diego_1241,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1241,NA,NA,BE,BE,western_europe,18_24,other,other,usable_complete_limited_metadata,TRUE,TRUE,32,0.335414168855131,0.3992611897154819,0.33071245754621426,0.26949489132983095,0.4078590755633569,0.46122945485921646,0.3104058752950855,0.3103385995108858,0.42694973041292955
DIEGO,4099,DIEGO,EUROPE,1242,diego__diego_1242,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,diego_1242,NA,NA,DE,DE,western_europe,45_54,male,employed,usable_complete,TRUE,TRUE,32,0.37740748897364274,0.40896525542200607,0,0,0.33665347460317535,0.4865027008905779,0.4905893017361171,0,0.2954764694499801
