"scenario","type","reference","K","D","D_order","archetypes_used","n_patterns_covered","freq_covered","pct_covered"
"100-32","pos","experts",1,0,4,"Careful",0,0,0
"100-32","pos","experts",1,2,4,"Careful",1,14,0.000175
"100-32","pos","experts",1,4,4,"Careful",103,56040,0.7005
"100-32","pos","experts",1,6,4,"Careful",1663,1992352,24.9044
"100-32","pos","experts",1,8,4,"Careful",9685,5647356,70.59195
"100-32","pos","experts",1,10,4,"Careful",28930,7599690,94.996125
"100-32","pos","experts",2,0,4,"Careful | Activist",0,0,0
"100-32","pos","experts",2,2,4,"Careful | Activist",2,30,0.000375
"100-32","pos","experts",2,4,4,"Careful | Activist",182,62947,0.7868375
"100-32","pos","experts",2,6,4,"Careful | Activist",2374,2017081,25.2135125
"100-32","pos","experts",2,8,4,"Careful | Activist",11072,5663760,70.797
"100-32","pos","experts",2,10,4,"Careful | Activist",31963,7621950,95.274375
"100-32","pos","experts",3,0,4,"Careful | Activist | Stubborn",0,0,0
"100-32","pos","experts",3,2,4,"Careful | Activist | Stubborn",11,84,0.00105
"100-32","pos","experts",3,4,4,"Careful | Activist | Stubborn",333,64124,0.80155
"100-32","pos","experts",3,6,4,"Careful | Activist | Stubborn",2835,2020694,25.258675
"100-32","pos","experts",3,8,4,"Careful | Activist | Stubborn",11599,5666515,70.8314375
"100-32","pos","experts",3,10,4,"Careful | Activist | Stubborn",32252,7623668,95.29585
"100-32","pos","experts",4,0,4,"Careful | Activist | Stubborn | Early Adopter",0,0,0
"100-32","pos","experts",4,2,4,"Careful | Activist | Stubborn | Early Adopter",11,84,0.00105
"100-32","pos","experts",4,4,4,"Careful | Activist | Stubborn | Early Adopter",349,64481,0.8060125
"100-32","pos","experts",4,6,4,"Careful | Activist | Stubborn | Early Adopter",2908,2021718,25.271475
"100-32","pos","experts",4,8,4,"Careful | Activist | Stubborn | Early Adopter",11659,5666990,70.837375
"100-32","pos","experts",4,10,4,"Careful | Activist | Stubborn | Early Adopter",32315,7623810,95.297625
"100-32","pos","experts",5,0,4,"Careful | Activist | Stubborn | Early Adopter | Fearful",0,0,0
"100-32","pos","experts",5,2,4,"Careful | Activist | Stubborn | Early Adopter | Fearful",11,84,0.00105
"100-32","pos","experts",5,4,4,"Careful | Activist | Stubborn | Early Adopter | Fearful",378,64687,0.8085875
"100-32","pos","experts",5,6,4,"Careful | Activist | Stubborn | Early Adopter | Fearful",3896,2994989,37.4373625
"100-32","pos","experts",5,8,4,"Careful | Activist | Stubborn | Early Adopter | Fearful",16914,6787508,84.84385
"100-32","pos","experts",5,10,4,"Careful | Activist | Stubborn | Early Adopter | Fearful",41400,7840238,98.002975
"100-32","pos","experts",6,0,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer",0,0,0
"100-32","pos","experts",6,2,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer",15,88,0.0011
"100-32","pos","experts",6,4,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer",389,64709,0.8088625
"100-32","pos","experts",6,6,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer",3915,2995539,37.4442375
"100-32","pos","experts",6,8,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer",16931,6788059,84.8507375
"100-32","pos","experts",6,10,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer",41428,7840288,98.0036
"100-32","pos","experts",7,0,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer | Homo Economicus",0,0,0
"100-32","pos","experts",7,2,4,"Careful | Activist | Stubborn | Early Adopter | Fearful | Influencer | Homo Economicus",16,89,0.0011125
