"scenario","type","reference","D","K","freq_covered","pct_covered"
"100-32","pos","experts",0,1,0,0
"100-32","pos","experts",0,2,0,0
"100-32","pos","experts",0,3,0,0
"100-32","pos","experts",0,4,0,0
"100-32","pos","experts",0,5,0,0
"100-32","pos","experts",0,6,0,0
"100-32","pos","experts",0,7,0,0
"100-32","pos","experts",0,8,0,0
"100-32","pos","experts",1,1,1,0.000125
"100-32","pos","experts",1,2,1,0.000125
"100-32","pos","experts",1,3,1,0.000125
"100-32","pos","experts",1,4,1,0.000125
"100-32","pos","experts",1,5,1,0.000125
"100-32","pos","experts",1,6,1,0.000125
"100-32","pos","experts",1,7,1,0.000125
"100-32","pos","experts",1,8,1,0.000125
"100-32","pos","experts",2,1,7,0.000875
"100-32","pos","experts",2,2,11,0.001375
"100-32","pos","experts",2,3,14,0.00175
"100-32","pos","experts",2,4,16,0.002
"100-32","pos","experts",2,5,16,0.002
"100-32","pos","experts",2,6,16,0.002
"100-32","pos","experts",2,7,16,0.002
"100-32","pos","experts",2,8,16,0.002
"100-32","pos","experts",3,1,4863,0.607875
"100-32","pos","experts",3,2,4987,0.623375
"100-32","pos","experts",3,3,5014,0.62675
"100-32","pos","experts",3,4,5026,0.62825
"100-32","pos","experts",3,5,5026,0.62825
"100-32","pos","experts",3,6,5027,0.628375
"100-32","pos","experts",3,7,5027,0.628375
"100-32","pos","experts",3,8,5027,0.628375
"100-32","pos","experts",4,1,5718,0.71475
"100-32","pos","experts",4,2,6429,0.803625
"100-32","pos","experts",4,3,6544,0.818
"100-32","pos","experts",4,4,6556,0.8195
"100-32","pos","experts",4,5,6593,0.824125
"100-32","pos","experts",4,6,6621,0.827625
"100-32","pos","experts",4,7,6621,0.827625
"100-32","pos","experts",4,8,6622,0.82775
"100-32","pos","experts",5,1,189459,23.682375
"100-32","pos","experts",5,2,191160,23.895
"100-32","pos","experts",5,3,191454,23.93175
"100-32","pos","experts",5,4,191665,23.958125
"100-32","pos","experts",5,5,191725,23.965625
"100-32","pos","experts",5,6,191774,23.97175
"100-32","pos","experts",5,7,191787,23.973375
"100-32","pos","experts",5,8,191787,23.973375
"100-32","pos","experts",6,1,199313,24.914125
"100-32","pos","experts",6,2,297223,37.152875
"100-32","pos","experts",6,3,299503,37.437875
"100-32","pos","experts",6,4,299851,37.481375
"100-32","pos","experts",6,5,299977,37.497125
"100-32","pos","experts",6,6,300035,37.504375
"100-32","pos","experts",6,7,300063,37.507875
"100-32","pos","experts",6,8,300063,37.507875
"100-32","pos","experts",7,1,555614,69.45175
"100-32","pos","experts",7,2,577658,72.20725
"100-32","pos","experts",7,3,579433,72.429125
"100-32","pos","experts",7,4,579746,72.46825
"100-32","pos","experts",7,5,579766,72.47075
"100-32","pos","experts",7,6,579814,72.47675
"100-32","pos","experts",7,7,579876,72.4845
"100-32","pos","experts",7,8,579876,72.4845
"100-32","pos","experts",8,1,564728,70.591
"100-32","pos","experts",8,2,677865,84.733125
"100-32","pos","experts",8,3,679117,84.889625
"100-32","pos","experts",8,4,679990,84.99875
"100-32","pos","experts",8,5,680105,85.013125
"100-32","pos","experts",8,6,680154,85.01925
"100-32","pos","experts",8,7,680213,85.026625
"100-32","pos","experts",8,8,680220,85.0275
"100-32","pos","experts",9,1,758810,94.85125
"100-32","pos","experts",9,2,771205,96.400625
"100-32","pos","experts",9,3,773316,96.6645
"100-32","pos","experts",9,4,773614,96.70175
"100-32","pos","experts",9,5,773748,96.7185
"100-32","pos","experts",9,6,773768,96.721
"100-32","pos","experts",9,7,773785,96.723125
"100-32","pos","experts",9,8,773789,96.723625
"100-32","pos","experts",10,1,759749,94.968625
"100-32","pos","experts",10,2,782081,97.760125
"100-32","pos","experts",10,3,784290,98.03625
"100-32","pos","experts",10,4,784917,98.114625
"100-32","pos","experts",10,5,785017,98.127125
"100-32","pos","experts",10,6,785026,98.12825
"100-32","pos","experts",10,7,785048,98.131
"100-32","pos","experts",10,8,785060,98.1325
"100-32","pos","experts",11,1,793179,99.147375
"100-32","pos","experts",11,2,794736,99.342
"100-32","pos","experts",11,3,796001,99.500125
"100-32","pos","experts",11,4,796240,99.53
"100-32","pos","experts",11,5,796325,99.540625
"100-32","pos","experts",11,6,796476,99.5595
"100-32","pos","experts",11,7,796485,99.560625
"100-32","pos","experts",11,8,796488,99.561
"100-32","pos","experts",12,1,793422,99.17775
"100-32","pos","experts",12,2,796939,99.617375
"100-32","pos","experts",12,3,797720,99.715
"100-32","pos","experts",12,4,797992,99.749
"100-32","pos","experts",12,5,798426,99.80325
"100-32","pos","experts",12,6,798429,99.803625
"100-32","pos","experts",12,7,798468,99.8085
"100-32","pos","experts",12,8,798496,99.812
"100-32","pos","experts",13,1,798759,99.844875
"100-32","pos","experts",13,2,798996,99.8745
"100-32","pos","experts",13,3,799423,99.927875
"100-32","pos","experts",13,4,799503,99.937875
"100-32","pos","experts",13,5,799513,99.939125
"100-32","pos","experts",13,6,799545,99.943125
"100-32","pos","experts",13,7,799569,99.946125
"100-32","pos","experts",13,8,799595,99.949375
"100-32","pos","experts",14,1,798809,99.851125
"100-32","pos","experts",14,2,799430,99.92875
"100-32","pos","experts",14,3,799638,99.95475
"100-32","pos","experts",14,4,799810,99.97625
"100-32","pos","experts",14,5,799821,99.977625
"100-32","pos","experts",14,6,799830,99.97875
"100-32","pos","experts",14,7,799856,99.982
"100-32","pos","experts",14,8,799907,99.988375
"100-32","pos","experts",15,1,799561,99.945125
"100-32","pos","experts",15,2,799891,99.986375
"100-32","pos","experts",15,3,799922,99.99025
"100-32","pos","experts",15,4,799928,99.991
"100-32","pos","experts",15,5,799933,99.991625
"100-32","pos","experts",15,6,799973,99.996625
"100-32","pos","experts",15,7,799985,99.998125
"100-32","pos","experts",15,8,799990,99.99875
"100-32","pos","experts",16,1,799915,99.989375
"100-32","pos","experts",16,2,799992,99.999
"100-32","pos","experts",16,3,799993,99.999125
"100-32","pos","experts",16,4,799994,99.99925
"100-32","pos","experts",16,5,799994,99.99925
"100-32","pos","experts",16,6,799995,99.999375
"100-32","pos","experts",16,7,800000,100
"100-32","pos","experts",16,8,800000,100
"100-32","pos","experts",17,1,799919,99.989875
"100-32","pos","experts",17,2,799992,99.999
"100-32","pos","experts",17,3,799996,99.9995
"100-32","pos","experts",17,4,799996,99.9995
"100-32","pos","experts",17,5,799997,99.999625
"100-32","pos","experts",17,6,799999,99.999875
"100-32","pos","experts",17,7,800000,100
"100-32","pos","experts",17,8,800000,100
"100-32","pos","experts",18,1,800000,100
"100-32","pos","experts",18,2,800000,100
"100-32","pos","experts",18,3,800000,100
"100-32","pos","experts",18,4,800000,100
"100-32","pos","experts",18,5,800000,100
"100-32","pos","experts",18,6,800000,100
"100-32","pos","experts",18,7,800000,100
"100-32","pos","experts",18,8,800000,100
"100-32","pos","experts",19,1,800000,100
"100-32","pos","experts",19,2,800000,100
"100-32","pos","experts",19,3,800000,100
"100-32","pos","experts",19,4,800000,100
"100-32","pos","experts",19,5,800000,100
"100-32","pos","experts",19,6,800000,100
"100-32","pos","experts",19,7,800000,100
"100-32","pos","experts",19,8,800000,100
"100-32","pos","experts",20,1,800000,100
"100-32","pos","experts",20,2,800000,100
"100-32","pos","experts",20,3,800000,100
"100-32","pos","experts",20,4,800000,100
"100-32","pos","experts",20,5,800000,100
"100-32","pos","experts",20,6,800000,100
"100-32","pos","experts",20,7,800000,100
"100-32","pos","experts",20,8,800000,100
"100-32","pos","kmeans",0,1,180,0.0225
"100-32","pos","kmeans",0,2,183,0.022875
"100-32","pos","kmeans",0,3,183,0.022875
"100-32","pos","kmeans",0,4,183,0.022875
"100-32","pos","kmeans",0,5,183,0.022875
"100-32","pos","kmeans",0,6,183,0.022875
"100-32","pos","kmeans",0,7,183,0.022875
"100-32","pos","kmeans",0,8,183,0.022875
"100-32","pos","kmeans",0,9,183,0.022875
"100-32","pos","kmeans",1,1,247,0.030875
"100-32","pos","kmeans",1,2,262,0.03275
"100-32","pos","kmeans",1,3,262,0.03275
"100-32","pos","kmeans",1,4,262,0.03275
"100-32","pos","kmeans",1,5,262,0.03275
"100-32","pos","kmeans",1,6,262,0.03275
"100-32","pos","kmeans",1,7,262,0.03275
"100-32","pos","kmeans",1,8,262,0.03275
"100-32","pos","kmeans",1,9,262,0.03275
"100-32","pos","kmeans",2,1,24183,3.022875
"100-32","pos","kmeans",2,2,24215,3.026875
"100-32","pos","kmeans",2,3,24216,3.027
"100-32","pos","kmeans",2,4,24216,3.027
"100-32","pos","kmeans",2,5,24216,3.027
"100-32","pos","kmeans",2,6,24216,3.027
"100-32","pos","kmeans",2,7,24216,3.027
"100-32","pos","kmeans",2,8,24216,3.027
"100-32","pos","kmeans",2,9,24216,3.027
"100-32","pos","kmeans",3,1,27823,3.477875
"100-32","pos","kmeans",3,2,27990,3.49875
"100-32","pos","kmeans",3,3,28051,3.506375
"100-32","pos","kmeans",3,4,28063,3.507875
"100-32","pos","kmeans",3,5,28063,3.507875
"100-32","pos","kmeans",3,6,28063,3.507875
"100-32","pos","kmeans",3,7,28063,3.507875
"100-32","pos","kmeans",3,8,28063,3.507875
"100-32","pos","kmeans",3,9,28063,3.507875
"100-32","pos","kmeans",4,1,330469,41.308625
"100-32","pos","kmeans",4,2,330525,41.315625
"100-32","pos","kmeans",4,3,330620,41.3275
"100-32","pos","kmeans",4,4,330749,41.343625
"100-32","pos","kmeans",4,5,330749,41.343625
"100-32","pos","kmeans",4,6,330749,41.343625
"100-32","pos","kmeans",4,7,330749,41.343625
"100-32","pos","kmeans",4,8,330749,41.343625
"100-32","pos","kmeans",4,9,330749,41.343625
"100-32","pos","kmeans",5,1,344425,43.053125
"100-32","pos","kmeans",5,2,347327,43.415875
"100-32","pos","kmeans",5,3,347841,43.480125
"100-32","pos","kmeans",5,4,348068,43.5085
"100-32","pos","kmeans",5,5,348073,43.509125
"100-32","pos","kmeans",5,6,348073,43.509125
"100-32","pos","kmeans",5,7,348073,43.509125
"100-32","pos","kmeans",5,8,348073,43.509125
"100-32","pos","kmeans",5,9,348073,43.509125
"100-32","pos","kmeans",6,1,670968,83.871
"100-32","pos","kmeans",6,2,671190,83.89875
"100-32","pos","kmeans",6,3,671794,83.97425
"100-32","pos","kmeans",6,4,672268,84.0335
"100-32","pos","kmeans",6,5,672280,84.035
"100-32","pos","kmeans",6,6,672286,84.03575
"100-32","pos","kmeans",6,7,672286,84.03575
"100-32","pos","kmeans",6,8,672286,84.03575
"100-32","pos","kmeans",6,9,672286,84.03575
"100-32","pos","kmeans",7,1,673569,84.196125
"100-32","pos","kmeans",7,2,679083,84.885375
"100-32","pos","kmeans",7,3,682728,85.341
"100-32","pos","kmeans",7,4,682769,85.346125
"100-32","pos","kmeans",7,5,683368,85.421
"100-32","pos","kmeans",7,6,683374,85.42175
"100-32","pos","kmeans",7,7,683374,85.42175
"100-32","pos","kmeans",7,8,683374,85.42175
"100-32","pos","kmeans",7,9,683374,85.42175
"100-32","pos","kmeans",8,1,776135,97.016875
"100-32","pos","kmeans",8,2,776272,97.034
"100-32","pos","kmeans",8,3,776326,97.04075
"100-32","pos","kmeans",8,4,776365,97.045625
"100-32","pos","kmeans",8,5,777024,97.128
"100-32","pos","kmeans",8,6,777029,97.128625
"100-32","pos","kmeans",8,7,777042,97.13025
"100-32","pos","kmeans",8,8,777043,97.130375
"100-32","pos","kmeans",8,9,777043,97.130375
"100-32","pos","kmeans",9,1,776469,97.058625
"100-32","pos","kmeans",9,2,779615,97.451875
"100-32","pos","kmeans",9,3,780590,97.57375
"100-32","pos","kmeans",9,4,780727,97.590875
"100-32","pos","kmeans",9,5,780761,97.595125
"100-32","pos","kmeans",9,6,781377,97.672125
"100-32","pos","kmeans",9,7,781390,97.67375
