self_profile,determinant_id,determinant_label,n,mean,median,sd
Pionero,rights_and_duties,Derechos y deberes,1,81,81,NA
Pionero,socialising,Socialización,1,73,73,NA
Pionero,agreement,Acuerdo,1,70,70,NA
Pionero,recognition,Reconocimiento,1,68,68,NA
Pionero,cost_efficiency,Eficiencia de costes,1,66,66,NA
Pionero,credit_score_access_to_funding,Acceso a financiación,1,64,64,NA
Pionero,self_satisfaction,Satisfacción personal,1,64,64,NA
Pionero,wellbeing,Bienestar,1,63,63,NA
Pionero,commitment,Compromiso,1,61,61,NA
Pionero,authority,Autoridad,1,59,59,NA
Pionero,own_competence,Competencia propia,1,33,33,NA
Pionero,own_significance,Significado personal,1,25,25,NA
