self_profile,determinant_id,determinant_label,n,mean,median,sd
Desinteresado/a,own_competence,Competencia propia,9,70.77777777777777,78,22.055485586231026
Desinteresado/a,own_significance,Significado personal,9,77.55555555555556,77,8.762292952063277
Desinteresado/a,peer_pressure,Presión social,9,42.22222222222222,40,29.94068209718083
Desinteresado/a,profits,Beneficio económico,9,56,51,27.004629232781554
Desinteresado/a,recognition,Reconocimiento,9,26,13,32.58450552026223
Desinteresado/a,rights_and_duties,Derechos y deberes,9,71.33333333333333,71,19.32614809008769
Desinteresado/a,risk_profile,Perfil de riesgo,9,56.55555555555556,62,20.494579229098065
Desinteresado/a,safety,Seguridad,9,62.55555555555556,64,16.786237749352228
Desinteresado/a,self_satisfaction,Satisfacción personal,9,75.66666666666667,71,22.371857321197094
Desinteresado/a,socialising,Socialización,9,26.22222222222222,25,18.342421989596804
Desinteresado/a,support,Apoyo social,8,55.625,53,26.959957079236712
Desinteresado/a,technical_fit,Adecuación técnica,9,73.33333333333333,70,12.806248474865697
Desinteresado/a,trends,Tendencias,9,32.888888888888886,25,25.876845076459983
Desinteresado/a,trust,Confianza,9,72.66666666666667,73,20.6579282601136
Desinteresado/a,wellbeing,Bienestar,8,73.5,79,10.757057484009543
Faltante,added_value,Valor añadido,25,59.88,62,19.52844079797463
Faltante,adherence,Adherencia,26,73.11538461538461,71.5,10.037238357544064
Faltante,agreement,Acuerdo,27,65.96296296296296,66,25.3854614380289
Faltante,approval,Aprobación,28,29.5,26,23.952885854124983
Faltante,autarky,Autosuficiencia,26,59.65384615384615,66.5,21.273349163105102
Faltante,authority,Autoridad,24,25.208333333333332,25,18.493193028944383
Faltante,climate_protection,Protección climática,27,61.74074074074074,68,20.898274850759613
Faltante,commitment,Compromiso,26,66.76923076923077,60.5,15.603352696924318
Faltante,cost_efficiency,Eficiencia de costes,27,74.07407407407408,75,13.547426454229731
Faltante,coziness,Confort,27,64.25925925925925,65,21.24688681737161
Faltante,credit_score_access_to_funding,Acceso a financiación,26,51.61538461538461,54.5,25.20805731995534
Faltante,environmental_concerns,Preocupación ambiental,27,67.44444444444444,73,19.361606205885785
Faltante,frugality,Frugalidad,25,53.36,50,20.21319700921488
Faltante,fun,Diversión,25,36.480000000000004,36,24.111062467948884
Faltante,knowledge,Conocimiento,27,75.48148148148148,75,16.546834162392535
Faltante,legal,Cumplimiento legal,27,74.48148148148148,75,18.988600568945344
Faltante,novelty,Novedad,28,39.75,35,24.220629407364477
Faltante,own_competence,Competencia propia,25,65.32,69,19.078172519050842
Faltante,own_significance,Significado personal,27,50.51851851851852,51,27.121337569650795
Faltante,peer_pressure,Presión social,28,35.75,30,24.15938587642339
Faltante,profits,Beneficio económico,25,49.24,55,23.461457755220586
Faltante,recognition,Reconocimiento,28,18.25,12.5,20.489608929261536
Faltante,rights_and_duties,Derechos y deberes,28,72.42857142857143,72,19.299642236999897
Faltante,risk_profile,Perfil de riesgo,26,63.46153846153846,63,21.883748799930547
Faltante,safety,Seguridad,27,66.70370370370371,66,15.895850486150863
Faltante,self_satisfaction,Satisfacción personal,27,70.33333333333333,73,17.571830603816743
Faltante,socialising,Socialización,26,28.192307692307693,28.5,22.430370894426567
Faltante,support,Apoyo social,28,49.607142857142854,56,24.336132693946148
Faltante,technical_fit,Adecuación técnica,27,71.88888888888889,70,16.731668116141854
Faltante,trends,Tendencias,28,24.964285714285715,24,17.425996210126524
Faltante,trust,Confianza,28,69.5,69.5,17.50661250732081
Faltante,wellbeing,Bienestar,28,71.32142857142857,72,17.44845015175883
Homo economicus,added_value,Valor añadido,52,60.03846153846154,60,19.885911397180944
Homo economicus,adherence,Adherencia,54,74.9074074074074,75.5,17.365405338937656
Homo economicus,agreement,Acuerdo,52,60.98076923076923,65,25.542344990857362
Homo economicus,approval,Aprobación,56,19,15.5,17.71491410699419
Homo economicus,autarky,Autosuficiencia,57,62.19298245614035,65,22.03441998692956
Homo economicus,authority,Autoridad,53,32.320754716981135,30,24.293694643249474
Homo economicus,climate_protection,Protección climática,55,63.69090909090909,70,20.590246456957455
Homo economicus,commitment,Compromiso,55,72.83636363636364,73,16.703031036049886
Homo economicus,cost_efficiency,Eficiencia de costes,57,82.6842105263158,84,12.550125063032013
