"step","pattern","expert","freq","jaccard","score","active_determinants","n_active_dets"
1,"pattern_70","Fearful",12120,60,727200,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; RECOGNITION; OWN SIGNIFICANCE",15
2,"pattern_67","Stubborn",14531,50,726550,"COST-EFFICIENCY; KNOWLEDGE; SELF-SATISFACTION",3
3,"pattern_135","Careful",8013,50,400650,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; OWN COMPETENCE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; SOCIALISING; RECOGNITION; OWN SIGNIFICANCE",15
4,"pattern_29","Influencer",26230,14.2857142857143,374714.285714286,"SOCIALISING; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE",5
5,"pattern_6","Homo Economicus",14492,22.2222222222222,322044.444444444,"COST-EFFICIENCY; SELF-SATISFACTION",2
6,"pattern_8","Early Adopter",14949,18.1818181818182,271800,"KNOWLEDGE; SOCIALISING; FUN; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE",7
7,"pattern_193","Activist",5971,31.25,186593.75,"CREDIT SCORE; RISK PROFILE; LEGAL; TRUST; SAFETY; COST-EFFICIENCY; KNOWLEDGE; TECHNICAL FIT; SELF-SATISFACTION; COMMITMENT; ADHERENCE; WELLBEING; SOCIALISING; RECOGNITION; OWN SIGNIFICANCE",15
8,"pattern_24","Uninterested",7937,18.1818181818182,144309.090909091,"KNOWLEDGE; PEER-PRESSURE; SOCIALISING; FUN; RECOGNITION; TRENDS; AUTHORITY; OWN SIGNIFICANCE",8
