mode;scenario;type;K;D;cluster;n_active_dims;active_dims;n_patterns;pct_total_patterns;pct_rest_patterns;assigned_pct;unassigned_pct
9_top3data;100-9-top3;pos;1;0;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;1;1.0989010989011;100;54.850675;45.149325
9_top3data;100-9-top3;pos;1;2;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;23;25.2747252747253;100;54.850675;45.149325
9_top3data;100-9-top3;pos;1;4;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;73;80.2197802197802;100;54.850675;45.149325
9_top3data;100-9-top3;pos;1;6;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;91;100;100;54.850675;45.149325
9_top3data;100-9-top3;pos;1;8;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;91;100;100;54.850675;45.149325
9_top3data;100-9-top3;pos;1;10;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;91;100;100;54.850675;45.149325
9_top3data;100-9-top3;pos;2;0;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;1;1.0989010989011;100;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;0;2;3;SECURITY | COMPETENCE | AUTONOMY;1;1.0989010989011;98.9010989010989;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;2;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;23;25.2747252747253;100;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;2;2;3;FINANCIAL | SECURITY | COMPETENCE;18;19.7802197802198;74.7252747252747;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;4;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;73;80.2197802197802;100;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;4;2;3;SECURITY | POPULARITY | MEANING;18;19.7802197802198;19.7802197802198;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;6;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;91;100;100;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;8;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;91;100;100;85.8675375;14.1324625
9_top3data;100-9-top3;pos;2;10;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;91;100;100;85.8675375;14.1324625
9_top3data;100-9-top3;pos;3;0;1;3;COMPETENCE | AUTONOMY | PHYSICALNESS;1;1.0989010989011;100;96.0160375;3.9839625
