"mode","scenario","type","K","D","n_clusters_found","assigned_pct","unassigned_pct"
"9_top3data","10-9-top3","ext",1,0,1,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,2,1,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,4,1,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,6,1,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,8,1,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",1,10,1,30.0236375,69.9763625
"9_top3data","10-9-top3","ext",2,0,2,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,2,2,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,4,1,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,6,1,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,8,1,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",2,10,1,54.9411125,45.0588875
"9_top3data","10-9-top3","ext",3,0,3,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,2,3,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,4,1,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,6,1,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,8,1,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",3,10,1,64.5111125,35.4888875
"9_top3data","10-9-top3","ext",4,0,4,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,2,4,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,4,1,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,6,1,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,8,1,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",4,10,1,72.1899875,27.8100125
"9_top3data","10-9-top3","ext",5,0,5,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,2,5,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,4,1,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,6,1,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,8,1,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",5,10,1,75.4085125,24.5914875
"9_top3data","10-9-top3","ext",6,0,6,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,2,6,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,4,1,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,6,1,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,8,1,78.3299,21.6701
"9_top3data","10-9-top3","ext",6,10,1,78.3299,21.6701
"9_top3data","10-9-top3","ext",7,0,7,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,2,7,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,4,1,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,6,1,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,8,1,81.249525,18.750475
"9_top3data","10-9-top3","ext",7,10,1,81.249525,18.750475
"9_top3data","10-9-top3","ext",8,0,8,84.1664125,15.8335875
"9_top3data","10-9-top3","ext",8,2,8,84.1664125,15.8335875
"9_top3data","10-9-top3","ext",8,4,1,84.1664125,15.8335875
"9_top3data","10-9-top3","ext",8,6,1,84.1664125,15.8335875
"9_top3data","10-9-top3","ext",8,8,1,84.1664125,15.8335875
"9_top3data","10-9-top3","ext",8,10,1,84.1664125,15.8335875
"9_top3data","10-9-top3","pos",1,0,1,55.4097375,44.5902625
"9_top3data","10-9-top3","pos",1,2,1,55.4097375,44.5902625
"9_top3data","10-9-top3","pos",1,4,1,55.4097375,44.5902625
"9_top3data","10-9-top3","pos",1,6,1,55.4097375,44.5902625
"9_top3data","10-9-top3","pos",1,8,1,55.4097375,44.5902625
"9_top3data","10-9-top3","pos",1,10,1,55.4097375,44.5902625
"9_top3data","10-9-top3","pos",2,0,2,86.5203375,13.4796625
"9_top3data","10-9-top3","pos",2,2,2,86.5203375,13.4796625
"9_top3data","10-9-top3","pos",2,4,2,86.5203375,13.4796625
"9_top3data","10-9-top3","pos",2,6,1,86.5203375,13.4796625
"9_top3data","10-9-top3","pos",2,8,1,86.5203375,13.4796625
"9_top3data","10-9-top3","pos",2,10,1,86.5203375,13.4796625
"9_top3data","10-9-top3","pos",3,0,3,96.8709875,3.1290125
"9_top3data","10-9-top3","pos",3,2,3,96.8709875,3.1290125
"9_top3data","10-9-top3","pos",3,4,3,96.8709875,3.1290125
"9_top3data","10-9-top3","pos",3,6,1,96.8709875,3.1290125
"9_top3data","10-9-top3","pos",3,8,1,96.8709875,3.1290125
"9_top3data","10-9-top3","pos",3,10,1,96.8709875,3.1290125
"9_top3data","10-9-top3","pos",4,0,4,97.8945625,2.1054375
"9_top3data","10-9-top3","pos",4,2,4,97.8945625,2.1054375
"9_top3data","10-9-top3","pos",4,4,3,97.8945625,2.1054375
"9_top3data","10-9-top3","pos",4,6,1,97.8945625,2.1054375
"9_top3data","10-9-top3","pos",4,8,1,97.8945625,2.1054375
"9_top3data","10-9-top3","pos",4,10,1,97.8945625,2.1054375
"9_top3data","10-9-top3","pos",5,0,5,98.5058125,1.4941875
"9_top3data","10-9-top3","pos",5,2,5,98.5058125,1.4941875
"9_top3data","10-9-top3","pos",5,4,3,98.5058125,1.4941875
"9_top3data","10-9-top3","pos",5,6,1,98.5058125,1.4941875
"9_top3data","10-9-top3","pos",5,8,1,98.5058125,1.4941875
"9_top3data","10-9-top3","pos",5,10,1,98.5058125,1.4941875
"9_top3data","10-9-top3","pos",6,0,6,99.094325,0.905675
"9_top3data","10-9-top3","pos",6,2,6,99.094325,0.905675
"9_top3data","10-9-top3","pos",6,4,3,99.094325,0.905675
"9_top3data","10-9-top3","pos",6,6,1,99.094325,0.905675
"9_top3data","10-9-top3","pos",6,8,1,99.094325,0.905675
"9_top3data","10-9-top3","pos",6,10,1,99.094325,0.905675
"9_top3data","10-9-top3","pos",7,0,7,99.322425,0.677575
"9_top3data","10-9-top3","pos",7,2,7,99.322425,0.677575
"9_top3data","10-9-top3","pos",7,4,3,99.322425,0.677575
"9_top3data","10-9-top3","pos",7,6,1,99.322425,0.677575
"9_top3data","10-9-top3","pos",7,8,1,99.322425,0.677575
"9_top3data","10-9-top3","pos",7,10,1,99.322425,0.677575
"9_top3data","10-9-top3","pos",8,0,8,99.4972,0.5028
"9_top3data","10-9-top3","pos",8,2,8,99.4972,0.5028
"9_top3data","10-9-top3","pos",8,4,3,99.4972,0.5028
"9_top3data","10-9-top3","pos",8,6,1,99.4972,0.5028
"9_top3data","10-9-top3","pos",8,8,1,99.4972,0.5028
"9_top3data","10-9-top3","pos",8,10,1,99.4972,0.5028
"9_top3data","100-9-top3","ext",1,0,1,30.682175,69.317825
"9_top3data","100-9-top3","ext",1,2,1,30.682175,69.317825
"9_top3data","100-9-top3","ext",1,4,1,30.682175,69.317825
"9_top3data","100-9-top3","ext",1,6,1,30.682175,69.317825
"9_top3data","100-9-top3","ext",1,8,1,30.682175,69.317825
"9_top3data","100-9-top3","ext",1,10,1,30.682175,69.317825
"9_top3data","100-9-top3","ext",2,0,2,54.74485,45.25515
"9_top3data","100-9-top3","ext",2,2,2,54.74485,45.25515
"9_top3data","100-9-top3","ext",2,4,1,54.74485,45.25515
"9_top3data","100-9-top3","ext",2,6,1,54.74485,45.25515
"9_top3data","100-9-top3","ext",2,8,1,54.74485,45.25515
"9_top3data","100-9-top3","ext",2,10,1,54.74485,45.25515
"9_top3data","100-9-top3","ext",3,0,3,64.3776625,35.6223375
"9_top3data","100-9-top3","ext",3,2,3,64.3776625,35.6223375
"9_top3data","100-9-top3","ext",3,4,1,64.3776625,35.6223375
"9_top3data","100-9-top3","ext",3,6,1,64.3776625,35.6223375
"9_top3data","100-9-top3","ext",3,8,1,64.3776625,35.6223375
"9_top3data","100-9-top3","ext",3,10,1,64.3776625,35.6223375
"9_top3data","100-9-top3","ext",4,0,4,72.1767,27.8233
"9_top3data","100-9-top3","ext",4,2,4,72.1767,27.8233
"9_top3data","100-9-top3","ext",4,4,1,72.1767,27.8233
"9_top3data","100-9-top3","ext",4,6,1,72.1767,27.8233
"9_top3data","100-9-top3","ext",4,8,1,72.1767,27.8233
"9_top3data","100-9-top3","ext",4,10,1,72.1767,27.8233
"9_top3data","100-9-top3","ext",5,0,5,75.2335,24.7665
"9_top3data","100-9-top3","ext",5,2,5,75.2335,24.7665
"9_top3data","100-9-top3","ext",5,4,1,75.2335,24.7665
"9_top3data","100-9-top3","ext",5,6,1,75.2335,24.7665
"9_top3data","100-9-top3","ext",5,8,1,75.2335,24.7665
"9_top3data","100-9-top3","ext",5,10,1,75.2335,24.7665
"9_top3data","100-9-top3","ext",6,0,6,78.27055,21.72945
"9_top3data","100-9-top3","ext",6,2,6,78.27055,21.72945
"9_top3data","100-9-top3","ext",6,4,1,78.27055,21.72945
"9_top3data","100-9-top3","ext",6,6,1,78.27055,21.72945
"9_top3data","100-9-top3","ext",6,8,1,78.27055,21.72945
"9_top3data","100-9-top3","ext",6,10,1,78.27055,21.72945
"9_top3data","100-9-top3","ext",7,0,7,81.1936375,18.8063625
"9_top3data","100-9-top3","ext",7,2,7,81.1936375,18.8063625
"9_top3data","100-9-top3","ext",7,4,1,81.1936375,18.8063625
"9_top3data","100-9-top3","ext",7,6,1,81.1936375,18.8063625
"9_top3data","100-9-top3","ext",7,8,1,81.1936375,18.8063625
"9_top3data","100-9-top3","ext",7,10,1,81.1936375,18.8063625
"9_top3data","100-9-top3","ext",8,0,8,84.045275,15.954725
"9_top3data","100-9-top3","ext",8,2,8,84.045275,15.954725
"9_top3data","100-9-top3","ext",8,4,1,84.045275,15.954725
"9_top3data","100-9-top3","ext",8,6,1,84.045275,15.954725
"9_top3data","100-9-top3","ext",8,8,1,84.045275,15.954725
"9_top3data","100-9-top3","ext",8,10,1,84.045275,15.954725
"9_top3data","100-9-top3","pos",1,0,1,54.850675,45.149325
"9_top3data","100-9-top3","pos",1,2,1,54.850675,45.149325
"9_top3data","100-9-top3","pos",1,4,1,54.850675,45.149325
"9_top3data","100-9-top3","pos",1,6,1,54.850675,45.149325
"9_top3data","100-9-top3","pos",1,8,1,54.850675,45.149325
"9_top3data","100-9-top3","pos",1,10,1,54.850675,45.149325
"9_top3data","100-9-top3","pos",2,0,2,85.8675375,14.1324625
"9_top3data","100-9-top3","pos",2,2,2,85.8675375,14.1324625
"9_top3data","100-9-top3","pos",2,4,2,85.8675375,14.1324625
"9_top3data","100-9-top3","pos",2,6,1,85.8675375,14.1324625
"9_top3data","100-9-top3","pos",2,8,1,85.8675375,14.1324625
"9_top3data","100-9-top3","pos",2,10,1,85.8675375,14.1324625
"9_top3data","100-9-top3","pos",3,0,3,96.0160375,3.9839625
"9_top3data","100-9-top3","pos",3,2,3,96.0160375,3.9839625
"9_top3data","100-9-top3","pos",3,4,2,96.0160375,3.9839625
"9_top3data","100-9-top3","pos",3,6,1,96.0160375,3.9839625
"9_top3data","100-9-top3","pos",3,8,1,96.0160375,3.9839625
"9_top3data","100-9-top3","pos",3,10,1,96.0160375,3.9839625
"9_top3data","100-9-top3","pos",4,0,4,97.650175,2.349825
"9_top3data","100-9-top3","pos",4,2,4,97.650175,2.349825
"9_top3data","100-9-top3","pos",4,4,2,97.650175,2.349825
"9_top3data","100-9-top3","pos",4,6,1,97.650175,2.349825
"9_top3data","100-9-top3","pos",4,8,1,97.650175,2.349825
"9_top3data","100-9-top3","pos",4,10,1,97.650175,2.349825
"9_top3data","100-9-top3","pos",5,0,5,98.50395,1.49605
"9_top3data","100-9-top3","pos",5,2,5,98.50395,1.49605
"9_top3data","100-9-top3","pos",5,4,2,98.50395,1.49605
"9_top3data","100-9-top3","pos",5,6,1,98.50395,1.49605
"9_top3data","100-9-top3","pos",5,8,1,98.50395,1.49605
"9_top3data","100-9-top3","pos",5,10,1,98.50395,1.49605
"9_top3data","100-9-top3","pos",6,0,6,99.0495125,0.9504875
"9_top3data","100-9-top3","pos",6,2,6,99.0495125,0.9504875
"9_top3data","100-9-top3","pos",6,4,2,99.0495125,0.9504875
"9_top3data","100-9-top3","pos",6,6,1,99.0495125,0.9504875
"9_top3data","100-9-top3","pos",6,8,1,99.0495125,0.9504875
"9_top3data","100-9-top3","pos",6,10,1,99.0495125,0.9504875
"9_top3data","100-9-top3","pos",7,0,7,99.395325,0.604675
"9_top3data","100-9-top3","pos",7,2,7,99.395325,0.604675
"9_top3data","100-9-top3","pos",7,4,2,99.395325,0.604675
"9_top3data","100-9-top3","pos",7,6,1,99.395325,0.604675
"9_top3data","100-9-top3","pos",7,8,1,99.395325,0.604675
"9_top3data","100-9-top3","pos",7,10,1,99.395325,0.604675
"9_top3data","100-9-top3","pos",8,0,8,99.54015,0.45985
"9_top3data","100-9-top3","pos",8,2,8,99.54015,0.45985
"9_top3data","100-9-top3","pos",8,4,2,99.54015,0.45985
"9_top3data","100-9-top3","pos",8,6,1,99.54015,0.45985
"9_top3data","100-9-top3","pos",8,8,1,99.54015,0.45985
"9_top3data","100-9-top3","pos",8,10,1,99.54015,0.45985
