method,coverage_threshold,n_combinations,n_same,pct_same,n_both_not_reached,mean_abs_difference,max_abs_difference
EFA,80,308,277,89.93506493506493,234,0.5072463768115942,3
EFA,85,308,281,91.23376623376623,247,0.4912280701754386,2
EFA,90,308,278,90.25974025974025,258,0.7142857142857142,3
EFA,95,308,285,92.53246753246754,277,1,3
KMEANS,80,308,267,86.68831168831169,179,0.3870967741935484,3
KMEANS,85,308,259,84.0909090909091,191,0.5,3
KMEANS,90,308,271,87.98701298701299,207,0.40816326530612274,3
KMEANS,95,308,274,88.96103896103897,225,0.4342105263157895,3
