analysis_sample,method,matrix,matrix_name,d_hamming,coverage_threshold,equal_candidate,equal_element,both_not_reached,same_result,difference_candidate_minus_element,abs_difference
COMPLETE,EFA,EXT,matrix_32_ext_0_1,0,80,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,0,85,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,0,90,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,0,95,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,1,80,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,1,85,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,1,90,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,1,95,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,2,80,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,2,85,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,2,90,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,2,95,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,3,80,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,3,85,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,3,90,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,3,95,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,4,80,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,4,85,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,4,90,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,4,95,NA,NA,TRUE,TRUE,NA,NA
COMPLETE,EFA,EXT,matrix_32_ext_0_1,5,80,NA,NA,TRUE,TRUE,NA,NA
