analysis_sample,matrix_name,k,n_runs,n_ok,n_error,mean_n_rows_used,mean_n_rows_dropped,mean_prop_rows_used,mean_totss,mean_tot_withinss,sd_tot_withinss,mean_betweenss,mean_between_over_total,sd_between_over_total,mean_calinski_harabasz,sd_calinski_harabasz,mean_silhouette,sd_silhouette,mean_cluster_distance,sd_cluster_distance,mean_min_cluster_distance,mean_max_cluster_distance,matrix
COMPLETE,matrix_32_ext_0_1,2,100,100,0,1608,0,1,7759.887148320231,6685.466526127566,48.24485929392563,1074.420622192665,0.13844759541040955,0.00431019758059054,258.12321251211995,9.335884453046985,0.1361011850782854,NA,1.6497219712620907,NA,1.6497219712620907,1.6497219712620907,EXT
COMPLETE,matrix_32_ext_0_1,3,100,100,0,1608,0,1,7759.887148320231,6352.174710680442,48.76301130218128,1407.7124376397885,0.18139769246476817,0.00480374268378301,177.8629723024605,5.759859154859893,0.09003734144475059,NA,1.6308067229061798,NA,1.27921902870993,2.25912914314226,EXT
COMPLETE,matrix_32_ext_0_1,4,100,100,0,1608,0,1,7759.887148320231,6127.135737046921,48.35212712064616,1632.7514112733097,0.21039766935383852,0.00496448822691039,142.49399811289075,4.267316409511453,0.08128736720189525,NA,1.6155670180106942,NA,1.1837205956243968,2.625879142857362,EXT
COMPLETE,matrix_32_ext_0_1,5,100,100,0,1608,0,1,7759.887148320231,6001.006642685974,47.42475839994271,1758.880505634257,0.22664999639733088,0.00516852385703142,117.47301679787924,3.473365289708012,0.06626325789817537,NA,1.643554036656694,NA,1.0849902027348677,2.8695813947725206,EXT
COMPLETE,matrix_32_ext_0_1,6,100,100,0,1608,0,1,7759.887148320231,5896.829763524483,47.11394788092306,1863.0573847957485,0.24007551510249248,0.00512161350702587,101.2398432542503,2.848159661397445,0.0623267638997657,NA,1.6308510717726603,NA,1.033493276198899,2.9974664658400956,EXT
COMPLETE,matrix_32_ext_0_1,7,100,100,0,1608,0,1,7759.887148320231,5806.8591518217645,47.36384834671666,1953.0279964984668,0.2516699421300405,0.00520277525460998,89.75548337777995,2.4845080731062503,0.0573259328889766,NA,1.6334315205682863,NA,1.0109041574299351,3.1343572046049055,EXT
COMPLETE,matrix_32_ext_0_1,8,100,100,0,1608,0,1,7759.887148320231,5728.299272668509,47.32653515871048,2031.5878756517216,0.26179414417554697,0.00519649011566953,81.07481511836758,2.1852909809341674,0.05729416063908102,NA,1.644484914592849,NA,1.0009519356927066,3.2508028535584383,EXT
COMPLETE,matrix_32_pos_0_1,2,100,100,0,1608,0,1,1157.0163949915752,994.6830512882436,10.294455941997365,162.3333437033314,0.14028149117920255,0.00455375951483079,262.1052462526498,9.905787950659883,0.1495425671446516,NA,0.661460549556812,NA,0.661460549556812,0.661460549556812,POS
COMPLETE,matrix_32_pos_0_1,3,100,100,0,1608,0,1,1157.0163949915752,946.0300417727168,9.969777741170192,210.98635321885823,0.18233133827154047,0.00490431568433839,178.98389233425178,5.89495219381869,0.07592775895416035,NA,0.6547737302270121,NA,0.4559691729181885,0.9318867162835864,POS
COMPLETE,matrix_32_pos_0_1,4,100,100,0,1608,0,1,1157.0163949915752,910.6367803218824,9.84564873823847,246.37961466969264,0.21292517039452505,0.00461148118327742,144.6650125949496,3.986469007376519,0.07386056736383921,NA,0.64375987994444,NA,0.46216723643281776,1.0444571655353638,POS
COMPLETE,matrix_32_pos_0_1,5,100,100,0,1608,0,1,1157.0163949915752,887.4164734300388,9.556577566992866,269.59992156153635,0.23299227404779557,0.00485272209068387,121.75569789606811,3.3112141415917464,0.0651224015528889,NA,0.675859758265175,NA,0.44350555983706297,1.150652425188757,POS
COMPLETE,matrix_32_pos_0_1,6,100,100,0,1608,0,1,1157.0163949915752,867.5312021506669,9.304839721422455,289.48519284090816,0.250177547688127,0.00498457728438078,106.91986942102793,2.8437049118814053,0.06147454289420202,NA,0.6865859112876762,NA,0.43036821365749395,1.219074578378015,POS
COMPLETE,matrix_32_pos_0_1,7,100,100,0,1608,0,1,1157.0163949915752,851.4815544282826,9.103812178266525,305.5348405632925,0.26404854828676266,0.00500436475323794,95.752484751978,2.46780935250671,0.05720287646382974,NA,0.6954684414682903,NA,0.4244367150508007,1.2878367897411396,POS
COMPLETE,matrix_32_pos_0_1,8,100,100,0,1608,0,1,1157.0163949915752,837.2403309234367,8.981797680153708,319.77606406813845,0.2763556002384899,0.00523618727659026,87.30648140860143,2.28642981578248,0.05483124753735209,NA,0.7118938331347059,NA,0.4224675602061915,1.370871077323356,POS
COMPLETE,matrix_32_raw_0_1,2,100,100,0,1608,0,1,2818.220896824182,2544.2610044749663,34.36682823567459,273.9598923492157,0.0972065684221522,0.00299673628123355,172.94240424090268,5.904697070630185,0.08822008825550841,NA,0.8296619942446455,NA,0.8296619942446455,0.8296619942446455,RAW
COMPLETE,matrix_32_raw_0_1,3,100,100,0,1608,0,1,2818.220896824182,2374.971997669021,32.70669427807841,443.2488991551608,0.15727543397614713,0.00377932637968766,149.78737715013844,4.2674875330830915,0.07926088389889027,NA,0.9151036566015772,NA,0.8491722126892236,0.9684834415399322,RAW
COMPLETE,matrix_32_raw_0_1,4,100,100,0,1608,0,1,2818.220896824182,2286.5804518787477,31.707979821566784,531.6404449454344,0.1886414900775164,0.00353092394997684,124.3227865461532,2.870556904059663,0.0682513779277651,NA,0.9598076105439453,NA,0.7914000940500153,1.2840471467891943,RAW
COMPLETE,matrix_32_raw_0_1,5,100,100,0,1608,0,1,2818.220896824182,2212.9204000500968,31.068860328130732,605.3004967740852,0.2147772771660897,0.0041123709326034,109.62862037700458,2.674932255521571,0.06565116049041687,NA,1.0410245177880957,NA,0.7659981302981441,1.597630507494003,RAW
COMPLETE,matrix_32_raw_0_1,6,100,100,0,1608,0,1,2818.220896824182,2157.40775495037,29.692063254517624,660.813141873812,0.2344723318658405,0.00398906436131068,98.14610718153928,2.1841727633703307,0.06259375070341028,NA,1.0565164035500214,NA,0.7605676414921492,1.65806143058489,RAW
COMPLETE,matrix_32_raw_0_1,7,100,100,0,1608,0,1,2818.220896824182,2118.71559574519,29.52025436356896,699.5053010789918,0.2482037186746641,0.00387417075261381,88.10371956107016,1.8311722993013848,0.05656937037123381,NA,1.0571666620751066,NA,0.6960762744838292,1.748062255933752,RAW
