method,matrix,d_hamming,coverage_P1_EUROPE,coverage_P1_LATAM,coverage_P2_EUROPE,coverage_P2_LATAM,coverage_P3_EUROPE,coverage_P3_LATAM,coverage_P4_EUROPE,coverage_P4_LATAM,coverage_P5_EUROPE,coverage_P5_LATAM,coverage_P6_EUROPE,coverage_P6_LATAM,coverage_P7_EUROPE,coverage_P7_LATAM,coverage_P8_EUROPE,coverage_P8_LATAM,P_for_80_EUROPE,P_for_80_LATAM,P_for_85_EUROPE,P_for_85_LATAM,P_for_90_EUROPE,P_for_90_LATAM,P_for_95_EUROPE,P_for_95_LATAM
KMEANS,RAW,0,0.4885416666666574,0.4035714285714184,0.9620238095237912,0.7772619047618854,1.4071726190475922,1.1357142857142577,1.797202380952347,1.488422619047582,2.186845238095197,1.8387499999999544,2.570089285714237,2.18351190476185,2.941726190476135,2.528065476190413,3.313244047618985,2.863214285714214,NA,NA,NA,NA,NA,NA,NA,NA
KMEANS,RAW,1,1.3733035714285458,1.3011309523809207,3.8254166666665954,3.16511904761897,5.903601190476081,4.944910714285593,7.612529761904622,5.339791666666535,9.292886904761737,6.3690178571427,11.173422619047416,8.149880952380752,12.93056547619024,9.738601190475952,13.922797619047364,11.503601190475909,NA,NA,NA,NA,NA,NA,NA,NA
KMEANS,RAW,2,4.203630952380873,4.469077380952267,10.834136904761712,9.151964285714048,15.648511904761614,12.08547619047588,18.02532738095205,15.22505952380914,22.12321428571387,18.994732142856662,25.567261904761423,22.220476190475633,28.14116071428519,26.598333333332665,29.91139880952325,28.907916666665944,NA,NA,NA,NA,NA,NA,NA,NA
KMEANS,RAW,3,7.493035714285594,8.417291666666474,21.24877976190437,16.03961309523775,27.31714285714233,20.283065476190018,34.44913690476126,26.381815476189846,38.51199404761833,33.055178571427795,43.61791666666585,38.97550595238,46.26315476190389,44.325505952379864,48.000773809522904,47.9450892857131,NA,NA,NA,NA,NA,NA,NA,NA
KMEANS,RAW,4,12.342827380952196,14.78976190476149,34.04101190476128,27.091874999999387,43.879345238094466,31.72077380952305,48.2333035714277,43.77461309523713,53.38779761904662,51.757529761903655,58.17550595237985,59.69809523809399,60.14982142857029,63.91770833333196,67.92749999999874,68.65145833333183,NA,12,NA,NA,NA,NA,NA,NA
KMEANS,RAW,5,17.159136904761585,21.07568452380896,45.75961309523761,39.65741071428449,56.426190476189866,57.75720238095055,59.7369047619041,66.21642857142663,62.530089285713565,74.44991071428366,73.84961309523727,78.33026785714068,76.68288690476105,82.30163690475962,78.7896726190467,84.67258928571195,9,7,11,9,NA,12,NA,NA
KMEANS,RAW,6,23.776398809523332,29.396130952380663,58.67363095238028,54.645535714284456,68.32955357142781,79.3012499999979,70.2252380952373,85.89297619047387,83.62014880952293,87.81622023809288,87.82300595238,89.78014880952142,89.86776785714187,92.65767857142612,91.88101190476088,94.53511904761652,5,4,6,4,8,7,12,9
KMEANS,RAW,7,30.855595238095184,38.258392857142475,70.93749999999967,72.21038690476117,77.62916666666617,88.05642857142722,90.9777083333328,91.86404761904618,94.15193452380896,93.77857142856996,94.81232142857084,95.07669642856992,95.94502976190417,96.48604166666512,96.30386904761842,97.03351190476032,4,3,4,3,4,4,7,6
KMEANS,RAW,8,38.08803571428568,45.54898809523764,80.57958333333296,85.76107142857036,83.92907738095195,93.57023809523685,95.6207738095234,96.72068452380816,97.32806547619003,97.7051785714272,97.51110119047574,97.9081547619034,97.60360119047574,98.10592261904624,98.21830357142812,98.23434523809384,2,2,4,2,4,3,4,4
KMEANS,RAW,9,45.4711904761903,52.774374999999445,88.35392857142807,94.49324404761796,97.5849107142852,97.46624999999882,98.52035714285662,97.5497023809512,98.86940476190424,97.75014880952264,99.0499107142852,98.01592261904644,99.28994047618994,98.05877976190358,99.62357142857088,98.25389880952262,2,2,2,2,3,2,3,3
KMEANS,RAW,10,51.87232142857128,58.40827380952409,93.6477976190472,97.1323809523808,99.1440773809518,98.35699404761884,99.338303571428,98.5639880952379,99.54872023809465,98.72306547619029,99.71613095238035,98.86413690476172,99.77916666666609,99.12053571428552,99.86785714285656,99.7517857142855,2,2,2,2,2,2,3,2
KMEANS,POS,0,1.0372023809523685,1.054255952380933,1.9183333333333092,1.847857142857108,2.726428571428537,2.608660714285665,3.533065476190431,3.3342261904761266,4.267767857142802,3.9987202380951614,4.984166666666602,4.6536011904761,5.615595238095165,5.273333333333231,6.242886904761823,5.868988095237982,NA,NA,NA,NA,NA,NA,NA,NA
KMEANS,POS,1,2.9119047619047245,4.906398809523715,5.430714285714216,7.925892857142703,9.72702380952368,9.892321428571234,12.91764880952364,13.536994047618784,16.279642857142644,15.1408630952378,18.225238095237856,16.94017857142824,19.569880952380693,18.999166666666294,20.958154761904485,20.46389880952341,NA,NA,NA,NA,NA,NA,NA,NA
KMEANS,POS,2,7.815029761904663,9.527410714285535,14.326607142856966,16.929434523809203,23.87669642857113,22.937053571428127,31.590714285713897,30.69181547618989,37.15366071428525,34.63532738095172,40.46666666666616,38.5634821428564,43.662619047618506,41.27431547618968,46.093035714285136,43.858035714284874,NA,NA,NA,NA,NA,NA,NA,NA
