analysis_sample,weighting,method,matrix_name,d_hamming,coverage_threshold,first_prototype_reaching_threshold,max_coverage_available,matrix
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,80,NA,4.732827380952242,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,85,NA,4.732827380952242,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,90,NA,4.732827380952242,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,0,95,NA,4.732827380952242,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,1,80,NA,16.284613095237624,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,1,85,NA,16.284613095237624,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,1,90,NA,16.284613095237624,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,1,95,NA,16.284613095237624,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,2,80,NA,37.13544642857033,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,2,85,NA,37.13544642857033,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,2,90,NA,37.13544642857033,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,2,95,NA,37.13544642857033,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,3,80,NA,58.98119047618882,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,3,85,NA,58.98119047618882,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,3,90,NA,58.98119047618882,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,3,95,NA,58.98119047618882,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,4,80,12,81.34708333333127,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,4,85,NA,81.34708333333127,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,4,90,NA,81.34708333333127,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,4,95,NA,81.34708333333127,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,5,80,6,92.05627976190216,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,5,85,7,92.05627976190216,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,5,90,11,92.05627976190216,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,5,95,NA,92.05627976190216,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,6,80,5,98.26693452380653,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,6,85,6,98.26693452380653,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,6,90,6,98.26693452380653,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,6,95,9,98.26693452380653,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,7,80,3,99.40735119047308,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,7,85,4,99.40735119047308,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,7,90,5,99.40735119047308,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,7,95,6,99.40735119047308,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,8,80,3,99.92812499999678,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,8,85,3,99.92812499999678,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,8,90,3,99.92812499999678,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,8,95,5,99.92812499999678,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,9,80,2,99.9999999999988,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,9,85,3,99.9999999999988,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,9,90,3,99.9999999999988,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,9,95,3,99.9999999999988,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,10,80,2,99.999999999999,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,10,85,2,99.999999999999,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,10,90,2,99.999999999999,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_raw_0_1,10,95,3,99.999999999999,RAW
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,0,80,NA,8.275565476190268,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,0,85,NA,8.275565476190268,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,0,90,NA,8.275565476190268,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,0,95,NA,8.275565476190268,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,1,80,NA,28.820684523808794,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,1,85,NA,28.820684523808794,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,1,90,NA,28.820684523808794,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,1,95,NA,28.820684523808794,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,2,80,NA,58.83458333333186,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,2,85,NA,58.83458333333186,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,2,90,NA,58.83458333333186,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,2,95,NA,58.83458333333186,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,3,80,11,81.45782738095038,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,3,85,NA,81.45782738095038,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,3,90,NA,81.45782738095038,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,3,95,NA,81.45782738095038,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,4,80,6,91.60687499999764,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,4,85,7,91.60687499999764,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,4,90,9,91.60687499999764,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,4,95,NA,91.60687499999764,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,5,80,4,97.44327380952129,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,5,85,4,97.44327380952129,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,5,90,6,97.44327380952129,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,5,95,10,97.44327380952129,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,6,80,3,99.38008928571202,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,6,85,3,99.38008928571202,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,6,90,4,99.38008928571202,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,6,95,5,99.38008928571202,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,7,80,2,99.9139880952358,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,7,85,2,99.9139880952358,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,7,90,2,99.9139880952358,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,7,95,4,99.9139880952358,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,8,80,2,99.99687499999835,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,8,85,2,99.99687499999835,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,8,90,2,99.99687499999835,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,8,95,2,99.99687499999835,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,9,80,2,99.99999999999844,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,9,85,2,99.99999999999844,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,9,90,2,99.99999999999844,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,9,95,2,99.99999999999844,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,10,80,1,99.99999999999874,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,10,85,2,99.99999999999874,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,10,90,2,99.99999999999874,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_pos_0_1,10,95,2,99.99999999999874,POS
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,0,80,NA,7.361339285714257,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,0,85,NA,7.361339285714257,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,0,90,NA,7.361339285714257,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,0,95,NA,7.361339285714257,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,1,80,NA,15.627142857142797,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,1,85,NA,15.627142857142797,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,1,90,NA,15.627142857142797,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,1,95,NA,15.627142857142797,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,2,80,NA,35.32276785714271,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,2,85,NA,35.32276785714271,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,2,90,NA,35.32276785714271,EXT
COMPLETE,equal_candidate,KMEANS,matrix_32_ext_0_1,2,95,NA,35.32276785714271,EXT
